# Filename: 2DKT_FPquench_vst_T_0.9_0.1_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 Jan 12)
# Parameter values: iTfrac=0.9, qTfrac=0.1, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.9	0.1	10	0.811148	0.976172	1.80599e-26	0.00054771
1	1e-05	0.1	0.9	10	6.11887	0.818191	1.88114e-26	0.000546297
2	2e-05	0.1	0.9	10	6.11982	0.818319	1.88114e-26	0.000545441
3	3e-05	0.1	0.9	10	6.12077	0.818445	1.88114e-26	0.000544598
4	4e-05	0.1	0.9	10	6.1217	0.81857	1.88114e-26	0.000543767
6	6e-05	0.1	0.9	10	6.12356	0.818818	1.88114e-26	0.00054213
8	8e-05	0.1	0.9	10	6.12539	0.819063	1.88114e-26	0.00054052
10	0.0001	0.1	0.9	10	6.1272	0.819306	1.88114e-26	0.000538934
12	0.00012	0.1	0.9	10	6.129	0.819547	1.88114e-26	0.000537367
14	0.00014	0.1	0.9	10	6.13079	0.819785	1.88114e-26	0.000535816
17	0.00017	0.1	0.9	10	6.13345	0.820141	1.88114e-26	0.000533519
20	0.0002	0.1	0.9	10	6.13608	0.820493	1.88114e-26	0.000531253
24	0.00024	0.1	0.9	10	6.13956	0.820958	1.88114e-26	0.000528273
28	0.00028	0.1	0.9	10	6.14301	0.821419	1.88114e-26	0.000525338
32	0.00032	0.1	0.9	10	6.14642	0.821875	1.88114e-26	0.000522444
37	0.00037	0.1	0.9	10	6.15064	0.822439	1.88114e-26	0.000518879
43	0.00043	0.1	0.9	10	6.15564	0.823109	1.88114e-26	0.000514673
49	0.00049	0.1	0.9	10	6.16059	0.82377	1.88114e-26	0.000510542
56	0.00056	0.1	0.9	10	6.16628	0.824532	1.88114e-26	0.00050581
64	0.00064	0.1	0.9	10	6.1727	0.82539	1.88114e-26	0.00050051
73	0.00073	0.1	0.9	10	6.17982	0.826341	1.88114e-26	0.000494679
83	0.00083	0.1	0.9	10	6.18759	0.827381	1.88114e-26	0.000488351
94	0.00094	0.1	0.9	10	6.19599	0.828504	1.88114e-26	0.000481564
107	0.00107	0.1	0.9	10	6.20573	0.829806	1.88114e-26	0.000473766
121	0.00121	0.1	0.9	10	6.21599	0.831179	1.88114e-26	0.00046562
137	0.00137	0.1	0.9	10	6.22746	0.832711	1.88114e-26	0.000456611
155	0.00155	0.1	0.9	10	6.24003	0.834393	1.88114e-26	0.000446836
175	0.00175	0.1	0.9	10	6.25362	0.83621	1.88114e-26	0.000436393
197	0.00197	0.1	0.9	10	6.26813	0.838151	1.88114e-26	0.000425381
222	0.00222	0.1	0.9	10	6.2841	0.840285	1.88114e-26	0.000413428
250	0.0025	0.1	0.9	10	6.30136	0.842593	1.88114e-26	0.000400697
282	0.00282	0.1	0.9	10	6.32033	0.845129	1.88114e-26	0.00038693
318	0.00318	0.1	0.9	10	6.34076	0.847862	1.88114e-26	0.000372357
357	0.00357	0.1	0.9	10	6.36191	0.850689	1.88114e-26	0.000357565
402	0.00402	0.1	0.9	10	6.38511	0.853792	1.88114e-26	0.000341662
452	0.00452	0.1	0.9	10	6.40951	0.857055	1.88114e-26	0.000325308
508	0.00508	0.1	0.9	10	6.43527	0.860499	1.88114e-26	0.000308457
572	0.00572	0.1	0.9	10	6.46286	0.864189	1.88114e-26	0.000290875
642	0.00642	0.1	0.9	10	6.49101	0.867953	1.88114e-26	0.000273439
722	0.00722	0.1	0.9	10	6.52087	0.871945	1.88114e-26	0.000255502
811	0.00811	0.1	0.9	10	6.55151	0.876042	1.88114e-26	0.00023769
911	0.00911	0.1	0.9	10	6.58309	0.880266	1.88114e-26	0.000219965
1023	0.01023	0.1	0.9	10	6.61536	0.884581	1.88114e-26	0.000202528
1149	0.01149	0.1	0.9	10	6.64828	0.888983	1.88114e-26	0.000185446
1290	0.0129	0.1	0.9	10	6.68149	0.893423	1.88114e-26	0.000168943
1449	0.01449	0.1	0.9	10	6.71505	0.89791	1.88114e-26	0.000153019
1627	0.01627	0.1	0.9	10	6.74851	0.902385	1.88114e-26	0.000137899
1826	0.01826	0.1	0.9	10	6.78167	0.906819	1.88114e-26	0.000123679
2050	0.0205	0.1	0.9	10	6.81457	0.911217	1.88114e-26	0.000110324
2301	0.02301	0.1	0.9	10	6.84689	0.915539	1.88114e-26	9.79438e-05
2583	0.02583	0.1	0.9	10	6.87857	0.919776	1.88114e-26	8.65279e-05
2899	0.02899	0.1	0.9	10	6.90941	0.923899	1.88114e-26	7.61089e-05
3254	0.03254	0.1	0.9	10	6.93937	0.927906	1.88114e-26	6.66451e-05
3652	0.03652	0.1	0.9	10	6.96831	0.931776	1.88114e-26	5.81264e-05
4099	0.04099	0.1	0.9	10	6.99622	0.935507	1.88114e-26	5.04955e-05
4600	0.046	0.1	0.9	10	7.02298	0.939086	1.88114e-26	4.37158e-05
5162	0.05162	0.1	0.9	10	7.0486	0.942511	1.88114e-26	3.77211e-05
5793	0.05793	0.1	0.9	10	7.07307	0.945784	1.88114e-26	3.24445e-05
6501	0.06501	0.1	0.9	10	7.09639	0.948902	1.88114e-26	2.78265e-05
7296	0.07296	0.1	0.9	10	7.11858	0.951869	1.88114e-26	2.38007e-05
8187	0.08187	0.1	0.9	10	7.13962	0.954682	1.88114e-26	2.03124e-05
9187	0.09187	0.1	0.9	10	7.15955	0.957348	1.88114e-26	1.72967e-05
10309	0.10309	0.1	0.9	10	7.17843	0.959871	1.88114e-26	1.46997e-05
11568	0.11568	0.1	0.9	10	7.19626	0.962257	1.88114e-26	1.24701e-05
12980	0.1298	0.1	0.9	10	7.21311	0.964508	1.88114e-26	1.05624e-05
14565	0.14565	0.1	0.9	10	7.229	0.966634	1.88114e-26	8.93282e-06
16343	0.16343	0.1	0.9	10	7.24399	0.968638	1.88114e-26	7.54513e-06
18339	0.18339	0.1	0.9	10	7.25812	0.970528	1.88114e-26	6.36504e-06
20577	0.20577	0.1	0.9	10	7.27142	0.972306	1.88114e-26	5.36458e-06
23089	0.23089	0.1	0.9	10	7.28394	0.97398	1.88114e-26	4.51688e-06
25908	0.25908	0.1	0.9	10	7.29573	0.975556	1.88114e-26	3.7999e-06
29070	0.2907	0.1	0.9	10	7.30681	0.977039	1.88114e-26	3.19457e-06
32618	0.32618	0.1	0.9	10	7.31724	0.978433	1.88114e-26	2.68391e-06
36599	0.36599	0.1	0.9	10	7.32704	0.979743	1.88114e-26	2.25358e-06
41066	0.41066	0.1	0.9	10	7.33625	0.980976	1.88114e-26	1.89127e-06
46078	0.46078	0.1	0.9	10	7.34492	0.982134	1.88114e-26	1.58652e-06
51701	0.51701	0.1	0.9	10	7.35305	0.983222	1.88114e-26	1.33037e-06
58011	0.58011	0.1	0.9	10	7.3607	0.984245	1.88114e-26	1.11517e-06
65090	0.6509	0.1	0.9	10	7.36789	0.985205	1.88114e-26	9.34527e-07
73034	0.73034	0.1	0.9	10	7.37464	0.986108	1.88114e-26	7.82918e-07
81946	0.81946	0.1	0.9	10	7.38098	0.986956	1.88115e-26	6.55773e-07
91946	0.91946	0.1	0.9	10	7.38693	0.987752	1.88115e-26	5.49162e-07
103166	1.03166	0.1	0.9	10	7.39253	0.9885	1.88115e-26	4.59805e-07
