# Filename: 2DKT_FPquench_vsl_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 Jan 12)
# Parameter values: lmax=10, lsteps=1250, lpts=1251, ldatamax=250, iTfrac=0.95, qTfrac=0.1, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 1001	t = 1.001000e-02	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	8.28985e-05
0.1	0.9	0.04	7.45412	0.996736	7.93659e-05
0.1	0.9	0.08	7.42757	0.993186	7.24032e-05
0.1	0.9	0.12	7.39953	0.989436	6.52331e-05
0.1	0.9	0.16	7.37018	0.985512	5.84282e-05
0.1	0.9	0.2	7.33965	0.981429	5.20952e-05
0.1	0.9	0.24	7.30802	0.9772	4.62526e-05
0.1	0.9	0.28	7.27541	0.972839	4.08974e-05
0.1	0.9	0.32	7.24193	0.968363	3.60181e-05
0.1	0.9	0.36	7.20771	0.963787	3.15981e-05
0.1	0.9	0.4	7.17286	0.959127	2.76165e-05
0.1	0.9	0.44	7.13753	0.954402	2.40492e-05
0.1	0.9	0.48	7.10182	0.949628	2.08699e-05
0.1	0.9	0.52	7.06587	0.944821	1.80506e-05
0.1	0.9	0.56	7.02981	0.939998	1.55627e-05
0.1	0.9	0.6	6.99373	0.935174	1.33773e-05
0.1	0.9	0.64	6.95775	0.930364	1.1466e-05
0.1	0.9	0.68	6.92198	0.92558	9.80131e-06
0.1	0.9	0.72	6.88649	0.920835	8.35715e-06
0.1	0.9	0.76	6.85138	0.91614	7.10888e-06
0.1	0.9	0.8	6.81672	0.911505	6.03364e-06
0.1	0.9	0.84	6.78257	0.906939	5.11044e-06
0.1	0.9	0.88	6.74899	0.902449	4.32016e-06
0.1	0.9	0.92	6.71603	0.898042	3.64556e-06
0.1	0.9	0.96	6.68373	0.893723	3.0712e-06
0.1	0.9	1	6.65212	0.889496	2.58335e-06
0.1	0.9	1.04	6.62123	0.885365	2.16992e-06
0.1	0.9	1.08	6.59107	0.881332	1.82027e-06
0.1	0.9	1.12	6.56167	0.8774	1.52512e-06
0.1	0.9	1.16	6.53302	0.87357	1.27642e-06
0.1	0.9	1.2	6.50514	0.869842	1.06718e-06
0.1	0.9	1.24	6.47803	0.866217	8.91409e-07
0.1	0.9	1.28	6.45168	0.862693	7.43952e-07
0.1	0.9	1.32	6.42609	0.859272	6.204e-07
0.1	0.9	1.36	6.40125	0.85595	5.16997e-07
0.1	0.9	1.4	6.37715	0.852727	4.30546e-07
0.1	0.9	1.44	6.35377	0.849602	3.58336e-07
0.1	0.9	1.48	6.33111	0.846572	2.98074e-07
0.1	0.9	1.52	6.30916	0.843636	2.47823e-07
0.1	0.9	1.56	6.28788	0.840791	2.05951e-07
0.1	0.9	1.6	6.26728	0.838036	1.71082e-07
0.1	0.9	1.64	6.24732	0.835367	1.42064e-07
0.1	0.9	1.68	6.228	0.832784	1.17927e-07
0.1	0.9	1.72	6.2093	0.830283	9.78613e-08
0.1	0.9	1.76	6.19119	0.827862	8.11869e-08
0.1	0.9	1.8	6.17367	0.825519	6.73364e-08
0.1	0.9	1.84	6.15671	0.823251	5.5836e-08
0.1	0.9	1.88	6.1403	0.821057	4.62902e-08
0.1	0.9	1.92	6.12441	0.818933	3.83691e-08
0.1	0.9	1.96	6.10904	0.816878	3.17981e-08
0.1	0.9	2	6.09417	0.814889	2.63484e-08
0.1	0.9	2.04	6.07978	0.812965	2.18297e-08
0.1	0.9	2.08	6.06586	0.811103	1.80837e-08
0.1	0.9	2.12	6.05238	0.809301	1.49789e-08
0.1	0.9	2.16	6.03934	0.807557	1.24059e-08
0.1	0.9	2.2	6.02671	0.805869	1.0274e-08
0.1	0.9	2.24	6.0145	0.804236	8.50782e-09
0.1	0.9	2.28	6.00268	0.802655	7.04476e-09
0.1	0.9	2.32	5.99123	0.801124	5.83293e-09
0.1	0.9	2.36	5.98016	0.799643	4.8293e-09
0.1	0.9	2.4	5.96943	0.798209	3.99817e-09
0.1	0.9	2.44	5.95905	0.796821	3.30994e-09
0.1	0.9	2.48	5.949	0.795477	2.74009e-09
0.1	0.9	2.52	5.93927	0.794176	2.26827e-09
0.1	0.9	2.56	5.92985	0.792916	1.87764e-09
0.1	0.9	2.6	5.92072	0.791696	1.55425e-09
0.1	0.9	2.64	5.91188	0.790514	1.28654e-09
0.1	0.9	2.68	5.90332	0.78937	1.06492e-09
0.1	0.9	2.72	5.89503	0.788261	8.81468e-10
0.1	0.9	2.76	5.887	0.787187	7.29611e-10
0.1	0.9	2.8	5.87922	0.786147	6.03912e-10
0.1	0.9	2.84	5.87169	0.785139	4.99866e-10
0.1	0.9	2.88	5.86439	0.784163	4.13744e-10
0.1	0.9	2.92	5.85731	0.783217	3.4246e-10
0.1	0.9	2.96	5.85045	0.7823	2.83458e-10
0.1	0.9	3	5.84381	0.781412	2.34621e-10
0.1	0.9	3.04	5.83737	0.780551	1.94199e-10
0.1	0.9	3.08	5.83113	0.779716	1.60742e-10
0.1	0.9	3.12	5.82508	0.778907	1.3305e-10
0.1	0.9	3.16	5.81922	0.778123	1.10129e-10
0.1	0.9	3.2	5.81353	0.777363	9.11573e-11
0.1	0.9	3.24	5.80802	0.776626	7.54545e-11
0.1	0.9	3.28	5.80268	0.775911	6.24571e-11
0.1	0.9	3.32	5.7975	0.775219	5.16991e-11
0.1	0.9	3.36	5.79247	0.774547	4.27944e-11
0.1	0.9	3.4	5.7876	0.773895	3.54239e-11
0.1	0.9	3.44	5.78288	0.773264	2.9323e-11
0.1	0.9	3.48	5.77829	0.772651	2.42731e-11
0.1	0.9	3.52	5.77385	0.772057	2.00931e-11
0.1	0.9	3.56	5.76954	0.77148	1.66331e-11
0.1	0.9	3.6	5.76536	0.770921	1.3769e-11
0.1	0.9	3.64	5.7613	0.770379	1.13983e-11
0.1	0.9	3.68	5.75736	0.769852	9.43579e-12
0.1	0.9	3.72	5.75355	0.769342	7.81128e-12
0.1	0.9	3.76	5.74984	0.768847	6.46653e-12
0.1	0.9	3.8	5.74625	0.768366	5.35333e-12
0.1	0.9	3.84	5.74276	0.7679	4.43182e-12
0.1	0.9	3.88	5.73938	0.767447	3.66897e-12
0.1	0.9	3.92	5.7361	0.767008	3.03746e-12
0.1	0.9	3.96	5.73291	0.766582	2.51468e-12
0.1	0.9	4	5.72982	0.766169	2.08189e-12
0.1	0.9	4.04	5.72682	0.765768	1.72361e-12
0.1	0.9	4.08	5.7239	0.765378	1.42699e-12
0.1	0.9	4.12	5.72108	0.765	1.18144e-12
0.1	0.9	4.16	5.71833	0.764633	9.78144e-13
0.1	0.9	4.2	5.71567	0.764277	8.0984e-13
0.1	0.9	4.24	5.71308	0.763931	6.70501e-13
0.1	0.9	4.28	5.71057	0.763596	5.55142e-13
0.1	0.9	4.32	5.70814	0.76327	4.59634e-13
0.1	0.9	4.36	5.70577	0.762954	3.80561e-13
0.1	0.9	4.4	5.70347	0.762646	3.15094e-13
0.1	0.9	4.44	5.70124	0.762348	2.60892e-13
0.1	0.9	4.48	5.69908	0.762059	2.16015e-13
0.1	0.9	4.52	5.69698	0.761778	1.78858e-13
0.1	0.9	4.56	5.69494	0.761505	1.48095e-13
0.1	0.9	4.6	5.69296	0.76124	1.22623e-13
0.1	0.9	4.64	5.69103	0.760983	1.01534e-13
0.1	0.9	4.68	5.68916	0.760733	8.40716e-14
0.1	0.9	4.72	5.68735	0.76049	6.96133e-14
0.1	0.9	4.76	5.68559	0.760255	5.76419e-14
0.1	0.9	4.8	5.68388	0.760026	4.77295e-14
0.1	0.9	4.84	5.68222	0.759804	3.9522e-14
0.1	0.9	4.88	5.6806	0.759588	3.2726e-14
0.1	0.9	4.92	5.67904	0.759379	2.70989e-14
0.1	0.9	4.96	5.67751	0.759175	2.24394e-14
0.1	0.9	5	5.67604	0.758977	1.85812e-14
0.1	0.9	5.04	5.6746	0.758785	1.53865e-14
0.1	0.9	5.08	5.67321	0.758599	1.27411e-14
0.1	0.9	5.12	5.67185	0.758418	1.05506e-14
0.1	0.9	5.16	5.67054	0.758242	8.73675e-15
0.1	0.9	5.2	5.66926	0.758071	7.23478e-15
0.1	0.9	5.24	5.66802	0.757905	5.99104e-15
0.1	0.9	5.28	5.66681	0.757744	4.96115e-15
0.1	0.9	5.32	5.66564	0.757587	4.10831e-15
0.1	0.9	5.36	5.6645	0.757435	3.4021e-15
0.1	0.9	5.4	5.6634	0.757288	2.8173e-15
0.1	0.9	5.44	5.66232	0.757144	2.33303e-15
0.1	0.9	5.48	5.66128	0.757005	1.93202e-15
0.1	0.9	5.52	5.66027	0.756869	1.59993e-15
0.1	0.9	5.56	5.65928	0.756738	1.32494e-15
0.1	0.9	5.6	5.65833	0.75661	1.09721e-15
0.1	0.9	5.64	5.6574	0.756486	9.08631e-16
0.1	0.9	5.68	5.6565	0.756365	7.52465e-16
0.1	0.9	5.72	5.65562	0.756248	6.23142e-16
0.1	0.9	5.76	5.65477	0.756134	5.16046e-16
0.1	0.9	5.8	5.65394	0.756023	4.27358e-16
0.1	0.9	5.84	5.65314	0.755916	3.53913e-16
0.1	0.9	5.88	5.65236	0.755811	2.93092e-16
0.1	0.9	5.92	5.6516	0.75571	2.42723e-16
0.1	0.9	5.96	5.65086	0.755611	2.01011e-16
0.1	0.9	6	5.65014	0.755515	1.66468e-16
0.1	0.9	6.04	5.64945	0.755422	1.37862e-16
0.1	0.9	6.08	5.64877	0.755332	1.14171e-16
0.1	0.9	6.12	5.64812	0.755244	9.4552e-17
0.1	0.9	6.16	5.64748	0.755159	7.83044e-17
0.1	0.9	6.2	5.64686	0.755076	6.4849e-17
0.1	0.9	6.24	5.64625	0.754995	5.37058e-17
0.1	0.9	6.28	5.64567	0.754917	4.44775e-17
0.1	0.9	6.32	5.6451	0.754841	3.6835e-17
0.1	0.9	6.36	5.64455	0.754767	3.05058e-17
0.1	0.9	6.4	5.64401	0.754695	2.52641e-17
0.1	0.9	6.44	5.64349	0.754625	2.09232e-17
0.1	0.9	6.48	5.64298	0.754557	1.73281e-17
0.1	0.9	6.52	5.64249	0.754492	1.43508e-17
0.1	0.9	6.56	5.64201	0.754427	1.18851e-17
0.1	0.9	6.6	5.64154	0.754365	9.84306e-18
0.1	0.9	6.64	5.64109	0.754305	8.15188e-18
0.1	0.9	6.68	5.64065	0.754246	6.75129e-18
0.1	0.9	6.72	5.64022	0.754189	5.59135e-18
0.1	0.9	6.76	5.63981	0.754133	4.6307e-18
0.1	0.9	6.8	5.63941	0.754079	3.83511e-18
0.1	0.9	6.84	5.63901	0.754027	3.17621e-18
