# Filename: 2DKT_FPquench_v2c_vst_T_0.999_0.95_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 Apr 06 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.999, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.999	0.001	10	0.663319	0.886078	1.27535e-22	0.00149764
1	1e-05	0.95	0.05	10	0.692078	0.879148	1.27427e-22	0.00148779
2	2e-05	0.95	0.05	10	0.692092	0.879167	1.27427e-22	0.00148627
3	3e-05	0.95	0.05	10	0.692105	0.879183	1.27426e-22	0.00148498
4	4e-05	0.95	0.05	10	0.692116	0.879197	1.27426e-22	0.00148385
6	6e-05	0.95	0.05	10	0.692135	0.879222	1.27426e-22	0.00148193
8	8e-05	0.95	0.05	10	0.692152	0.879242	1.27426e-22	0.0014803
10	0.0001	0.95	0.05	10	0.692166	0.879261	1.27426e-22	0.00147887
12	0.00012	0.95	0.05	10	0.692179	0.879277	1.27426e-22	0.00147757
14	0.00014	0.95	0.05	10	0.692191	0.879292	1.27426e-22	0.00147639
17	0.00017	0.95	0.05	10	0.692207	0.879313	1.27426e-22	0.00147476
20	0.0002	0.95	0.05	10	0.692223	0.879333	1.27426e-22	0.00147328
24	0.00024	0.95	0.05	10	0.692241	0.879356	1.27426e-22	0.00147147
28	0.00028	0.95	0.05	10	0.692258	0.879378	1.27425e-22	0.00146981
32	0.00032	0.95	0.05	10	0.692274	0.879398	1.27425e-22	0.00146827
37	0.00037	0.95	0.05	10	0.692293	0.879422	1.27425e-22	0.00146647
43	0.00043	0.95	0.05	10	0.692314	0.879448	1.27425e-22	0.00146448
49	0.00049	0.95	0.05	10	0.692333	0.879473	1.27425e-22	0.00146263
56	0.00056	0.95	0.05	10	0.692355	0.8795	1.27425e-22	0.00146062
64	0.00064	0.95	0.05	10	0.692378	0.879529	1.27425e-22	0.00145847
73	0.00073	0.95	0.05	10	0.692402	0.87956	1.27425e-22	0.00145622
83	0.00083	0.95	0.05	10	0.692427	0.879592	1.27424e-22	0.00145388
94	0.00094	0.95	0.05	10	0.692453	0.879626	1.27424e-22	0.00145148
107	0.00107	0.95	0.05	10	0.692483	0.879663	1.27424e-22	0.00144883
121	0.00121	0.95	0.05	10	0.692512	0.8797	1.27424e-22	0.00144616
137	0.00137	0.95	0.05	10	0.692544	0.879741	1.27424e-22	0.00144331
155	0.00155	0.95	0.05	10	0.692578	0.879784	1.27423e-22	0.0014403
175	0.00175	0.95	0.05	10	0.692613	0.879829	1.27423e-22	0.00143718
197	0.00197	0.95	0.05	10	0.69265	0.879876	1.27423e-22	0.00143397
222	0.00222	0.95	0.05	10	0.69269	0.879926	1.27423e-22	0.00143055
250	0.0025	0.95	0.05	10	0.692732	0.87998	1.27423e-22	0.00142697
282	0.00282	0.95	0.05	10	0.692777	0.880037	1.27422e-22	0.00142314
318	0.00318	0.95	0.05	10	0.692826	0.880099	1.27422e-22	0.00141911
357	0.00357	0.95	0.05	10	0.692875	0.880161	1.27422e-22	0.00141503
402	0.00402	0.95	0.05	10	0.692929	0.88023	1.27421e-22	0.00141063
452	0.00452	0.95	0.05	10	0.692986	0.880303	1.27421e-22	0.00140606
508	0.00508	0.95	0.05	10	0.693047	0.880379	1.27421e-22	0.00140128
