# Filename: 2DKT_FPquench_vst_T_0.999_0.95_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 Jan 12 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.999, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.999	0.001	10	0.663319	0.886078	1.27535e-22	0.00149764
1	1e-05	0.95	0.05	10	0.692665	0.879895	1.31859e-22	0.0014962
2	2e-05	0.95	0.05	10	0.692668	0.879899	1.31859e-22	0.00149587
3	3e-05	0.95	0.05	10	0.692671	0.879903	1.31859e-22	0.00149556
4	4e-05	0.95	0.05	10	0.692674	0.879906	1.31859e-22	0.00149526
6	6e-05	0.95	0.05	10	0.69268	0.879914	1.31859e-22	0.0014947
8	8e-05	0.95	0.05	10	0.692685	0.87992	1.31859e-22	0.00149417
10	0.0001	0.95	0.05	10	0.69269	0.879927	1.31859e-22	0.00149365
12	0.00012	0.95	0.05	10	0.692695	0.879933	1.31859e-22	0.00149316
14	0.00014	0.95	0.05	10	0.6927	0.879939	1.31859e-22	0.00149267
17	0.00017	0.95	0.05	10	0.692707	0.879948	1.31859e-22	0.00149196
20	0.0002	0.95	0.05	10	0.692714	0.879957	1.31859e-22	0.00149128
24	0.00024	0.95	0.05	10	0.692723	0.879969	1.31859e-22	0.00149038
28	0.00028	0.95	0.05	10	0.692732	0.87998	1.31859e-22	0.00148951
32	0.00032	0.95	0.05	10	0.692741	0.879991	1.31859e-22	0.00148865
37	0.00037	0.95	0.05	10	0.692752	0.880005	1.31859e-22	0.0014876
43	0.00043	0.95	0.05	10	0.692765	0.880021	1.31859e-22	0.00148637
49	0.00049	0.95	0.05	10	0.692777	0.880037	1.31859e-22	0.00148516
56	0.00056	0.95	0.05	10	0.692791	0.880055	1.31859e-22	0.00148377
64	0.00064	0.95	0.05	10	0.692808	0.880076	1.31859e-22	0.00148221
73	0.00073	0.95	0.05	10	0.692825	0.880098	1.31859e-22	0.00148049
83	0.00083	0.95	0.05	10	0.692845	0.880123	1.31859e-22	0.00147862
94	0.00094	0.95	0.05	10	0.692866	0.88015	1.31859e-22	0.00147659
107	0.00107	0.95	0.05	10	0.692891	0.880182	1.31859e-22	0.00147424
121	0.00121	0.95	0.05	10	0.692918	0.880215	1.31859e-22	0.00147175
137	0.00137	0.95	0.05	10	0.692947	0.880253	1.31859e-22	0.00146896
155	0.00155	0.95	0.05	10	0.69298	0.880295	1.31859e-22	0.00146588
175	0.00175	0.95	0.05	10	0.693017	0.880341	1.31859e-22	0.00146252
197	0.00197	0.95	0.05	10	0.693056	0.880391	1.31859e-22	0.00145889
222	0.00222	0.95	0.05	10	0.6931	0.880447	1.31859e-22	0.00145485
250	0.0025	0.95	0.05	10	0.693149	0.880509	1.31859e-22	0.00145041
282	0.00282	0.95	0.05	10	0.693204	0.880579	1.31859e-22	0.00144544
318	0.00318	0.95	0.05	10	0.693265	0.880656	1.31859e-22	0.00143998
357	0.00357	0.95	0.05	10	0.69333	0.880739	1.31859e-22	0.00143418
402	0.00402	0.95	0.05	10	0.693403	0.880832	1.31859e-22	0.00142765
452	0.00452	0.95	0.05	10	0.693484	0.880935	1.31859e-22	0.00142056
508	0.00508	0.95	0.05	10	0.693573	0.881048	1.31859e-22	0.00141281
572	0.00572	0.95	0.05	10	0.693673	0.881175	1.31859e-22	0.00140418
642	0.00642	0.95	0.05	10	0.693781	0.881312	1.31859e-22	0.001395
722	0.00722	0.95	0.05	10	0.693901	0.881465	1.31859e-22	0.0013848
811	0.00811	0.95	0.05	10	0.694033	0.881632	1.31859e-22	0.00137378
911	0.00911	0.95	0.05	10	0.694178	0.881816	1.31859e-22	0.00136179
1023	0.01023	0.95	0.05	10	0.694337	0.882019	1.31859e-22	0.00134878
1149	0.01149	0.95	0.05	10	0.694512	0.882241	1.31859e-22	0.00133464
1290	0.0129	0.95	0.05	10	0.694704	0.882485	1.31859e-22	0.00131938
1449	0.01449	0.95	0.05	10	0.694915	0.882753	1.31859e-22	0.00130281
1627	0.01627	0.95	0.05	10	0.695145	0.883045	1.31859e-22	0.00128499
