r    rhos    gamma 
0 1 0.000622969
0.05 0.997169 0.000492693
0.1 0.994448 0.000389915
0.15 0.991831 0.00030877
0.2 0.989312 0.00024466
0.25 0.986886 0.000193974

# t = 25000
0.0015   0.999916   0.000453541
0.0035   0.99983   0.00045343
0.0055   0.999745   0.000453238
0.0075   0.999658   0.000452967
0.0095   0.999571   0.000452617
0.0115   0.999484   0.000452188
0.0135   0.999396   0.000451682
0.0155   0.999307   0.000451099
0.0175   0.999218   0.00045044
0.0195   0.999128   0.000449705
0.0215   0.999037   0.000448897
0.0235   0.998946   0.000448016
0.0255   0.998855   0.000447062
0.0275   0.998763   0.000446038
0.0295   0.99867   0.000444944
0.0315   0.998577   0.000443781
0.0335   0.998484   0.000442551
0.0355   0.99839   0.000441255
0.0375   0.998295   0.000439894
0.0395   0.9982   0.00043847
0.0415   0.998105   0.000436984
0.0435   0.998009   0.000435438
0.0455   0.997913   0.000433832
0.0475   0.997816   0.00043217
0.0495   0.99772   0.000430451
0.0545   0.997476   0.00042592
0.0595   0.99723   0.000421076
0.0645   0.996982   0.000415944
0.0695   0.996733   0.000410552
0.0745   0.996481   0.000404927
0.0795   0.996229   0.000399098
0.0845   0.995975   0.000393093
0.0895   0.995721   0.000386939
0.0945   0.995465   0.000380665
0.0995   0.995209   0.000374298
0.1045   0.994952   0.000367866
0.1095   0.994695   0.000361395
0.1145   0.994437   0.000354911
0.1195   0.994179   0.000348439
0.1245   0.993921   0.000342004
0.1295   0.993662   0.00033563
0.1345   0.993403   0.000329339
0.1395   0.993145   0.000323154
0.1445   0.992886   0.000317094
0.1495   0.992626   0.000311182
0.1545   0.992367   0.000305434
0.1595   0.992108   0.000299871
0.1645   0.991848   0.00029451
0.1695   0.991587   0.000289368
0.1745   0.991327   0.00028446
0.1795   0.991065   0.000279801
0.1845   0.990803   0.000275406
0.1895   0.990539   0.000271289
0.1945   0.990275   0.000267461
0.1995   0.990008   0.000263934
0.2045   0.98974   0.000260718
0.2095   0.98947   0.000257822
0.2145   0.989198   0.000255256
0.2195   0.988923   0.000253024
0.2245   0.988645   0.000251134
0.2295   0.988363   0.000249588
0.2345   0.988077   0.000248391
0.2395   0.987787   0.000247542
0.2445   0.987492   0.000247041
0.2495   0.987192   0.000246886

# t = 50000
0.0015   0.999926   0.000399375
0.0035   0.999851   0.000399312
0.0055   0.999775   0.000399203
0.0075   0.999699   0.000399048
0.0095   0.999623   0.000398848
0.0115   0.999545   0.000398603
0.0135   0.999468   0.000398313
0.0155   0.999389   0.000397979
0.0175   0.99931   0.000397602
0.0195   0.999231   0.000397182
0.0215   0.999151   0.000396718
0.0235   0.999071   0.000396213
0.0255   0.99899   0.000395665
0.0275   0.998908   0.000395077
0.0295   0.998826   0.000394447
0.0315   0.998744   0.000393778
0.0335   0.998661   0.000393069
0.0355   0.998577   0.000392321
0.0375   0.998493   0.000391535
0.0395   0.998408   0.000390711
0.0415   0.998323   0.00038985
0.0435   0.998238   0.000388953
0.0455   0.998152   0.00038802
0.0475   0.998066   0.000387053
0.0495   0.997979   0.000386051
0.0545   0.99776   0.000383403
0.0595   0.997538   0.000380559
0.0645   0.997313   0.000377532
0.0695   0.997086   0.000374336
0.0745   0.996856   0.000370984
0.0795   0.996624   0.000367492
0.0845   0.99639   0.000363874
0.0895   0.996154   0.000360146
0.0945   0.995915   0.000356323
0.0995   0.995674   0.000352422
0.1045   0.995432   0.000348457
0.1095   0.995187   0.000344446
0.1145   0.99494   0.000340405
0.1195   0.994692   0.000336349
0.1245   0.994441   0.000332296
0.1295   0.994189   0.00032826
0.1345   0.993935   0.000324259
0.1395   0.993679   0.000320307
0.1445   0.993422   0.000316419
0.1495   0.993162   0.000312611
0.1545   0.9929   0.000308897
0.1595   0.992637   0.000305291
0.1645   0.992371   0.000301806
0.1695   0.992103   0.000298455
0.1745   0.991833   0.000295251
0.1795   0.991561   0.000292204
0.1845   0.991286   0.000289327
0.1895   0.991008   0.000286627
0.1945   0.990727   0.000284116
0.1995   0.990444   0.0002818
0.2045   0.990157   0.000279688
0.2095   0.989866   0.000277787
0.2145   0.989572   0.000276101
0.2195   0.989274   0.000274635
0.2245   0.988971   0.000273394
0.2295   0.988664   0.000272379
0.2345   0.988352   0.000271592
0.2395   0.988034   0.000271035
0.2445   0.987711   0.000270706
0.2495   0.987381   0.000270605

# t = 75000
0.0015   0.999932   0.00036689
0.0035   0.999863   0.000366851
0.0055   0.999794   0.000366783
0.0075   0.999724   0.000366687
0.0095   0.999653   0.000366564
0.0115   0.999582   0.000366413
0.0135   0.999511   0.000366234
0.0155   0.999439   0.000366028
0.0175   0.999366   0.000365795
0.0195   0.999293   0.000365536
0.0215   0.99922   0.00036525
0.0235   0.999145   0.000364937
0.0255   0.999071   0.000364599
0.0275   0.998996   0.000364236
0.0295   0.99892   0.000363847
0.0315   0.998844   0.000363433
0.0335   0.998767   0.000362995
0.0355   0.99869   0.000362533
0.0375   0.998612   0.000362047
0.0395   0.998534   0.000361538
0.0415   0.998455   0.000361005
0.0435   0.998376   0.00036045
0.0455   0.998297   0.000359873
0.0475   0.998216   0.000359274
0.0495   0.998136   0.000358654
0.0545   0.997932   0.000357014
0.0595   0.997725   0.000355252
0.0645   0.997515   0.000353374
0.0695   0.997302   0.00035139
0.0745   0.997086   0.000349308
0.0795   0.996867   0.000347136
0.0845   0.996646   0.000344884
0.0895   0.996421   0.000342561
0.0945   0.996193   0.000340176
0.0995   0.995963   0.000337739
0.1045   0.99573   0.000335261
0.1095   0.995494   0.00033275
0.1145   0.995255   0.000330217
0.1195   0.995013   0.000327673
0.1245   0.994769   0.000325126
0.1295   0.994521   0.000322588
0.1345   0.994271   0.000320068
0.1395   0.994018   0.000317575
0.1445   0.993762   0.000315121
0.1495   0.993502   0.000312714
0.1545   0.99324   0.000310363
0.1595   0.992974   0.000308079
0.1645   0.992706   0.000305868
0.1695   0.992434   0.00030374
0.1745   0.992158   0.000301703
0.1795   0.991879   0.000299764
0.1845   0.991596   0.000297931
0.1895   0.99131   0.000296209
0.1945   0.991019   0.000294606
0.1995   0.990724   0.000293127
0.2045   0.990425   0.000291777
0.2095   0.990122   0.000290561
0.2145   0.989813   0.000289481
0.2195   0.9895   0.000288543
0.2245   0.989182   0.000287747
0.2295   0.988858   0.000287096
0.2345   0.988528   0.000286592
0.2395   0.988193   0.000286234
0.2445   0.987852   0.000286023
0.2495   0.987503   0.000285958

# t = 100000
0.0015   0.999935   0.000346611
0.0035   0.99987   0.000346587
0.0055   0.999805   0.000346544
0.0075   0.999739   0.000346484
0.0095   0.999672   0.000346407
0.0115   0.999605   0.000346312
0.0135   0.999538   0.0003462
0.0155   0.99947   0.000346071
0.0175   0.999401   0.000345925
0.0195   0.999332   0.000345763
0.0215   0.999262   0.000345583
0.0235   0.999192   0.000345388
0.0255   0.999122   0.000345176
0.0275   0.99905   0.000344948
0.0295   0.998979   0.000344704
0.0315   0.998907   0.000344445
0.0335   0.998834   0.00034417
0.0355   0.998761   0.00034388
0.0375   0.998687   0.000343576
0.0395   0.998613   0.000343256
0.0415   0.998538   0.000342923
0.0435   0.998463   0.000342575
0.0455   0.998387   0.000342213
0.0475   0.998311   0.000341837
0.0495   0.998234   0.000341449
0.0545   0.99804   0.00034042
0.0595   0.997842   0.000339314
0.0645   0.997641   0.000338136
0.0695   0.997437   0.000336891
0.0745   0.99723   0.000335584
0.0795   0.99702   0.000334221
0.0845   0.996806   0.000332807
0.0895   0.996589   0.000331347
0.0945   0.996368   0.000329849
0.0995   0.996145   0.000328318
0.1045   0.995918   0.000326759
0.1095   0.995687   0.00032518
0.1145   0.995454   0.000323587
0.1195   0.995216   0.000321986
0.1245   0.994976   0.000320383
0.1295   0.994731   0.000318784
0.1345   0.994484   0.000317197
0.1395   0.994232   0.000315627
0.1445   0.993977   0.00031408
0.1495   0.993718   0.000312562
0.1545   0.993456   0.000311079
0.1595   0.993189   0.000309637
0.1645   0.992918   0.000308242
0.1695   0.992644   0.000306899
0.1745   0.992365   0.000305612
0.1795   0.992082   0.000304387
0.1845   0.991794   0.000303228
0.1895   0.991502   0.00030214
0.1945   0.991205   0.000301127
0.1995   0.990904   0.000300191
0.2045   0.990597   0.000299337
0.2095   0.990285   0.000298567
0.2145   0.989968   0.000297884
0.2195   0.989645   0.00029729
0.2245   0.989317   0.000296786
0.2295   0.988983   0.000296374
0.2345   0.988643   0.000296054
0.2395   0.988296   0.000295828
0.2445   0.987943   0.000295694
0.2495   0.987583   0.000295653

# t = 125000
0.0015   0.999938   0.000333816
0.0035   0.999875   0.0003338
0.0055   0.999812   0.000333774
0.0075   0.999749   0.000333736
0.0095   0.999684   0.000333687
0.0115   0.99962   0.000333628
0.0135   0.999555   0.000333557
0.0155   0.999489   0.000333476
0.0175   0.999423   0.000333384
0.0195   0.999356   0.000333282
0.0215   0.999289   0.000333169
0.0235   0.999222   0.000333046
0.0255   0.999154   0.000332912
0.0275   0.999085   0.000332769
0.0295   0.999016   0.000332615
0.0315   0.998946   0.000332452
0.0335   0.998876   0.000332279
0.0355   0.998805   0.000332097
0.0375   0.998734   0.000331905
0.0395   0.998662   0.000331704
0.0415   0.99859   0.000331494
0.0435   0.998517   0.000331275
0.0455   0.998444   0.000331047
0.0475   0.99837   0.000330811
0.0495   0.998296   0.000330566
0.0545   0.998108   0.000329918
0.0595   0.997916   0.000329222
0.0645   0.997721   0.00032848
0.0695   0.997523   0.000327696
0.0745   0.997321   0.000326873
0.0795   0.997116   0.000326015
0.0845   0.996907   0.000325124
0.0895   0.996695   0.000324205
0.0945   0.996479   0.000323261
0.0995   0.99626   0.000322296
0.1045   0.996037   0.000321314
0.1095   0.99581   0.00032032
0.1145   0.995579   0.000319316
0.1195   0.995345   0.000318307
0.1245   0.995107   0.000317296
0.1295   0.994865   0.000316289
0.1345   0.994619   0.000315288
0.1395   0.994368   0.000314298
0.1445   0.994114   0.000313323
0.1495   0.993856   0.000312366
0.1545   0.993593   0.000311431
0.1595   0.993326   0.000310522
0.1645   0.993054   0.000309642
0.1695   0.992778   0.000308794
0.1745   0.992497   0.000307983
0.1795   0.992211   0.00030721
0.1845   0.991921   0.000306479
0.1895   0.991625   0.000305792
0.1945   0.991325   0.000305152
0.1995   0.991019   0.000304562
0.2045   0.990707   0.000304023
0.2095   0.990391   0.000303537
0.2145   0.990068   0.000303105
0.2195   0.98974   0.00030273
0.2245   0.989405   0.000302412
0.2295   0.989064   0.000302152
0.2345   0.988717   0.00030195
0.2395   0.988364   0.000301807
0.2445   0.988004   0.000301723
0.2495   0.987636   0.000301696

# t = 150000
0.0015   0.999939   0.000325696
0.0035   0.999878   0.000325687
0.0055   0.999817   0.00032567
0.0075   0.999755   0.000325646
0.0095   0.999692   0.000325615
0.0115   0.999629   0.000325578
0.0135   0.999565   0.000325533
0.0155   0.999501   0.000325482
0.0175   0.999437   0.000325424
0.0195   0.999372   0.000325359
0.0215   0.999306   0.000325288
0.0235   0.99924   0.00032521
0.0255   0.999174   0.000325126
0.0275   0.999107   0.000325036
0.0295   0.999039   0.000324939
0.0315   0.998971   0.000324836
0.0335   0.998903   0.000324727
0.0355   0.998834   0.000324612
0.0375   0.998764   0.000324491
0.0395   0.998694   0.000324364
0.0415   0.998623   0.000324231
0.0435   0.998552   0.000324093
0.0455   0.99848   0.000323949
0.0475   0.998408   0.0003238
0.0495   0.998335   0.000323646
0.0545   0.998151   0.000323237
0.0595   0.997963   0.000322798
0.0645   0.997772   0.00032233
0.0695   0.997577   0.000321836
0.0745   0.997379   0.000321317
0.0795   0.997177   0.000320775
0.0845   0.996972   0.000320213
0.0895   0.996763   0.000319633
0.0945   0.99655   0.000319038
0.0995   0.996333   0.000318429
0.1045   0.996113   0.00031781
0.1095   0.995888   0.000317182
0.1145   0.99566   0.000316549
0.1195   0.995427   0.000315912
0.1245   0.995191   0.000315275
0.1295   0.99495   0.000314639
0.1345   0.994705   0.000314007
0.1395   0.994455   0.000313383
0.1445   0.994202   0.000312767
0.1495   0.993944   0.000312163
0.1545   0.993681   0.000311573
0.1595   0.993413   0.000310999
0.1645   0.993141   0.000310444
0.1695   0.992864   0.000309909
0.1745   0.992582   0.000309397
0.1795   0.992295   0.000308909
0.1845   0.992003   0.000308447
0.1895   0.991705   0.000308014
0.1945   0.991402   0.00030761
0.1995   0.991093   0.000307237
0.2045   0.990779   0.000306896
0.2095   0.990459   0.000306589
0.2145   0.990133   0.000306317
0.2195   0.989801   0.00030608
0.2245   0.989463   0.000305879
0.2295   0.989118   0.000305714
0.2345   0.988767   0.000305587
0.2395   0.988409   0.000305497
0.2445   0.988044   0.000305443
0.2495   0.987673   0.000305427

# t = 175000
0.0015   0.99994   0.000320513
0.0035   0.99988   0.000320507
0.0055   0.99982   0.000320497
0.0075   0.999759   0.000320482
0.0095   0.999697   0.000320462
0.0115   0.999635   0.000320438
0.0135   0.999572   0.00032041
0.0155   0.999509   0.000320378
0.0175   0.999446   0.000320341
0.0195   0.999382   0.0003203
0.0215   0.999317   0.000320255
0.0235   0.999252   0.000320206
0.0255   0.999187   0.000320153
0.0275   0.999121   0.000320096
0.0295   0.999054   0.000320035
0.0315   0.998987   0.000319969
0.0335   0.99892   0.0003199
0.0355   0.998852   0.000319828
0.0375   0.998783   0.000319751
0.0395   0.998714   0.000319671
0.0415   0.998644   0.000319587
0.0435   0.998574   0.0003195
0.0455   0.998503   0.000319409
0.0475   0.998432   0.000319315
0.0495   0.99836   0.000319217
0.0545   0.998179   0.000318959
0.0595   0.997993   0.000318681
0.0645   0.997804   0.000318386
0.0695   0.997612   0.000318073
0.0745   0.997416   0.000317745
0.0795   0.997216   0.000317403
0.0845   0.997013   0.000317047
0.0895   0.996806   0.000316681
0.0945   0.996595   0.000316305
0.0995   0.99638   0.00031592
0.1045   0.996161   0.000315529
0.1095   0.995938   0.000315132
0.1145   0.995711   0.000314732
0.1195   0.99548   0.000314329
0.1245   0.995244   0.000313926
0.1295   0.995005   0.000313525
0.1345   0.99476   0.000313125
0.1395   0.994512   0.000312731
0.1445   0.994258   0.000312342
0.1495   0.994   0.00031196
0.1545   0.993737   0.000311587
0.1595   0.99347   0.000311224
0.1645   0.993197   0.000310873
0.1695   0.99292   0.000310534
0.1745   0.992637   0.00031021
0.1795   0.992349   0.000309902
0.1845   0.992056   0.00030961
0.1895   0.991757   0.000309336
0.1945   0.991453   0.00030908
0.1995   0.991142   0.000308844
0.2045   0.990827   0.000308629
0.2095   0.990505   0.000308435
0.2145   0.990177   0.000308262
0.2195   0.989842   0.000308112
0.2245   0.989502   0.000307985
0.2295   0.989155   0.000307881
0.2345   0.988801   0.0003078
0.2395   0.98844   0.000307743
0.2445   0.988073   0.000307709
0.2495   0.987698   0.000307699

# t = 200000
0.0015   0.999941   0.000317177
0.0035   0.999881   0.000317173
0.0055   0.999821   0.000317166
0.0075   0.999761   0.000317157
0.0095   0.9997   0.000317145
0.0115   0.999639   0.00031713
0.0135   0.999577   0.000317112
0.0155   0.999514   0.000317091
0.0175   0.999452   0.000317068
0.0195   0.999388   0.000317042
0.0215   0.999324   0.000317013
