# Filename: 2DKT_FPquench_vst_T_0.95_0.85_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 Apr 06 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.95, qTfrac=0.85, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.95	0.05	10	0.749835	0.952518	1.08539e-24	0.000928136
1	1e-05	0.85	0.15	10	0.832896	0.946658	1.08179e-24	0.000928088
2	2e-05	0.85	0.15	10	0.832896	0.946659	1.08179e-24	0.000928058
3	3e-05	0.85	0.15	10	0.832897	0.94666	1.08179e-24	0.000928028
4	4e-05	0.85	0.15	10	0.832897	0.94666	1.08179e-24	0.000927998
6	6e-05	0.85	0.15	10	0.832898	0.946662	1.08179e-24	0.000927938
8	8e-05	0.85	0.15	10	0.8329	0.946663	1.08179e-24	0.000927877
10	0.0001	0.85	0.15	10	0.832901	0.946664	1.08179e-24	0.000927815
12	0.00012	0.85	0.15	10	0.832902	0.946665	1.08179e-24	0.000927753
14	0.00014	0.85	0.15	10	0.832903	0.946667	1.08179e-24	0.000927689
17	0.00017	0.85	0.15	10	0.832905	0.946669	1.08179e-24	0.000927593
20	0.0002	0.85	0.15	10	0.832907	0.946671	1.08179e-24	0.000927495
24	0.00024	0.85	0.15	10	0.832909	0.946674	1.08179e-24	0.000927363
28	0.00028	0.85	0.15	10	0.832911	0.946676	1.08179e-24	0.000927229
32	0.00032	0.85	0.15	10	0.832914	0.946679	1.08179e-24	0.000927092
37	0.00037	0.85	0.15	10	0.832917	0.946683	1.08179e-24	0.000926918
43	0.00043	0.85	0.15	10	0.832921	0.946687	1.08179e-24	0.000926706
49	0.00049	0.85	0.15	10	0.832925	0.946692	1.08179e-24	0.00092649
56	0.00056	0.85	0.15	10	0.83293	0.946697	1.08179e-24	0.000926234
