r0    rhos0    gamma0 
0 1.001 0.000618384
0.08 0.995829 0.000578012
0.16 0.989329 0.000527774
0.24 0.98137 0.000470999
0.32 0.971871 0.000411054
0.4 0.960819 0.000351025
0.48 0.948275 0.000293485
0.56 0.934377 0.000240368
0.64 0.919335 0.000192937
0.72 0.90342 0.000151834
0.8 0.886943 0.000117179
0.88 0.870239 8.87009e-05
0.96 0.853641 6.58584e-05
1.04 0.837467 4.79573e-05
1.12 0.822001 3.42426e-05
1.2 0.807483 2.39669e-05
1.28 0.794099 1.64368e-05
1.36 0.781982 1.10405e-05
1.44 0.77121 7.2596e-06
1.52 0.761809 4.67051e-06
1.6 0.753756 2.93848e-06
1.68 0.746989 1.80705e-06
1.76 0.741416 1.08569e-06
1.84 0.736918 6.37009e-07
1.92 0.733365 3.64856e-07
2 0.730619 2.03935e-07
2.08 0.728543 1.11208e-07
2.16 0.72701 5.91501e-08
2.24 0.725905 3.06811e-08
2.32 0.725126 1.55174e-08
2.4 0.724592 7.6517e-09
2.48 0.724233 3.67833e-09
2.56 0.723999 1.72374e-09
2.64 0.72385 7.87421e-10
2.72 0.723757 3.50626e-10
2.8 0.723701 1.52186e-10
2.88 0.723667 6.43863e-11
2.96 0.723648 2.65521e-11
3.04 0.723637 1.06731e-11
3.12 0.723632 4.18181e-12
3.2 0.723628 1.59706e-12
3.28 0.723627 5.94511e-13
3.36 0.723626 2.15715e-13
3.44 0.723626 7.6293e-14
3.52 0.723625 2.63009e-14
3.6 0.723625 8.83769e-15
3.68 0.723625 2.8946e-15
3.76 0.723625 9.24105e-16
3.84 0.723625 2.87565e-16
3.92 0.723625 8.72233e-17
4 0.723625 2.57876e-17
4.08 0.723625 7.43143e-18
4.16 0.723625 2.08745e-18
4.24 0.723625 5.71532e-19
4.32 0.723625 1.52528e-19
4.4 0.723625 3.96769e-20
4.48 0.723625 1.00603e-20
4.56 0.723625 2.48636e-21
4.64 0.723625 5.98965e-22
4.72 0.723625 1.40644e-22
4.8 0.723625 3.219e-23
4.88 0.723625 7.18133e-24
4.96 0.723625 1.5616e-24
5.04 0.723625 3.30993e-25
5.12 0.723625 6.83832e-26
5.2 0.723625 1.37709e-26
5.28 0.723625 2.70307e-27
5.36 0.723625 5.17173e-28
5.44 0.723625 9.64487e-29
5.52 0.723625 1.75323e-29
5.6 0.723625 3.10645e-30
5.68 0.723625 5.36503e-31
5.76 0.723625 9.03157e-32
5.84 0.723625 1.48196e-32
5.92 0.723625 2.37024e-33
6 0.723625 3.69514e-34
6.08 0.723625 5.61503e-35
6.16 0.723625 8.3168e-36
6.24 0.723625 1.20072e-36
6.32 0.723625 1.68971e-37
6.4 0.723625 2.31775e-38
6.48 0.723625 3.09886e-39
6.56 0.723625 4.03851e-40
6.64 0.723625 5.13006e-41
6.72 0.723625 6.35196e-42
6.8 0.723625 7.66612e-43
6.88 0.723625 9.01835e-44
6.96 0.723625 1.0341e-44
7.04 0.723625 1.15579e-45
7.12 0.723625 1.25916e-46
7.2 0.723625 1.33711e-47
7.28 0.723625 1.38399e-48
7.36 0.723625 1.39633e-49
7.44 0.723625 1.37316e-50
7.52 0.723625 1.31626e-51
7.6 0.723625 1.22983e-52
7.68 0.723625 1.12004e-53
7.76 0.723625 9.94271e-55
7.84 0.723625 8.60321e-56
7.92 0.723625 7.25605e-57
8 0.723625 5.96519e-58
r1       rhos1       gamma1  
0   1   0.00042243 
0.024   0.99872   0.000366441
0.056   0.99746   0.000318697
0.088   0.996217   0.000277964
