# Filename: 2DKT_FPquench_vst_T_0.999_0.95_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 Apr 06 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.999, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.999	0.001	10	0.748599	0.999996	2.31126e-24	0.00145273
1	1e-05	0.95	0.05	10	0.724428	0.920243	2.31556e-24	0.00145268
2	2e-05	0.95	0.05	10	0.724428	0.920243	2.31556e-24	0.00145265
3	3e-05	0.95	0.05	10	0.724429	0.920244	2.31556e-24	0.00145262
4	4e-05	0.95	0.05	10	0.724429	0.920244	2.31556e-24	0.00145259
6	6e-05	0.95	0.05	10	0.72443	0.920245	2.31556e-24	0.00145254
8	8e-05	0.95	0.05	10	0.72443	0.920246	2.31556e-24	0.00145248
10	0.0001	0.95	0.05	10	0.724431	0.920247	2.31556e-24	0.00145242
12	0.00012	0.95	0.05	10	0.724432	0.920248	2.31556e-24	0.00145236
14	0.00014	0.95	0.05	10	0.724433	0.920249	2.31556e-24	0.0014523
17	0.00017	0.95	0.05	10	0.724434	0.92025	2.31556e-24	0.0014522
20	0.0002	0.95	0.05	10	0.724435	0.920252	2.31556e-24	0.00145211
24	0.00024	0.95	0.05	10	0.724436	0.920254	2.31556e-24	0.00145198
28	0.00028	0.95	0.05	10	0.724438	0.920256	2.31556e-24	0.00145184
32	0.00032	0.95	0.05	10	0.72444	0.920258	2.31556e-24	0.00145171
37	0.00037	0.95	0.05	10	0.724442	0.920261	2.31556e-24	0.00145153
43	0.00043	0.95	0.05	10	0.724444	0.920264	2.31556e-24	0.00145132
49	0.00049	0.95	0.05	10	0.724447	0.920267	2.31556e-24	0.0014511
56	0.00056	0.95	0.05	10	0.72445	0.920271	2.31556e-24	0.00145083
64	0.00064	0.95	0.05	10	0.724454	0.920276	2.31556e-24	0.00145053
73	0.00073	0.95	0.05	10	0.724458	0.920281	2.31556e-24	0.00145017
83	0.00083	0.95	0.05	10	0.724463	0.920288	2.31556e-24	0.00144976
94	0.00094	0.95	0.05	10	0.724468	0.920295	2.31556e-24	0.00144931
107	0.00107	0.95	0.05	10	0.724475	0.920303	2.31556e-24	0.00144875
121	0.00121	0.95	0.05	10	0.724482	0.920312	2.31556e-24	0.00144814
137	0.00137	0.95	0.05	10	0.724491	0.920323	2.31556e-24	0.00144743
155	0.00155	0.95	0.05	10	0.724501	0.920336	2.31556e-24	0.0014466
175	0.00175	0.95	0.05	10	0.724512	0.92035	2.31555e-24	0.00144566
197	0.00197	0.95	0.05	10	0.724525	0.920367	2.31555e-24	0.0014446
222	0.00222	0.95	0.05	10	0.72454	0.920386	2.31555e-24	0.00144336
250	0.0025	0.95	0.05	10	0.724557	0.920407	2.31555e-24	0.00144194
282	0.00282	0.95	0.05	10	0.724577	0.920433	2.31555e-24	0.00144028
318	0.00318	0.95	0.05	10	0.724601	0.920463	2.31555e-24	0.00143837
357	0.00357	0.95	0.05	10	0.724627	0.920495	2.31554e-24	0.00143626
402	0.00402	0.95	0.05	10	0.724657	0.920534	2.31554e-24	0.00143376
452	0.00452	0.95	0.05	10	0.724692	0.920579	2.31553e-24	0.00143093
508	0.00508	0.95	0.05	10	0.724732	0.92063	2.31553e-24	0.00142769
572	0.00572	0.95	0.05	10	0.724779	0.920689	2.31553e-24	0.00142393
642	0.00642	0.95	0.05	10	0.724832	0.920756	2.31552e-24	0.00141973
722	0.00722	0.95	0.05	10	0.724893	0.920834	2.31551e-24	0.00141485
811	0.00811	0.95	0.05	10	0.724963	0.920922	2.3155e-24	0.00140935
911	0.00911	0.95	0.05	10	0.725043	0.921024	2.3155e-24	0.00140307
1023	0.01023	0.95	0.05	10	0.725134	0.92114	2.31549e-24	0.00139597
1149	0.01149	0.95	0.05	10	0.725239	0.921273	2.31547e-24	0.00138789
1290	0.0129	0.95	0.05	10	0.725358	0.921425	2.31546e-24	0.00137878
1449	0.01449	0.95	0.05	10	0.725495	0.921598	2.31544e-24	0.00136845
1627	0.01627	0.95	0.05	10	0.725649	0.921795	2.31543e-24	0.00135686
1826	0.01826	0.95	0.05	10	0.725825	0.922017	2.31541e-24	0.00134388
2050	0.0205	0.95	0.05	10	0.726024	0.92227	2.31539e-24	0.00132932
2301	0.02301	0.95	0.05	10	0.726248	0.922556	2.31536e-24	0.00131309
2583	0.02583	0.95	0.05	10	0.72647	0.922837	2.31534e-24	0.0012979
2899	0.02899	0.95	0.05	10	0.726675	0.923098	2.31531e-24	0.00128479
3254	0.03254	0.95	0.05	10	0.726879	0.923357	2.31529e-24	0.0012723
3652	0.03652	0.95	0.05	10	0.727086	0.92362	2.31527e-24	0.00126016
4099	0.04099	0.95	0.05	10	0.727298	0.923889	2.31524e-24	0.0012482
4600	0.046	0.95	0.05	10	0.727515	0.924164	2.31522e-24	0.00123636
5162	0.05162	0.95	0.05	10	0.727739	0.924449	2.31519e-24	0.00122459
5793	0.05793	0.95	0.05	10	0.727971	0.924743	2.31517e-24	0.00121284
6501	0.06501	0.95	0.05	10	0.72821	0.925048	2.31514e-24	0.00120112
7296	0.07296	0.95	0.05	10	0.728459	0.925364	2.31511e-24	0.00118942
8187	0.08187	0.95	0.05	10	0.728716	0.92569	2.31508e-24	0.00117777
9187	0.09187	0.95	0.05	10	0.728983	0.926029	2.31505e-24	0.00116615
10309	0.10309	0.95	0.05	10	0.729259	0.92638	2.31502e-24	0.00115458
11568	0.11568	0.95	0.05	10	0.729544	0.926742	2.31499e-24	0.0011431
12980	0.1298	0.95	0.05	10	0.729839	0.927117	2.31496e-24	0.00113172
14565	0.14565	0.95	0.05	10	0.730144	0.927504	2.31492e-24	0.00112046
16343	0.16343	0.95	0.05	10	0.730458	0.927903	2.31489e-24	0.00110936
18339	0.18339	0.95	0.05	10	0.730781	0.928314	2.31485e-24	0.00109844
20577	0.20577	0.95	0.05	10	0.731113	0.928736	2.31481e-24	0.00108774
23089	0.23089	0.95	0.05	10	0.731454	0.929169	2.31478e-24	0.00107729
25908	0.25908	0.95	0.05	10	0.731803	0.929612	2.31474e-24	0.00106711
29070	0.2907	0.95	0.05	10	0.73216	0.930065	2.3147e-24	0.00105724
32618	0.32618	0.95	0.05	10	0.732523	0.930526	2.31466e-24	0.0010477
36599	0.36599	0.95	0.05	10	0.732893	0.930996	2.31461e-24	0.00103852
41066	0.41066	0.95	0.05	10	0.733268	0.931473	2.31457e-24	0.00102972
46078	0.46078	0.95	0.05	10	0.733648	0.931955	2.31453e-24	0.00102133
51701	0.51701	0.95	0.05	10	0.734031	0.932442	2.31449e-24	0.00101336
58011	0.58011	0.95	0.05	10	0.734418	0.932934	2.31444e-24	0.00100581
