# Filename: 2DKT_FPquench_vsl_T_1_0.1_lmax10_dl0.00025_tmax10_dt01e-05_BC3_dbug.dat
# Source: 2DKT_FPquench.c
# Source version: 4 (2011 May 26 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: BC=3, iTfrac=1, qTfrac=0.1, lmax=10, lsteps=40000, (dl=0.00025), lpts=40001, ldatamax=100, tmax=10, dt0=1e-05, a0=1, a02=1, a04=1, K0c=0.747853

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.00025	0.747842	0.999986	0.000622238
1	0	0.0005	0.747831	0.999971	0.000621507
1	0	0.00075	0.747821	0.999957	0.000620778
1	0	0.001	0.74781	0.999942	0.000620049
1	0	0.00125	0.747799	0.999928	0.000619321
1	0	0.0015	0.747788	0.999913	0.000618594
1	0	0.00175	0.747777	0.999899	0.000617868
1	0	0.002	0.747767	0.999885	0.000617143
1	0	0.00225	0.747756	0.99987	0.000616418
1	0	0.0025	0.747745	0.999856	0.000615694
1	0	0.00275	0.747734	0.999841	0.000614972
1	0	0.003	0.747724	0.999827	0.00061425
1	0	0.00325	0.747713	0.999813	0.000613529
1	0	0.0035	0.747702	0.999798	0.000612809
1	0	0.1	0.743702	0.994449	0.000389915
1	0	0.2	0.739862	0.989315	0.00024466
1	0	0.3	0.7363	0.984551	0.000153874
1	0	0.4	0.732985	0.980118	9.69849e-05
1	0	0.5	0.729891	0.975983	6.12516e-05
1	0	0.6	0.726998	0.972114	3.87568e-05
1	0	0.7	0.724286	0.968487	2.45664e-05
1	0	0.8	0.721738	0.965079	1.55974e-05
1	0	0.9	0.719338	0.961871	9.91835e-06
1	0	1	0.717076	0.958846	6.31628e-06
1	0	1.1	0.714937	0.955987	4.02795e-06
1	0	1.2	0.712914	0.953281	2.57202e-06
1	0	1.3	0.710995	0.950716	1.64438e-06
1	0	1.4	0.709174	0.94828	1.05254e-06
1	0	1.5	0.707443	0.945966	6.74467e-07
1	0	1.6	0.705795	0.943762	4.32657e-07
1	0	1.7	0.704225	0.941662	2.77821e-07
1	0	1.8	0.702726	0.939658	1.78569e-07
