# Filename: 2DKT_FPquench_vsl_T_1_0.1_lmax10_dl0.001_tmax10_dt01e-05_BC3_dbug.dat
# Source: 2DKT_FPquench.c
# Source version: 4 (2011 May 26 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: BC=3, iTfrac=1, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=100, tmax=10, dt0=1e-05, a0=1, a02=1, a04=1, K0c=0.747853

# time step n_t = 2	t = 2.000000e-05	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	0.000698408
0.1	0.9	0.001	7.47368	0.999352	0.000687863
0.1	0.9	0.002	7.4689	0.998712	0.000472075
0.1	0.9	0.003	7.4656	0.998272	0.000718204
0.1	0.9	0.004	7.46058	0.997599	0.000568262
0.1	0.9	0.005	7.45659	0.997066	0.000612118
0.1	0.9	0.006	7.45228	0.99649	0.000602974
0.1	0.9	0.007	7.44803	0.995921	0.000600156
0.1	0.9	0.008	7.44378	0.995353	0.000597351
0.1	0.9	0.009	7.43954	0.994786	0.00059456
0.1	0.9	0.01	7.4353	0.99422	0.000591781
0.1	0.9	0.011	7.43108	0.993655	0.000589016
0.1	0.9	0.012	7.42686	0.993091	0.000586264
0.1	0.9	0.013	7.42265	0.992528	0.000583525
0.1	0.9	0.014	7.41845	0.991966	0.000580799
0.1	0.9	0.1	7.08354	0.947184	0.000388585
0.1	0.9	0.2	6.75035	0.90263	0.000244022
0.1	0.9	0.3	6.46516	0.864496	0.000153564
0.1	0.9	0.4	6.21827	0.831483	9.68329e-05
0.1	0.9	0.5	6.00245	0.802624	6.11763e-05
0.1	0.9	0.6	5.81215	0.777178	3.87189e-05
0.1	0.9	0.7	5.64309	0.754572	2.45472e-05
0.1	0.9	0.8	5.49188	0.734354	1.55875e-05
0.1	0.9	0.9	5.35583	0.716161	9.91312e-06
0.1	0.9	1	5.23276	0.699704	6.31347e-06
0.1	0.9	1.1	5.12088	0.684744	4.0264e-06
0.1	0.9	1.2	5.01872	0.671084	2.57114e-06
0.1	0.9	1.3	4.92507	0.658562	1.64386e-06
0.1	0.9	1.4	4.8389	0.647039	1.05223e-06
0.1	0.9	1.5	4.75933	0.6364	6.74277e-07
0.1	0.9	1.6	4.68564	0.626546	4.32537e-07
0.1	0.9	1.7	4.6172	0.617394	2.77744e-07
0.1	0.9	1.8	4.55345	0.608869	1.78518e-07
0.1	0.9	1.9	4.49392	0.60091	1.14847e-07
0.1	0.9	2	4.43822	0.593462	7.39494e-08
0.1	0.9	2.1	4.38598	0.586476	4.76558e-08
0.1	0.9	2.2	4.33688	0.57991	3.07359e-08
0.1	0.9	2.3	4.29064	0.573728	1.98386e-08
0.1	0.9	2.4	4.24703	0.567896	1.28144e-08
0.1	0.9	2.5	4.20582	0.562386	8.2831e-09
0.1	0.9	2.6	4.16682	0.557171	5.35778e-09
0.1	0.9	2.7	4.12986	0.552228	3.46787e-09
0.1	0.9	2.8	4.09477	0.547536	2.24603e-09
0.1	0.9	2.9	4.06142	0.543077	1.45557e-09
0.1	0.9	3	4.02968	0.538833	9.43857e-10
0.1	0.9	3.1	3.99943	0.534789	6.12387e-10
0.1	0.9	3.2	3.97058	0.530931	3.97542e-10
0.1	0.9	3.3	3.94302	0.527246	2.58209e-10
0.1	0.9	3.4	3.91668	0.523723	1.67796e-10
0.1	0.9	3.5	3.89147	0.520352	1.09095e-10
0.1	0.9	3.6	3.86732	0.517123	7.0964e-11
0.1	0.9	3.7	3.84416	0.514026	4.61819e-11
0.1	0.9	3.8	3.82194	0.511055	3.00678e-11
0.1	0.9	3.9	3.80059	0.508201	1.95848e-11
0.1	0.9	4	3.78008	0.505457	1.27621e-11
0.1	0.9	4.1	3.76034	0.502818	8.31958e-12
0.1	0.9	4.2	3.74134	0.500277	5.42568e-12
0.1	0.9	4.3	3.72303	0.497829	3.53976e-12
0.1	0.9	4.4	3.70538	0.495469	2.31024e-12
0.1	0.9	4.5	3.68835	0.493191	1.50834e-12
0.1	0.9	4.6	3.67191	0.490993	9.85134e-13
0.1	0.9	4.7	3.65603	0.48887	6.43637e-13
0.1	0.9	4.8	3.64068	0.486818	4.20661e-13
0.1	0.9	4.9	3.62584	0.484833	2.75021e-13
0.1	0.9	5	3.61147	0.482912	1.79861e-13
0.1	0.9	5.1	3.59756	0.481052	1.17664e-13
0.1	0.9	5.2	3.58409	0.479251	7.69984e-14
0.1	0.9	5.3	3.57104	0.477505	5.04019e-14
0.1	0.9	5.4	3.55838	0.475812	3.30018e-14
0.1	0.9	5.5	3.5461	0.47417	2.16147e-14
0.1	0.9	5.6	3.53418	0.472576	1.41606e-14
0.1	0.9	5.7	3.5226	0.471028	9.27956e-15
0.1	0.9	5.8	3.51136	0.469525	6.08257e-15
0.1	0.9	5.9	3.50043	0.468064	3.98803e-15
0.1	0.9	6	3.48981	0.466643	2.61539e-15
0.1	0.9	6.1	3.47947	0.465262	1.71562e-15
0.1	0.9	6.2	3.46942	0.463917	1.12566e-15
0.1	0.9	6.3	3.45963	0.462609	7.38748e-16
0.1	0.9	6.4	3.45011	0.461335	4.84934e-16
0.1	0.9	6.5	3.44082	0.460094	3.18395e-16
0.1	0.9	6.6	3.43178	0.458884	2.09095e-16
0.1	0.9	6.7	3.42297	0.457706	1.37345e-16
0.1	0.9	6.8	3.41437	0.456556	9.02349e-17
0.1	0.9	6.9	3.40599	0.455436	5.92958e-17
0.1	0.9	7	3.39781	0.454342	3.89726e-17
0.1	0.9	7.1	3.38983	0.453274	2.56201e-17
0.1	0.9	7.2	3.38203	0.452232	1.68455e-17
0.1	0.9	7.3	3.37442	0.451215	1.10782e-17
0.1	0.9	7.4	3.36699	0.450221	7.2868e-18
0.1	0.9	7.5	3.35973	0.44925	4.79381e-18
0.1	0.9	7.6	3.35263	0.448301	3.15429e-18
0.1	0.9	7.7	3.34569	0.447373	2.07586e-18
0.1	0.9	7.8	3.3389	0.446465	1.36637e-18
0.1	0.9	7.9	3.33227	0.445578	8.99523e-19
0.1	0.9	8	3.32577	0.44471	5.92279e-19
0.1	0.9	8.1	3.31942	0.44386	3.90041e-19
0.1	0.9	8.2	3.3132	0.443028	2.569e-19
0.1	0.9	8.3	3.30711	0.442214	1.69233e-19
0.1	0.9	8.4	3.30115	0.441417	1.11499e-19
0.1	0.9	8.5	3.29531	0.440636	7.3472e-20
0.1	0.9	8.6	3.28959	0.439871	4.84214e-20
0.1	0.9	8.7	3.28398	0.439122	3.19165e-20
0.1	0.9	8.8	3.27849	0.438387	2.10404e-20
0.1	0.9	8.9	3.2731	0.437667	1.38725e-20
0.1	0.9	9	3.26782	0.436961	9.14777e-21
0.1	0.9	9.1	3.26265	0.436268	6.033e-21
0.1	0.9	9.2	3.25757	0.435589	3.97933e-21
0.1	0.9	9.3	3.25258	0.434923	2.62508e-21
0.1	0.9	9.4	3.24769	0.434269	1.73193e-21
0.1	0.9	9.5	3.2429	0.433627	1.14281e-21
0.1	0.9	9.6	3.23819	0.432998	7.54171e-22
0.1	0.9	9.7	3.23356	0.432379	4.9776e-22
0.1	0.9	9.8	3.22902	0.431772	3.28566e-22
0.1	0.9	9.9	3.22456	0.431176	2.16908e-22
0.1	0.9	10	3.22019	0.430591	1.40898e-22
