# Filename: 2DKT_FPquench_vsl_T_1_0.1_lmax2_dl0.002_tmax10_dt2e-06_BC1.dat
# Source: 2DKT_FPquench.c
# Source version: 5 (2011 Jun 10 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=2, lsteps=1000, (dl=0.002), lpts=1001, ldatamax=250, tmax=10, dt=2e-06, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 2.000000e-06)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.008	0.747509	0.99954	0.000599991
1	0	0.016	0.747167	0.999083	0.00057787
1	0	0.024	0.746828	0.998629	0.000556575
1	0	0.032	0.746491	0.998178	0.000536073
1	0	0.04	0.746156	0.99773	0.000516335
1	0	0.048	0.745823	0.997285	0.000497332
1	0	0.056	0.745492	0.996843	0.000479037
1	0	0.064	0.745163	0.996403	0.000461422
1	0	0.072	0.744836	0.995966	0.000444462
1	0	0.08	0.744512	0.995532	0.000428133
1	0	0.088	0.744189	0.995101	0.00041241
1	0	0.096	0.743868	0.994672	0.000397272
1	0	0.104	0.74355	0.994246	0.000382695
1	0	0.112	0.743233	0.993823	0.000368658
1	0	0.12	0.742919	0.993402	0.000355143
1	0	0.128	0.742606	0.992984	0.000342128
1	0	0.136	0.742295	0.992568	0.000329595
1	0	0.144	0.741986	0.992155	0.000317526
1	0	0.152	0.741679	0.991745	0.000305904
1	0	0.16	0.741374	0.991337	0.000294712
1	0	0.168	0.741071	0.990931	0.000283934
1	0	0.176	0.740769	0.990528	0.000273554
1	0	0.184	0.74047	0.990127	0.000263557
1	0	0.192	0.740172	0.989729	0.00025393
1	0	0.2	0.739876	0.989333	0.000244658
1	0	0.208	0.739582	0.98894	0.000235728
1	0	0.216	0.739289	0.988549	0.000227127
1	0	0.224	0.738998	0.98816	0.000218843
1	0	0.232	0.738709	0.987773	0.000210865
1	0	0.24	0.738422	0.987389	0.00020318
1	0	0.248	0.738136	0.987007	0.000195778
1	0	0.256	0.737852	0.986627	0.000188649
1	0	0.264	0.73757	0.98625	0.000181782
1	0	0.272	0.737289	0.985875	0.000175167
1	0	0.28	0.73701	0.985501	0.000168795
1	0	0.288	0.736733	0.98513	0.000162657
1	0	0.296	0.736457	0.984762	0.000156745
1	0	0.304	0.736183	0.984395	0.00015105
1	0	0.312	0.73591	0.98403	0.000145563
1	0	0.32	0.735639	0.983668	0.000140278
1	0	0.328	0.735369	0.983307	0.000135187
1	0	0.336	0.735101	0.982949	0.000130282
1	0	0.344	0.734835	0.982592	0.000125557
1	0	0.352	0.73457	0.982238	0.000121004
1	0	0.36	0.734306	0.981885	0.000116619
1	0	0.368	0.734044	0.981535	0.000112393
1	0	0.376	0.733783	0.981187	0.000108323
1	0	0.384	0.733524	0.98084	0.000104401
1	0	0.392	0.733266	0.980495	0.000100622
1	0	0.4	0.73301	0.980153	9.69817e-05
1	0	0.408	0.732755	0.979812	9.3474e-05
1	0	0.416	0.732502	0.979473	9.00943e-05
1	0	0.424	0.73225	0.979136	8.6838e-05
1	0	0.432	0.731999	0.978801	8.37004e-05
