# Filename: 2Dvpt_quench_vst_T_1_0.1_lmax1_dl0.001_tmax10_dt5e-07_BC1_K1stInLoop.dat
# Source: 2Dvpt_quench.c
# Source version: 5 (2011 Jun 10 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=250, t0=1, tmax=10, dt=5e-07, (dtfrac=1), a0=1, a02=1, a04=1, K0c=0.747853
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	1	0	1	0.717098	0.958876	6.31578e-06	0.00137697
1	5e-07	0.1	0.9	1	5.23024	0.699367	6.13571e-06	0.00137688
2	1e-06	0.1	0.9	1	5.23031	0.699377	6.12364e-06	0.0013768
3	1.5e-06	0.1	0.9	1	5.23038	0.699386	6.11239e-06	0.00137671
4	2e-06	0.1	0.9	1	5.23045	0.699396	6.10184e-06	0.00137663
6	3e-06	0.1	0.9	1	5.2306	0.699415	6.08252e-06	0.00137646
8	4e-06	0.1	0.9	1	5.23074	0.699434	6.06512e-06	0.0013763
10	5e-06	0.1	0.9	1	5.23089	0.699454	6.04925e-06	0.00137613
12	6e-06	0.1	0.9	1	5.23103	0.699473	6.03461e-06	0.00137596
14	7e-06	0.1	0.9	1	5.23117	0.699492	6.02098e-06	0.0013758
17	8.5e-06	0.1	0.9	1	5.23139	0.699521	6.00208e-06	0.00137555
20	1e-05	0.1	0.9	1	5.23161	0.69955	5.98467e-06	0.0013753
24	1.2e-05	0.1	0.9	1	5.2319	0.699589	5.96328e-06	0.00137497
28	1.4e-05	0.1	0.9	1	5.23218	0.699627	5.94357e-06	0.00137463
32	1.6e-05	0.1	0.9	1	5.23247	0.699666	5.9252e-06	0.0013743
37	1.85e-05	0.1	0.9	1	5.23283	0.699714	5.90377e-06	0.00137389
43	2.15e-05	0.1	0.9	1	5.23327	0.699772	5.87988e-06	0.00137339
49	2.45e-05	0.1	0.9	1	5.2337	0.69983	5.85762e-06	0.0013729
56	2.8e-05	0.1	0.9	1	5.2342	0.699897	5.83333e-06	0.00137232
64	3.2e-05	0.1	0.9	1	5.23478	0.699974	5.80738e-06	0.00137166
73	3.65e-05	0.1	0.9	1	5.23543	0.700061	5.78011e-06	0.00137091
83	4.15e-05	0.1	0.9	1	5.23615	0.700157	5.75176e-06	0.00137009
94	4.7e-05	0.1	0.9	1	5.23694	0.700263	5.72254e-06	0.00136918
107	5.35e-05	0.1	0.9	1	5.23787	0.700388	5.69021e-06	0.00136811
121	6.05e-05	0.1	0.9	1	5.23888	0.700522	5.65761e-06	0.00136696
137	6.85e-05	0.1	0.9	1	5.24002	0.700676	5.62268e-06	0.00136565
155	7.75e-05	0.1	0.9	1	5.24131	0.700848	5.58585e-06	0.00136418
175	8.75e-05	0.1	0.9	1	5.24274	0.701039	5.54749e-06	0.00136254
197	9.85e-05	0.1	0.9	1	5.24432	0.70125	5.50788e-06	0.00136075
222	0.000111	0.1	0.9	1	5.2461	0.701489	5.46564e-06	0.00135872
250	0.000125	0.1	0.9	1	5.2481	0.701756	5.42124e-06	0.00135645
282	0.000141	0.1	0.9	1	5.25038	0.70206	5.37365e-06	0.00135386
318	0.000159	0.1	0.9	1	5.25294	0.702402	5.32347e-06	0.00135096
357	0.0001785	0.1	0.9	1	5.2557	0.702772	5.27248e-06	0.00134783
402	0.000201	0.1	0.9	1	5.25888	0.703197	5.21728e-06	0.00134423
452	0.000226	0.1	0.9	1	5.26241	0.703669	5.15977e-06	0.00134026
508	0.000254	0.1	0.9	1	5.26635	0.704196	5.09939e-06	0.00133583
572	0.000286	0.1	0.9	1	5.27083	0.704795	5.03472e-06	0.0013308
642	0.000321	0.1	0.9	1	5.27572	0.705449	4.96846e-06	0.00132534
722	0.000361	0.1	0.9	1	5.28128	0.706193	4.89751e-06	0.00131915
811	0.0004055	0.1	0.9	1	5.28744	0.707016	4.82361e-06	0.00131232
911	0.0004555	0.1	0.9	1	5.29433	0.707937	4.74588e-06	0.00130472
1023	0.0005115	0.1	0.9	1	5.30199	0.708962	4.66441e-06	0.0012963
1149	0.0005745	0.1	0.9	1	5.31056	0.710107	4.5787e-06	0.00128694
1290	0.000645	0.1	0.9	1	5.32007	0.71138	4.48903e-06	0.00127661
1449	0.0007245	0.1	0.9	1	5.33072	0.712803	4.39456e-06	0.00126513
1627	0.0008135	0.1	0.9	1	5.34253	0.714382	4.29583e-06	0.00125249
1826	0.000913	0.1	0.9	1	5.3556	0.71613	4.19284e-06	0.00123862
2050	0.001025	0.1	0.9	1	5.37014	0.718075	4.08474e-06	0.00122333
2301	0.0011505	0.1	0.9	1	5.38625	0.720228	3.97191e-06	0.00120657
2583	0.0012915	0.1	0.9	1	5.40409	0.722614	3.85394e-06	0.00118822
