# Filename: 2Dvpt_quench_vsl_T_1_0.1_lmax1_dl0.001_tmax10_dt5e-07_BC1_K2ndInLoop.dat
# Source: 2Dvpt_quench.c
# Source version: 5 (2011 Jun 10 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=250, t0=1, tmax=10, dt=5e-07, (dtfrac=1), a0=1, a02=1, a04=1, K0c=0.747853
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 5.000000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.004	0.747681	0.999769	0.000611371
1	0	0.008	0.747509	0.99954	0.000599991
1	0	0.012	0.747337	0.999311	0.000588826
1	0	0.016	0.747167	0.999082	0.00057787
1	0	0.02	0.746997	0.998855	0.000567121
1	0	0.024	0.746827	0.998628	0.000556575
1	0	0.028	0.746658	0.998402	0.000546226
1	0	0.032	0.746489	0.998177	0.000536073
1	0	0.036	0.746321	0.997952	0.00052611
1	0	0.04	0.746154	0.997728	0.000516335
1	0	0.044	0.745987	0.997505	0.000506744
1	0	0.048	0.745821	0.997282	0.000497332
1	0	0.052	0.745655	0.997061	0.000488098
1	0	0.056	0.745489	0.996839	0.000479037
1	0	0.06	0.745325	0.996619	0.000470146
1	0	0.064	0.74516	0.996399	0.000461422
1	0	0.068	0.744997	0.99618	0.000452862
1	0	0.072	0.744833	0.995962	0.000444463
1	0	0.076	0.744671	0.995745	0.000436221
1	0	0.08	0.744508	0.995528	0.000428133
1	0	0.084	0.744347	0.995311	0.000420198
1	0	0.088	0.744185	0.995096	0.000412411
1	0	0.092	0.744025	0.994881	0.00040477
1	0	0.096	0.743864	0.994667	0.000397272
1	0	0.1	0.743705	0.994453	0.000389915
1	0	0.104	0.743546	0.99424	0.000382695
1	0	0.108	0.743387	0.994028	0.000375611
1	0	0.112	0.743229	0.993817	0.000368659
1	0	0.116	0.743071	0.993606	0.000361837
1	0	0.12	0.742914	0.993395	0.000355143
1	0	0.124	0.742757	0.993186	0.000348574
1	0	0.128	0.742601	0.992977	0.000342128
1	0	0.132	0.742445	0.992769	0.000335803
1	0	0.136	0.74229	0.992561	0.000329596
1	0	0.14	0.742135	0.992354	0.000323504
1	0	0.144	0.74198	0.992147	0.000317527
1	0	0.148	0.741827	0.991942	0.000311661
1	0	0.152	0.741673	0.991737	0.000305905
1	0	0.156	0.74152	0.991532	0.000300256
1	0	0.16	0.741368	0.991328	0.000294713
1	0	0.164	0.741216	0.991125	0.000289273
1	0	0.168	0.741064	0.990922	0.000283935
1	0	0.172	0.740913	0.99072	0.000278696
1	0	0.176	0.740762	0.990519	0.000273555
1	0	0.18	0.740612	0.990318	0.00026851
1	0	0.184	0.740462	0.990118	0.000263558
1	0	0.188	0.740313	0.989918	0.000258699
1	0	0.192	0.740164	0.989719	0.000253931
1	0	0.196	0.740016	0.989521	0.000249251
1	0	0.2	0.739868	0.989323	0.000244659
1	0	0.204	0.739721	0.989126	0.000240152
1	0	0.208	0.739573	0.988929	0.000235729
1	0	0.212	0.739427	0.988733	0.000231388
1	0	0.216	0.739281	0.988537	0.000227128
1	0	0.22	0.739135	0.988343	0.000222948
1	0	0.224	0.73899	0.988148	0.000218845
1	0	0.228	0.738845	0.987954	0.000214818
1	0	0.232	0.7387	0.987761	0.000210866
1	0	0.236	0.738556	0.987569	0.000206988
1	0	0.24	0.738413	0.987377	0.000203182
1	0	0.244	0.738269	0.987185	0.000199446
1	0	0.248	0.738127	0.986994	0.00019578
1	0	0.252	0.737984	0.986804	0.000192182
1	0	0.256	0.737842	0.986614	0.00018865
1	0	0.26	0.737701	0.986425	0.000185185
1	0	0.264	0.73756	0.986236	0.000181783
1	0	0.268	0.737419	0.986048	0.000178445
1	0	0.272	0.737279	0.985861	0.000175168
1	0	0.276	0.737139	0.985674	0.000171953
1	0	0.28	0.736999	0.985487	0.000168797
1	0	0.284	0.73686	0.985301	0.000165699
1	0	0.288	0.736722	0.985116	0.000162659
1	0	0.292	0.736583	0.984931	0.000159675
1	0	0.296	0.736446	0.984746	0.000156747
1	0	0.3	0.736308	0.984563	0.000153873
1	0	0.304	0.736171	0.984379	0.000151051
1	0	0.308	0.736034	0.984197	0.000148283
1	0	0.312	0.735898	0.984014	0.000145565
1	0	0.316	0.735762	0.983833	0.000142898
1	0	0.32	0.735627	0.983651	0.00014028
1	0	0.324	0.735492	0.983471	0.00013771
1	0	0.328	0.735357	0.983291	0.000135189
1	0	0.332	0.735222	0.983111	0.000132713
1	0	0.336	0.735089	0.982932	0.000130284
1	0	0.34	0.734955	0.982753	0.000127899
1	0	0.344	0.734822	0.982575	0.000125558
1	0	0.348	0.734689	0.982397	0.000123261
1	0	0.352	0.734556	0.98222	0.000121006
1	0	0.356	0.734424	0.982044	0.000118793
1	0	0.36	0.734293	0.981868	0.000116621
1	0	0.364	0.734161	0.981692	0.000114488
1	0	0.368	0.73403	0.981517	0.000112395
1	0	0.372	0.7339	0.981342	0.000110341
1	0	0.376	0.733769	0.981168	0.000108325
1	0	0.38	0.73364	0.980994	0.000106345
1	0	0.384	0.73351	0.980821	0.000104403
1	0	0.388	0.733381	0.980648	0.000102496
1	0	0.392	0.733252	0.980476	0.000100624
1	0	0.396	0.733124	0.980304	9.87869e-05
1	0	0.4	0.732996	0.980133	9.69835e-05
1	0	0.404	0.732868	0.979962	9.52134e-05
1	0	0.408	0.73274	0.979792	9.34759e-05
1	0	0.412	0.732613	0.979622	9.17703e-05
1	0	0.416	0.732487	0.979453	9.00962e-05
1	0	0.42	0.73236	0.979284	8.84529e-05
1	0	0.424	0.732234	0.979115	8.68399e-05
1	0	0.428	0.732109	0.978947	8.52565e-05
1	0	0.432	0.731983	0.97878	8.37023e-05
1	0	0.436	0.731858	0.978613	8.21766e-05
1	0	0.44	0.731734	0.978446	8.0679e-05
1	0	0.444	0.73161	0.97828	7.9209e-05
1	0	0.448	0.731486	0.978114	7.7766e-05
1	0	0.452	0.731362	0.977949	7.63495e-05
1	0	0.456	0.731239	0.977784	7.4959e-05
1	0	0.46	0.731116	0.97762	7.35941e-05
1	0	0.464	0.730993	0.977456	7.22543e-05
1	0	0.468	0.730871	0.977292	7.09391e-05
1	0	0.472	0.730749	0.977129	6.9648e-05
1	0	0.476	0.730628	0.976967	6.83807e-05
1	0	0.48	0.730506	0.976805	6.71366e-05
1	0	0.484	0.730385	0.976643	6.59153e-05
1	0	0.488	0.730265	0.976482	6.47165e-05
1	0	0.492	0.730144	0.976321	6.35396e-05
1	0	0.496	0.730024	0.97616	6.23844e-05
1	0	0.5	0.729905	0.976	6.12503e-05
1	0	0.504	0.729785	0.975841	6.0137e-05
1	0	0.508	0.729666	0.975682	5.90442e-05
1	0	0.512	0.729548	0.975523	5.79713e-05
1	0	0.516	0.729429	0.975365	5.69182e-05
1	0	0.52	0.729311	0.975207	5.58843e-05
1	0	0.524	0.729193	0.975049	5.48694e-05
1	0	0.528	0.729076	0.974892	5.3873e-05
1	0	0.532	0.728959	0.974735	5.2895e-05
1	0	0.536	0.728842	0.974579	5.19348e-05
1	0	0.54	0.728725	0.974423	5.09922e-05
1	0	0.544	0.728609	0.974268	5.00668e-05
1	0	0.548	0.728493	0.974113	4.91584e-05
1	0	0.552	0.728378	0.973958	4.82667e-05
1	0	0.556	0.728262	0.973804	4.73912e-05
1	0	0.56	0.728147	0.97365	4.65317e-05
1	0	0.564	0.728033	0.973497	4.5688e-05
1	0	0.568	0.727918	0.973344	4.48597e-05
1	0	0.572	0.727804	0.973192	4.40465e-05
1	0	0.576	0.72769	0.973039	4.32482e-05
1	0	0.58	0.727577	0.972888	4.24645e-05
1	0	0.584	0.727464	0.972736	4.16951e-05
1	0	0.588	0.727351	0.972585	4.09398e-05
1	0	0.592	0.727238	0.972435	4.01982e-05
1	0	0.596	0.727126	0.972284	3.94703e-05
1	0	0.6	0.727014	0.972135	3.87556e-05
