# Filename: 2Dvpt_quench_vst_T_1_0.1_lmax1_dl0.001_tmax10_dt5e-07_BC1_K2ndInLoop.dat
# Source: 2Dvpt_quench.c
# Source version: 5 (2011 Jun 10 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=250, t0=1, tmax=10, dt=5e-07, (dtfrac=1), a0=1, a02=1, a04=1, K0c=0.747853
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	1	0	1	0.717098	0.958876	6.31578e-06	0.00137697
1	5e-07	0.1	0.9	1	5.23024	0.699367	0	0.00137659
2	1e-06	0.1	0.9	1	5.23031	0.699377	0	0.00137649
3	1.5e-06	0.1	0.9	1	5.23046	0.699397	0	0.00137639
4	2e-06	0.1	0.9	1	5.23061	0.699416	0	0.00137629
6	3e-06	0.1	0.9	1	5.23089	0.699454	0	0.00137609
8	4e-06	0.1	0.9	1	5.23115	0.699489	0	0.0013759
10	5e-06	0.1	0.9	1	5.2314	0.699523	0	0.00137571
12	6e-06	0.1	0.9	1	5.23164	0.699555	0	0.00137552
14	7e-06	0.1	0.9	1	5.23188	0.699587	0	0.00137533
17	8.5e-06	0.1	0.9	1	5.23222	0.699632	0	0.00137505
20	1e-05	0.1	0.9	1	5.23255	0.699677	0	0.00137477
24	1.2e-05	0.1	0.9	1	5.23298	0.699734	0	0.00137441
28	1.4e-05	0.1	0.9	1	5.2334	0.69979	0	0.00137405
32	1.6e-05	0.1	0.9	1	5.23381	0.699845	0	0.00137369
37	1.85e-05	0.1	0.9	1	5.23431	0.699911	0	0.00137324
43	2.15e-05	0.1	0.9	1	5.2349	0.69999	0	0.0013727
49	2.45e-05	0.1	0.9	1	5.23547	0.700067	0	0.00137217
56	2.8e-05	0.1	0.9	1	5.23614	0.700156	0	0.00137155
64	3.2e-05	0.1	0.9	1	5.23688	0.700255	0	0.00137085
73	3.65e-05	0.1	0.9	1	5.23771	0.700366	0	0.00137007
83	4.15e-05	0.1	0.9	1	5.23861	0.700486	0	0.0013692
94	4.7e-05	0.1	0.9	1	5.23959	0.700617	0	0.00136825
107	5.35e-05	0.1	0.9	1	5.24073	0.70077	0	0.00136713
121	6.05e-05	0.1	0.9	1	5.24195	0.700933	0	0.00136593
137	6.85e-05	0.1	0.9	1	5.24332	0.701116	0	0.00136456
155	7.75e-05	0.1	0.9	1	5.24485	0.701321	0	0.00136303
175	8.75e-05	0.1	0.9	1	5.24653	0.701545	0	0.00136133
197	9.85e-05	0.1	0.9	1	5.24835	0.70179	0	0.00135948
222	0.000111	0.1	0.9	1	5.25041	0.702065	0	0.00135738
250	0.000125	0.1	0.9	1	5.25269	0.70237	0	0.00135504
282	0.000141	0.1	0.9	1	5.25528	0.702715	0	0.00135238
318	0.000159	0.1	0.9	1	5.25816	0.703101	0	0.0013494
357	0.0001785	0.1	0.9	1	5.26125	0.703514	0	0.00134619
402	0.000201	0.1	0.9	1	5.26479	0.703987	0	0.00134251
452	0.000226	0.1	0.9	1	5.26869	0.704508	0	0.00133845
508	0.000254	0.1	0.9	1	5.27301	0.705087	0	0.00133393
572	0.000286	0.1	0.9	1	5.27792	0.705742	0	0.0013288
642	0.000321	0.1	0.9	1	5.28323	0.706453	0	0.00132324
722	0.000361	0.1	0.9	1	5.28925	0.707258	0	0.00131694
811	0.0004055	0.1	0.9	1	5.29589	0.708146	0	0.00131
911	0.0004555	0.1	0.9	1	5.30327	0.709133	0	0.00130228
1023	0.0005115	0.1	0.9	1	5.31147	0.710229	0	0.00129374
1149	0.0005745	0.1	0.9	1	5.32059	0.711449	0	0.00128425
1290	0.000645	0.1	0.9	1	5.33069	0.712799	0	0.00127379
1449	0.0007245	0.1	0.9	1	5.34195	0.714305	0	0.00126217
1627	0.0008135	0.1	0.9	1	5.35441	0.715971	0	0.00124938
1826	0.000913	0.1	0.9	1	5.36816	0.717809	0	0.00123536
2050	0.001025	0.1	0.9	1	5.38342	0.71985	0	0.00121991
2301	0.0011505	0.1	0.9	1	5.40027	0.722103	0	0.00120299
2583	0.0012915	0.1	0.9	1	5.4189	0.724595	0	0.00118447
2899	0.0014495	0.1	0.9	1	5.43942	0.727339	0	0.00116429
3254	0.001627	0.1	0.9	1	5.46205	0.730364	0	0.00114232
3652	0.001826	0.1	0.9	1	5.4869	0.733687	0	0.00111852
4099	0.0020495	0.1	0.9	1	5.51421	0.737338	0	0.00109277
4600	0.0023	0.1	0.9	1	5.54408	0.741333	0	0.00106508
5162	0.002581	0.1	0.9	1	5.57673	0.745698	0	0.0010354
5793	0.0028965	0.1	0.9	1	5.61236	0.750462	0	0.00100368
6501	0.0032505	0.1	0.9	1	5.65111	0.755645	0	0.000969963
7296	0.003648	0.1	0.9	1	5.69319	0.761271	0	0.000934266
8187	0.0040935	0.1	0.9	1	5.73865	0.76735	0	0.000896739
9187	0.0045935	0.1	0.9	1	5.78769	0.773908	0	0.000857445
10309	0.0051545	0.1	0.9	1	5.84039	0.780955	0	0.000816547
