# Filename: 2Dvpt_quench_vsl_T_1_0.1_lmax10_dl0.001_tmax10_dt2.5e-07_BC1.dat
# Source: 2Dvpt_quench.c
# Source version: 6 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, t0=1, tmax=10, dt=2.5e-07, (dtfrac=0.5), a0=1, a02=1, a04=1, K0c=0.747853, NDflowTOL=1e-06
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 2.500000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.746154	0.997728	0.000516335
1	0	0.08	0.744508	0.995528	0.000428133
1	0	0.12	0.742914	0.993395	0.000355143
1	0	0.16	0.741368	0.991328	0.000294713
1	0	0.2	0.739868	0.989323	0.000244659
1	0	0.24	0.738413	0.987377	0.000203182
1	0	0.28	0.736999	0.985487	0.000168797
1	0	0.32	0.735627	0.983651	0.00014028
1	0	0.36	0.734293	0.981868	0.000116621
1	0	0.4	0.732996	0.980133	9.69835e-05
1	0	0.44	0.731734	0.978446	8.0679e-05
1	0	0.48	0.730506	0.976805	6.71366e-05
1	0	0.52	0.729311	0.975207	5.58843e-05
1	0	0.56	0.728147	0.97365	4.65317e-05
1	0	0.6	0.727014	0.972135	3.87556e-05
1	0	0.64	0.725909	0.970657	3.2288e-05
1	0	0.68	0.724832	0.969217	2.69071e-05
1	0	0.72	0.723781	0.967812	2.2429e-05
1	0	0.76	0.722757	0.966442	1.8701e-05
1	0	0.8	0.721757	0.965105	1.55966e-05
1	0	0.84	0.720781	0.9638	1.30108e-05
1	0	0.88	0.719828	0.962526	1.08563e-05
1	0	0.92	0.718897	0.961281	9.06076e-06
1	0	0.96	0.717987	0.960065	7.56391e-06
1	0	1	0.717098	0.958876	6.31578e-06
1	0	1.04	0.716229	0.957714	5.27477e-06
1	0	1.08	0.71538	0.956578	4.40629e-06
1	0	1.12	0.714549	0.955467	3.68159e-06
1	0	1.16	0.713735	0.954379	3.07671e-06
1	0	1.2	0.71294	0.953315	2.57173e-06
1	0	1.24	0.712161	0.952274	2.15006e-06
1	0	1.28	0.711398	0.951254	1.79788e-06
1	0	1.32	0.710652	0.950256	1.50367e-06
1	0	1.36	0.70992	0.949278	1.25784e-06
1	0	1.4	0.709203	0.948319	1.05239e-06
1	0	1.44	0.708501	0.94738	8.80652e-07
1	0	1.48	0.707813	0.94646	7.37071e-07
1	0	1.52	0.707138	0.945557	6.17004e-07
1	0	1.56	0.706476	0.944672	5.16583e-07
1	0	1.6	0.705827	0.943804	4.32578e-07
1	0	1.64	0.70519	0.942953	3.62291e-07
1	0	1.68	0.704566	0.942118	3.03473e-07
1	0	1.72	0.703953	0.941298	2.54244e-07
1	0	1.76	0.703351	0.940493	2.13033e-07
1	0	1.8	0.70276	0.939704	1.78529e-07
1	0	1.84	0.70218	0.938928	1.49635e-07
1	0	1.88	0.701611	0.938166	1.25436e-07
1	0	1.92	0.701051	0.937418	1.05165e-07
1	0	1.96	0.700502	0.936683	8.81824e-08
1	0	2	0.699962	0.935961	7.39523e-08
1	0	2.04	0.699431	0.935252	6.20269e-08
1	0	2.08	0.698909	0.934554	5.20314e-08
1	0	2.12	0.698397	0.933869	4.36523e-08
