# Filename: 2Dvpt_quench_vst_T_1_0.1_lmax10_dl0.001_tmax10_dt2.5e-07_BC1.dat
# Source: 2Dvpt_quench.c
# Source version: 6 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, t0=1, tmax=10, dt=2.5e-07, (dtfrac=0.5), a0=1, a02=1, a04=1, K0c=0.747853, NDflowTOL=1e-06
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	pairdens	d(lnrho)/d(lnt)	xi	rhopowthry
0	0	1	0	10	0.660635	0.883376	1.43212e-22	0.00149608		0	-1.34945
1	2.5e-07	0.1	0.9	10	3.21917	0.430455	1.40899e-22	0.00149604	-0	0	-1.34945
2	5e-07	0.1	0.9	10	3.21918	0.430457	1.40899e-22	0.001496	-3.99442e-05	0	-1.34945
3	7.5e-07	0.1	0.9	10	3.2192	0.430459	1.40899e-22	0.00149596	-6.82875e-05	0	-1.34945
4	1e-06	0.1	0.9	10	3.21921	0.430461	1.40899e-22	0.00149591	-9.62487e-05	0	-1.34945
6	1.5e-06	0.1	0.9	10	3.21924	0.430464	1.40899e-22	0.00149583	-0.000151876	0	-1.34945
8	2e-06	0.1	0.9	10	3.21927	0.430468	1.40899e-22	0.00149575	-0.000207376	0	-1.34945
10	2.5e-06	0.1	0.9	10	3.2193	0.430472	1.40899e-22	0.00149567	-0.000262829	0	-1.34945
12	3e-06	0.1	0.9	10	3.21932	0.430476	1.40899e-22	0.00149558	-0.000318259	0	-1.34945
14	3.5e-06	0.1	0.9	10	3.21935	0.430479	1.40899e-22	0.0014955	-0.000373677	0	-1.34945
17	4.25e-06	0.1	0.9	10	3.21939	0.430485	1.40899e-22	0.00149538	-0.000456787	0	-1.34945
20	5e-06	0.1	0.9	10	3.21944	0.430491	1.40899e-22	0.00149525	-0.000539884	0	-1.34945
24	6e-06	0.1	0.9	10	3.21949	0.430498	1.40899e-22	0.00149509	-0.000650665	0	-1.34945
28	7e-06	0.1	0.9	10	3.21955	0.430505	1.40899e-22	0.00149492	-0.000761429	0	-1.34945
32	8e-06	0.1	0.9	10	3.2196	0.430513	1.40898e-22	0.00149476	-0.000872178	0	-1.34945
37	9.25e-06	0.1	0.9	10	3.21967	0.430522	1.40898e-22	0.00149455	-0.00101059	0	-1.34945
43	1.075e-05	0.1	0.9	10	3.21976	0.430534	1.40898e-22	0.0014943	-0.00117666	0	-1.34945
49	1.225e-05	0.1	0.9	10	3.21984	0.430545	1.40898e-22	0.00149405	-0.00134269	0	-1.34945
56	1.4e-05	0.1	0.9	10	3.21994	0.430558	1.40898e-22	0.00149376	-0.00153635	0	-1.34945
64	1.6e-05	0.1	0.9	10	3.22005	0.430573	1.40898e-22	0.00149343	-0.00175761	0	-1.34945
73	1.825e-05	0.1	0.9	10	3.22018	0.43059	1.40898e-22	0.00149306	-0.00200645	0	-1.34945
83	2.075e-05	0.1	0.9	10	3.22032	0.430608	1.40898e-22	0.00149265	-0.00228283	0	-1.34945
94	2.35e-05	0.1	0.9	10	3.22047	0.430629	1.40898e-22	0.00149219	-0.00258671	0	-1.34945
107	2.675e-05	0.1	0.9	10	3.22065	0.430653	1.40898e-22	0.00149166	-0.00294566	0	-1.34945
121	3.025e-05	0.1	0.9	10	3.22085	0.430679	1.40897e-22	0.00149108	-0.003332	0	-1.34945
137	3.425e-05	0.1	0.9	10	3.22107	0.430709	1.40897e-22	0.00149042	-0.00377323	0	-1.34945
155	3.875e-05	0.1	0.9	10	3.22132	0.430742	1.40897e-22	0.00148968	-0.00426923	0	-1.34945
175	4.375e-05	0.1	0.9	10	3.2216	0.43078	1.40897e-22	0.00148885	-0.00481986	0	-1.34945
197	4.925e-05	0.1	0.9	10	3.22191	0.430821	1.40896e-22	0.00148795	-0.00542495	0	-1.34945
222	5.55e-05	0.1	0.9	10	3.22225	0.430867	1.40896e-22	0.00148692	-0.00611179	0	-1.34945
250	6.25e-05	0.1	0.9	10	3.22264	0.430919	1.40896e-22	0.00148578	-0.00688007	0	-1.34945
282	7.05e-05	0.1	0.9	10	3.22309	0.430979	1.40895e-22	0.00148447	-0.00775682	0	-1.34945
318	7.95e-05	0.1	0.9	10	3.22359	0.431045	1.40895e-22	0.00148299	-0.00874152	0	-1.34945
357	8.925e-05	0.1	0.9	10	3.22413	0.431118	1.40894e-22	0.0014814	-0.0098063	0	-1.34945
402	0.0001005	0.1	0.9	10	3.22475	0.431201	1.40894e-22	0.00147957	-0.0110323	0	-1.34945
452	0.000113	0.1	0.9	10	3.22544	0.431293	1.40893e-22	0.00147754	-0.0123914	0	-1.34945
508	0.000127	0.1	0.9	10	3.22621	0.431396	1.40893e-22	0.00147527	-0.0139094	0	-1.34945
572	0.000143	0.1	0.9	10	3.22709	0.431514	1.40892e-22	0.00147269	-0.0156391	0	-1.34945
642	0.0001605	0.1	0.9	10	3.22805	0.431643	1.40891e-22	0.00146988	-0.0175246	0	-1.34945
722	0.0001805	0.1	0.9	10	3.22915	0.431789	1.4089e-22	0.00146667	-0.0196712	0	-1.34945
811	0.00020275	0.1	0.9	10	3.23036	0.431952	1.40889e-22	0.00146312	-0.0220493	0	-1.34945
911	0.00022775	0.1	0.9	10	3.23173	0.432134	1.40888e-22	0.00145915	-0.0247085	0	-1.34945
1023	0.00025575	0.1	0.9	10	3.23325	0.432337	1.40886e-22	0.00145473	-0.027671	0	-1.34945
