# Filename: vlt_FPquench_vsl_T_1_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt01e-12.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-12, a0=1, a06=1, THETA=0.6, CONST=1

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-12)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
1	0	0	0.295611	1	1	0.0397964
1	0	0.04	0.301954	1.02145	0.981403	0.0285034
1	0	0.08	0.308849	1.04478	0.964454	0.0202968
1	0	0.12	0.316322	1.07006	0.949058	0.0143627
1	0	0.16	0.324399	1.09738	0.935128	0.0100954
1	0	0.2	0.333107	1.12684	0.922578	0.00704481
1	0	0.24	0.342473	1.15852	0.911328	0.00487826
1	0	0.28	0.352527	1.19253	0.901298	0.00335031
1	0	0.32	0.363296	1.22897	0.892412	0.00228089
1	0	0.36	0.374809	1.26791	0.884591	0.00153847
1	0	0.4	0.387092	1.30946	0.877758	0.00102755
1	0	0.44	0.400171	1.35371	0.871836	0.000679219
1	0	0.48	0.414072	1.40073	0.86675	0.000444084
1	0	0.52	0.428818	1.45062	0.862421	0.000287029
1	0	0.56	0.444432	1.50343	0.858774	0.000183295
1	0	0.6	0.460932	1.55925	0.855735	0.000115582
1	0	0.64	0.47834	1.61814	0.853232	7.19296e-05
1	0	0.68	0.496673	1.68016	0.851195	4.41529e-05
1	0	0.72	0.515949	1.74536	0.849559	2.67181e-05
1	0	0.76	0.536186	1.81382	0.848263	1.59298e-05
1	0	0.8	0.557403	1.88559	0.847251	9.35273e-06
1	0	0.84	0.579617	1.96074	0.846473	5.40454e-06
1	0	0.88	0.602852	2.03934	0.845883	3.07215e-06
1	0	0.92	0.627129	2.12146	0.845443	1.71696e-06
1	0	0.96	0.652474	2.2072	0.845121	9.42945e-07
1	0	1	0.678915	2.29665	0.844889	5.08622e-07
1	0	1.04	0.706485	2.38991	0.844725	2.69315e-07
1	0	1.08	0.735218	2.48711	0.844611	1.39913e-07
1	0	1.12	0.765153	2.58837	0.844534	7.12788e-08
1	0	1.16	0.79633	2.69384	0.844482	3.55908e-08
1	0	1.2	0.828796	2.80367	0.844448	1.74085e-08
1	0	1.24	0.862598	2.91801	0.844427	8.33673e-09
1	0	1.28	0.897786	3.03705	0.844413	3.90667e-09
1	0	1.32	0.934417	3.16096	0.844405	1.79043e-09
1	0	1.36	0.972545	3.28994	0.8444	8.02051e-10
1	0	1.4	1.01223	3.4242	0.844397	3.50993e-10
1	0	1.44	1.05354	3.56393	0.844395	1.49968e-10
1	0	1.48	1.09653	3.70938	0.844394	6.25247e-11
1	0	1.52	1.14128	3.86076	0.844393	2.54215e-11
1	0	1.56	1.18786	4.01832	0.844393	1.00738e-11
1	0	1.6	1.23634	4.18231	0.844393	3.88835e-12
1	0	1.64	1.28679	4.35299	0.844393	1.46102e-12
1	0	1.68	1.33931	4.53064	0.844393	5.34072e-13
1	0	1.72	1.39397	4.71554	0.844393	1.89815e-13
1	0	1.76	1.45086	4.90798	0.844393	6.55508e-14
1	0	1.8	1.51007	5.10828	0.844393	2.19823e-14
1	0	1.84	1.57169	5.31675	0.844393	7.1539e-15
1	0	1.88	1.63583	5.53373	0.844393	2.25796e-15
1	0	1.92	1.70259	5.75957	0.844393	6.90745e-16
1	0	1.96	1.77208	5.99462	0.844393	2.0468e-16
1	0	2	1.8444	6.23927	0.844393	5.87104e-17
1	0	2.04	1.91967	6.4939	0.844393	1.62917e-17
