# Filename: vlt_FPquench_vst_T_1_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt05e-05.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=5e-05, a0=1, a06=1, THETA=0.6, CONST=1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	1	0	10	0.387511	1.31088	5.95138e-05	5.46582e-28	0.20534
1	5e-05	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.204759
2	0.0001	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.204338
3	0.00015	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.203929
4	0.0002	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.203527
6	0.0003	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.20274
8	0.0004	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.201971
10	0.0005	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.201217
12	0.0006	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.200475
14	0.0007	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.199744
17	0.00085	0.1	0.9	10	0.378293	0.12797	5.80982e-06	5.73458e-28	0.198666
20	0.001	0.1	0.9	10	0.378294	0.12797	5.80982e-06	5.73458e-28	0.197608
24	0.0012	0.1	0.9	10	0.378294	0.12797	5.80982e-06	5.73458e-28	0.196227
28	0.0014	0.1	0.9	10	0.378294	0.12797	5.80983e-06	5.73458e-28	0.194874
32	0.0016	0.1	0.9	10	0.378294	0.12797	5.80983e-06	5.73458e-28	0.19355
37	0.00185	0.1	0.9	10	0.378294	0.12797	5.80983e-06	5.73458e-28	0.191929
43	0.00215	0.1	0.9	10	0.378294	0.12797	5.80983e-06	5.73458e-28	0.190032
49	0.00245	0.1	0.9	10	0.378294	0.12797	5.80983e-06	5.73458e-28	0.188183
56	0.0028	0.1	0.9	10	0.378294	0.12797	5.80984e-06	5.73458e-28	0.186083
64	0.0032	0.1	0.9	10	0.378295	0.12797	5.80984e-06	5.73458e-28	0.183751
73	0.00365	0.1	0.9	10	0.378295	0.12797	5.80984e-06	5.73458e-28	0.181209
83	0.00415	0.1	0.9	10	0.378295	0.12797	5.80985e-06	5.73458e-28	0.178477
94	0.0047	0.1	0.9	10	0.378295	0.12797	5.80985e-06	5.73458e-28	0.175575
107	0.00535	0.1	0.9	10	0.378296	0.127971	5.80985e-06	5.73458e-28	0.172275
121	0.00605	0.1	0.9	10	0.378296	0.127971	5.80986e-06	5.73458e-28	0.168863
137	0.00685	0.1	0.9	10	0.378296	0.127971	5.80987e-06	5.73458e-28	0.16513
155	0.00775	0.1	0.9	10	0.378297	0.127971	5.80987e-06	5.73458e-28	0.161123
175	0.00875	0.1	0.9	10	0.378297	0.127971	5.80988e-06	5.73458e-28	0.156886
197	0.00985	0.1	0.9	10	0.378298	0.127971	5.80989e-06	5.73458e-28	0.152464
222	0.0111	0.1	0.9	10	0.378298	0.127971	5.80989e-06	5.73458e-28	0.147713
250	0.0125	0.1	0.9	10	0.378299	0.127972	5.8099e-06	5.73458e-28	0.142701
282	0.0141	0.1	0.9	10	0.378299	0.127972	5.80991e-06	5.73458e-28	0.137331
318	0.0159	0.1	0.9	10	0.3783	0.127972	5.80993e-06	5.73458e-28	0.131695
357	0.01785	0.1	0.9	10	0.378301	0.127972	5.80994e-06	5.73458e-28	0.126018
402	0.0201	0.1	0.9	10	0.378302	0.127973	5.80995e-06	5.73459e-28	0.119955
452	0.0226	0.1	0.9	10	0.378303	0.127973	5.80997e-06	5.73459e-28	0.113756
508	0.0254	0.1	0.9	10	0.378304	0.127973	5.80998e-06	5.73459e-28	0.107399
572	0.0286	0.1	0.9	10	0.378305	0.127974	5.81e-06	5.73459e-28	0.100788
642	0.0321	0.1	0.9	10	0.378307	0.127974	5.81002e-06	5.73459e-28	0.0942476
722	0.0361	0.1	0.9	10	0.378308	0.127975	5.81005e-06	5.73459e-28	0.0875271
811	0.04055	0.1	0.9	10	0.37831	0.127975	5.81007e-06	5.7346e-28	0.0808548
911	0.04555	0.1	0.9	10	0.378312	0.127976	5.8101e-06	5.7346e-28	0.0742107
