# Filename: vlt_FPquench_vsl_T_1_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 2 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=82.6834044807995098836, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10034, K0c=0.33873), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=0.0001, a0=1, a06=1, CONST=0.6

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
1	0	0	0.33873	1	1	0.025259
1	0	0.04	0.342569	1.01133	0.971678	0.0202427
1	0	0.08	0.346162	1.02194	0.94337	0.0161979
1	0	0.12	0.349516	1.03184	0.915162	0.0129428
1	0	0.16	0.35264	1.04106	0.887137	0.0103283
1	0	0.2	0.355542	1.04963	0.859367	0.00823187
1	0	0.24	0.358234	1.05758	0.831921	0.00655358
1	0	0.28	0.360724	1.06493	0.804858	0.00521204
1	0	0.32	0.363025	1.07172	0.778231	0.00414116
1	0	0.36	0.365146	1.07799	0.752086	0.00328741
1	0	0.4	0.3671	1.08375	0.726461	0.00260756
1	0	0.44	0.368896	1.08905	0.701391	0.00206678
1	0	0.48	0.370545	1.09392	0.676901	0.00163704
1	0	0.52	0.372057	1.09839	0.653013	0.00129585
1	0	0.56	0.373442	1.10248	0.629744	0.00102519
1	0	0.6	0.374709	1.10622	0.607105	0.000810635
1	0	0.64	0.375867	1.10964	0.585103	0.000640683
1	0	0.68	0.376925	1.11276	0.563743	0.000506143
1	0	0.72	0.377891	1.11561	0.543026	0.000399699
1	0	0.76	0.378772	1.11821	0.52295	0.000315527
1	0	0.8	0.379574	1.12058	0.503509	0.000249
1	0	0.84	0.380305	1.12274	0.484698	0.000196441
1	0	0.88	0.38097	1.1247	0.466507	0.000154934
1	0	0.92	0.381576	1.12649	0.448927	0.000122168
1	0	0.96	0.382126	1.12811	0.431947	9.63097e-05
1	0	1	0.382626	1.12959	0.415553	7.59092e-05
1	0	1.04	0.383081	1.13093	0.399734	5.9819e-05
1	0	1.08	0.383494	1.13215	0.384474	4.71315e-05
1	0	1.12	0.383869	1.13326	0.36976	3.71294e-05
1	0	1.16	0.38421	1.13426	0.355576	2.92459e-05
1	0	1.2	0.384519	1.13518	0.341909	2.30333e-05
1	0	1.24	0.384799	1.136	0.328742	1.81385e-05
1	0	1.28	0.385053	1.13676	0.31606	1.42823e-05
1	0	1.32	0.385284	1.13744	0.303849	1.12449e-05
1	0	1.36	0.385493	1.13805	0.292094	8.85277e-06
1	0	1.4	0.385683	1.13861	0.280779	6.96896e-06
1	0	1.44	0.385854	1.13912	0.269889	5.48563e-06
1	0	1.48	0.38601	1.13958	0.259411	4.31775e-06
1	0	1.52	0.386151	1.14	0.249331	3.39832e-06
1	0	1.56	0.386279	1.14038	0.239634	2.67453e-06
1	0	1.6	0.386395	1.14072	0.230307	2.10481e-06
1	0	1.64	0.3865	1.14103	0.221337	1.65637e-06
1	0	1.68	0.386595	1.14131	0.21271	1.30343e-06
1	0	1.72	0.386682	1.14156	0.204415	1.02565e-06
1	0	1.76	0.38676	1.14179	0.19644	8.07049e-07
1	0	1.8	0.386831	1.142	0.188772	6.35021e-07
1	0	1.84	0.386895	1.14219	0.1814	4.99648e-07
1	0	1.88	0.386953	1.14236	0.174313	3.93125e-07
1	0	1.92	0.387005	1.14252	0.167501	3.09306e-07
1	0	1.96	0.387053	1.14266	0.160953	2.43353e-07
1	0	2	0.387096	1.14279	0.154659	1.9146e-07
1	0	2.04	0.387135	1.1429	0.14861	1.5063e-07
1	0	2.08	0.38717	1.143	0.142796	1.18506e-07
1	0	2.12	0.387202	1.1431	0.137208	9.32318e-08
1	0	2.16	0.387231	1.14318	0.131838	7.33469e-08
1	0	2.2	0.387257	1.14326	0.126677	5.77025e-08
1	0	2.24	0.387281	1.14333	0.121717	4.53946e-08
1	0	2.28	0.387303	1.1434	0.116951	3.57116e-08
1	0	2.32	0.387322	1.14345	0.112371	2.80938e-08
1	0	2.36	0.38734	1.14351	0.10797	2.21009e-08
1	0	2.4	0.387356	1.14355	0.103741	1.73862e-08
1	0	2.44	0.38737	1.1436	0.0996767	1.36773e-08
1	0	2.48	0.387383	1.14363	0.0957716	1.07595e-08
1	0	2.52	0.387395	1.14367	0.0920191	8.46407e-09
1	0	2.56	0.387406	1.1437	0.0884135	6.65835e-09
1	0	2.6	0.387415	1.14373	0.0849488	5.23784e-09
1	0	2.64	0.387424	1.14375	0.0816198	4.12037e-09
1	0	2.68	0.387432	1.14378	0.0784211	3.2413e-09
1	0	2.72	0.387439	1.1438	0.0753475	2.54976e-09
1	0	2.76	0.387446	1.14382	0.0723943	2.00577e-09
1	0	2.8	0.387452	1.14384	0.0695568	1.57783e-09
1	0	2.84	0.387457	1.14385	0.0668303	1.24119e-09
1	0	2.88	0.387462	1.14387	0.0642107	9.76371e-10
1	0	2.92	0.387466	1.14388	0.0616936	7.68054e-10
1	0	2.96	0.38747	1.14389	0.0592752	6.04182e-10
1	0	3	0.387474	1.1439	0.0569515	4.75273e-10
