# Filename: vlt_FPquench_vst_T_1_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 2 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=82.6834044807995098836, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10034, K0c=0.33873), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=0.0001, a0=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	1	0	10	0.387507	1.144	5.19375e-05	2.73297e-28	0.117584
1	0.0001	0.1	0.9	10	0.378287	0.111678	5.07017e-06	2.86735e-28	0.117334
2	0.0002	0.1	0.9	10	0.378287	0.111678	5.07017e-06	2.86735e-28	0.117196
3	0.0003	0.1	0.9	10	0.378287	0.111678	5.07017e-06	2.86735e-28	0.117068
4	0.0004	0.1	0.9	10	0.378287	0.111678	5.07017e-06	2.86735e-28	0.116945
6	0.0006	0.1	0.9	10	0.378287	0.111678	5.07017e-06	2.86735e-28	0.116708
8	0.0008	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.11648
10	0.001	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.116258
12	0.0012	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.116041
14	0.0014	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.115827
17	0.0017	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.115513
20	0.002	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.115205
24	0.0024	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.114801
28	0.0028	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.114405
32	0.0032	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.114015
37	0.0037	0.1	0.9	10	0.378287	0.111678	5.07018e-06	2.86735e-28	0.113536
43	0.0043	0.1	0.9	10	0.378288	0.111678	5.07018e-06	2.86735e-28	0.112971
49	0.0049	0.1	0.9	10	0.378288	0.111678	5.07018e-06	2.86735e-28	0.112417
56	0.0056	0.1	0.9	10	0.378288	0.111678	5.07018e-06	2.86735e-28	0.111781
64	0.0064	0.1	0.9	10	0.378288	0.111678	5.07018e-06	2.86735e-28	0.111069
73	0.0073	0.1	0.9	10	0.378288	0.111678	5.07019e-06	2.86735e-28	0.110283
83	0.0083	0.1	0.9	10	0.378288	0.111678	5.07019e-06	2.86735e-28	0.109428
94	0.0094	0.1	0.9	10	0.378288	0.111678	5.07019e-06	2.86735e-28	0.108507
107	0.0107	0.1	0.9	10	0.378288	0.111678	5.07019e-06	2.86735e-28	0.107444
121	0.0121	0.1	0.9	10	0.378288	0.111678	5.07019e-06	2.86735e-28	0.106326
137	0.0137	0.1	0.9	10	0.378289	0.111678	5.07019e-06	2.86735e-28	0.105082
155	0.0155	0.1	0.9	10	0.378289	0.111679	5.0702e-06	2.86736e-28	0.10372
175	0.0175	0.1	0.9	10	0.378289	0.111679	5.0702e-06	2.86736e-28	0.10225
197	0.0197	0.1	0.9	10	0.378289	0.111679	5.0702e-06	2.86736e-28	0.100684
222	0.0222	0.1	0.9	10	0.378289	0.111679	5.07021e-06	2.86736e-28	0.0989621
250	0.025	0.1	0.9	10	0.37829	0.111679	5.07021e-06	2.86736e-28	0.0971019
282	0.0282	0.1	0.9	10	0.37829	0.111679	5.07022e-06	2.86736e-28	0.0950574
318	0.0318	0.1	0.9	10	0.37829	0.111679	5.07022e-06	2.86736e-28	0.0928531
357	0.0357	0.1	0.9	10	0.378291	0.111679	5.07023e-06	2.86736e-28	0.0905703
402	0.0402	0.1	0.9	10	0.378291	0.111679	5.07023e-06	2.86736e-28	0.0880607
452	0.0452	0.1	0.9	10	0.378292	0.111679	5.07024e-06	2.86736e-28	0.0854153
508	0.0508	0.1	0.9	10	0.378292	0.11168	5.07025e-06	2.86736e-28	0.0826152
572	0.0572	0.1	0.9	10	0.378293	0.11168	5.07025e-06	2.86737e-28	0.0796055
642	0.0642	0.1	0.9	10	0.378294	0.11168	5.07026e-06	2.86737e-28	0.0765237
722	0.0722	0.1	0.9	10	0.378295	0.11168	5.07027e-06	2.86737e-28	0.0732422
811	0.0811	0.1	0.9	10	0.378295	0.11168	5.07029e-06	2.86737e-28	0.0698608
911	0.0911	0.1	0.9	10	0.378296	0.111681	5.0703e-06	2.86738e-28	0.0663611
1023	0.1023	0.1	0.9	10	0.378297	0.111681	5.07031e-06	2.86738e-28	0.0627728
1149	0.1149	0.1	0.9	10	0.378299	0.111681	5.07033e-06	2.86738e-28	0.059102
1290	0.129	0.1	0.9	10	0.3783	0.111682	5.07034e-06	2.86739e-28	0.0553926
1449	0.1449	0.1	0.9	10	0.378301	0.111682	5.07036e-06	2.86739e-28	0.0516441
1627	0.1627	0.1	0.9	10	0.378303	0.111683	5.07038e-06	2.8674e-28	0.0479134
1826	0.1826	0.1	0.9	10	0.378304	0.111683	5.07041e-06	2.8674e-28	0.0442349
2050	0.205	0.1	0.9	10	0.378306	0.111684	5.07043e-06	2.86741e-28	0.0406146
2301	0.2301	0.1	0.9	10	0.378308	0.111684	5.07046e-06	2.86741e-28	0.0371002
2583	0.2583	0.1	0.9	10	0.378311	0.111685	5.07049e-06	2.86742e-28	0.0337117
2899	0.2899	0.1	0.9	10	0.378313	0.111686	5.07052e-06	2.86743e-28	0.0304846
3254	0.3254	0.1	0.9	10	0.378316	0.111687	5.07056e-06	2.86744e-28	0.027434
3652	0.3652	0.1	0.9	10	0.378319	0.111687	5.0706e-06	2.86745e-28	0.0245853
4099	0.4099	0.1	0.9	10	0.378322	0.111688	5.07064e-06	2.86746e-28	0.0219475
4600	0.46	0.1	0.9	10	0.378325	0.111689	5.07069e-06	2.86748e-28	0.0195344
5162	0.5162	0.1	0.9	10	0.378329	0.11169	5.07074e-06	2.86749e-28	0.017347
5793	0.5793	0.1	0.9	10	0.378333	0.111692	5.07079e-06	2.86751e-28	0.0153815
6501	0.6501	0.1	0.9	10	0.378338	0.111693	5.07085e-06	2.86753e-28	0.0136333
7296	0.7296	0.1	0.9	10	0.378342	0.111694	5.07092e-06	2.86755e-28	0.0120912
8187	0.8187	0.1	0.9	10	0.378347	0.111696	5.07098e-06	2.86757e-28	0.010745
9187	0.9187	0.1	0.9	10	0.378353	0.111697	5.07106e-06	2.8676e-28	0.00957746
10309	1.0309	0.1	0.9	10	0.378359	0.111699	5.07114e-06	2.86763e-28	0.00857276
11568	1.1568	0.1	0.9	10	0.378365	0.111701	5.07122e-06	2.86766e-28	0.00771421
12980	1.298	0.1	0.9	10	0.378372	0.111703	5.07132e-06	2.8677e-28	0.00698572
14565	1.4565	0.1	0.9	10	0.37838	0.111705	5.07142e-06	2.86775e-28	0.00637073
16343	1.6343	0.1	0.9	10	0.378388	0.111708	5.07153e-06	2.86779e-28	0.00585461
18339	1.8339	0.1	0.9	10	0.378397	0.11171	5.07164e-06	2.86785e-28	0.00542288
20577	2.0577	0.1	0.9	10	0.378406	0.111713	5.07177e-06	2.86791e-28	0.00506294
23089	2.3089	0.1	0.9	10	0.378417	0.111716	5.07191e-06	2.86798e-28	0.00476241
25908	2.5908	0.1	0.9	10	0.378428	0.11172	5.07206e-06	2.86805e-28	0.00451066
29070	2.907	0.1	0.9	10	0.37844	0.111723	5.07223e-06	2.86814e-28	0.00429846
32618	3.2618	0.1	0.9	10	0.378454	0.111727	5.07241e-06	2.86823e-28	0.00411787
36599	3.6599	0.1	0.9	10	0.378468	0.111731	5.0726e-06	2.86834e-28	0.00396257
41066	4.1066	0.1	0.9	10	0.378484	0.111736	5.07281e-06	2.86846e-28	0.00382767
46078	4.6078	0.1	0.9	10	0.378501	0.111741	5.07304e-06	2.8686e-28	0.00370953
51701	5.1701	0.1	0.9	10	0.378519	0.111746	5.07328e-06	2.86875e-28	0.00360543
58011	5.8011	0.1	0.9	10	0.378539	0.111752	5.07355e-06	2.86892e-28	0.00351328
65090	6.509	0.1	0.9	10	0.37856	0.111759	5.07383e-06	2.86911e-28	0.00343144
73034	7.3034	0.1	0.9	10	0.378583	0.111765	5.07414e-06	2.86932e-28	0.00335846
81946	8.1946	0.1	0.9	10	0.378608	0.111773	5.07447e-06	2.86956e-28	0.00329313
91946	9.1946	0.1	0.9	10	0.378635	0.111781	5.07483e-06	2.86983e-28	0.00323429
103166	10.3166	0.1	0.9	10	0.378663	0.111789	5.07522e-06	2.87013e-28	0.00318094
