# Filename: vlt_FPquench_vsl_3_T_1_0.1_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6

# time step n_t = 1000	t = 1.000000e-01	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.1	0.9	0	2.95614	1	0.1	0.0107069
0.1	0.9	0.04	2.90428	0.982456	0.943933	0.0104815
0.1	0.9	0.08	2.82189	0.954586	0.881194	0.00981114
0.1	0.9	0.12	2.71676	0.919022	0.8151	0.00887213
0.1	0.9	0.16	2.59725	0.878596	0.74869	0.00780997
0.1	0.9	0.2	2.47086	0.835841	0.684328	0.00673482
0.1	0.9	0.24	2.34337	0.792713	0.62357	0.00572003
0.1	0.9	0.28	2.21868	0.750533	0.567241	0.00480627
0.1	0.9	0.32	2.09909	0.710078	0.515622	0.00400935
0.1	0.9	0.36	1.98572	0.671728	0.468649	0.00332892
0.1	0.9	0.4	1.87896	0.635614	0.426065	0.0027557
0.1	0.9	0.44	1.77877	0.601719	0.387529	0.00227667
0.1	0.9	0.48	1.68488	0.56996	0.352682	0.00187811
0.1	0.9	0.52	1.59699	0.540227	0.321176	0.00154723
0.1	0.9	0.56	1.51475	0.512408	0.292692	0.00127281
0.1	0.9	0.6	1.43786	0.486397	0.26694	0.00104537
0.1	0.9	0.64	1.36603	0.462098	0.243661	0.000856987
0.1	0.9	0.68	1.299	0.439423	0.222619	0.000701107
0.1	0.9	0.72	1.23653	0.418291	0.203604	0.000572305
0.1	0.9	0.76	1.17838	0.398623	0.186422	0.00046607
0.1	0.9	0.8	1.12434	0.38034	0.170898	0.000378643
0.1	0.9	0.84	1.07416	0.363367	0.156869	0.000306873
0.1	0.9	0.88	1.02763	0.347625	0.144189	0.000248115
0.1	0.9	0.92	0.984514	0.33304	0.132723	0.000200144
0.1	0.9	0.96	0.944594	0.319536	0.122348	0.000161091
0.1	0.9	1	0.907649	0.307039	0.112953	0.000129387
0.1	0.9	1.04	0.873469	0.295476	0.104437	0.000103719
0.1	0.9	1.08	0.841849	0.28478	0.09671	8.29908e-05
0.1	0.9	1.12	0.812595	0.274884	0.0896891	6.62933e-05
0.1	0.9	1.16	0.785523	0.265726	0.0833014	5.28733e-05
0.1	0.9	1.2	0.76046	0.257248	0.0774815	4.21103e-05
0.1	0.9	1.24	0.737245	0.249395	0.0721708	3.34951e-05
0.1	0.9	1.28	0.715728	0.242116	0.0673172	2.66114e-05
0.1	0.9	1.32	0.695771	0.235365	0.0628742	2.11202e-05
0.1	0.9	1.36	0.677246	0.229098	0.0588005	1.67461e-05
0.1	0.9	1.4	0.660036	0.223276	0.0550593	1.32667e-05
0.1	0.9	1.44	0.644033	0.217863	0.0516178	1.05021e-05
0.1	0.9	1.48	0.629139	0.212825	0.0484469	8.30793e-06
0.1	0.9	1.52	0.615265	0.208131	0.0455207	6.56814e-06
0.1	0.9	1.56	0.602327	0.203755	0.0428162	5.18984e-06
0.1	0.9	1.6	0.590253	0.19967	0.0403127	4.09877e-06
0.1	0.9	1.64	0.578972	0.195854	0.0379918	3.23565e-06
0.1	0.9	1.68	0.568424	0.192286	0.0358371	2.5533e-06
0.1	0.9	1.72	0.558551	0.188946	0.0338339	2.01414e-06
0.1	0.9	1.76	0.549303	0.185817	0.0319689	1.58834e-06
0.1	0.9	1.8	0.54063	0.182884	0.0302305	1.25221e-06
0.1	0.9	1.84	0.532492	0.180131	0.0286079	9.86966e-07
0.1	0.9	1.88	0.524848	0.177545	0.0270916	7.77737e-07
0.1	0.9	1.92	0.517662	0.175114	0.025673	6.12743e-07
0.1	0.9	1.96	0.510902	0.172827	0.0243442	4.82668e-07
0.1	0.9	2	0.504536	0.170674	0.0230982	3.80147e-07
0.1	0.9	2.04	0.498539	0.168645	0.0219287	2.9936e-07
0.1	0.9	2.08	0.492884	0.166732	0.0208299	2.35713e-07
0.1	0.9	2.12	0.487548	0.164927	0.0197965	1.85577e-07
0.1	0.9	2.16	0.482509	0.163223	0.0188237	1.46091e-07
0.1	0.9	2.2	0.477748	0.161612	0.0179071	1.14997e-07
0.1	0.9	2.24	0.473247	0.16009	0.0170429	9.05136e-08
0.1	0.9	2.28	0.468989	0.158649	0.0162273	7.1238e-08
0.1	0.9	2.32	0.464959	0.157286	0.015457	5.60639e-08
0.1	0.9	2.36	0.461141	0.155994	0.014729	4.41196e-08
0.1	0.9	2.4	0.457524	0.154771	0.0140405	3.47183e-08
0.1	0.9	2.44	0.454094	0.15361	0.0133888	2.73191e-08
0.1	0.9	2.48	0.45084	0.15251	0.0127717	2.1496e-08
0.1	0.9	2.52	0.447752	0.151465	0.0121868	1.69135e-08
0.1	0.9	2.56	0.44482	0.150473	0.0116323	1.33075e-08
0.1	0.9	2.6	0.442035	0.149531	0.0111062	1.04701e-08
0.1	0.9	2.64	0.439388	0.148636	0.0106068	8.23742e-09
0.1	0.9	2.68	0.436872	0.147784	0.0101326	6.48072e-09
0.1	0.9	2.72	0.434478	0.146975	0.00968193	5.09856e-09
0.1	0.9	2.76	0.432201	0.146204	0.00925354	4.01111e-09
0.1	0.9	2.8	0.430033	0.145471	0.00884611	3.15555e-09
0.1	0.9	2.84	0.427969	0.144773	0.00845846	2.48245e-09
0.1	0.9	2.88	0.426003	0.144108	0.00808947	1.9529e-09
0.1	0.9	2.92	0.42413	0.143474	0.0077381	1.5363e-09
0.1	0.9	2.96	0.422345	0.14287	0.00740339	1.20856e-09
0.1	0.9	3	0.420643	0.142295	0.00708444	9.50727e-10
0.1	0.9	3.04	0.41902	0.141746	0.00678039	7.47896e-10
0.1	0.9	3.08	0.417472	0.141222	0.00649045	5.88334e-10
0.1	0.9	3.12	0.415994	0.140722	0.00621389	4.62811e-10
0.1	0.9	3.16	0.414584	0.140245	0.00595	3.64068e-10
0.1	0.9	3.2	0.413238	0.13979	0.00569814	2.86391e-10
0.1	0.9	3.24	0.411953	0.139355	0.00545768	2.25286e-10
0.1	0.9	3.28	0.410725	0.13894	0.00522806	1.77218e-10
0.1	0.9	3.32	0.409552	0.138543	0.00500872	1.39405e-10
0.1	0.9	3.36	0.408431	0.138164	0.00479915	1.09661e-10
0.1	0.9	3.4	0.40736	0.137801	0.00459889	8.62624e-11
0.1	0.9	3.44	0.406337	0.137455	0.00440746	6.78565e-11
0.1	0.9	3.48	0.405358	0.137124	0.00422444	5.33778e-11
0.1	0.9	3.52	0.404422	0.136807	0.00404942	4.19884e-11
0.1	0.9	3.56	0.403527	0.136505	0.00388203	3.30292e-11
0.1	0.9	3.6	0.40267	0.136215	0.0037219	2.59816e-11
0.1	0.9	3.64	0.401851	0.135938	0.00356869	2.04377e-11
0.1	0.9	3.68	0.401067	0.135673	0.00342207	1.60768e-11
0.1	0.9	3.72	0.400317	0.135419	0.00328174	1.26464e-11
0.1	0.9	3.76	0.399599	0.135176	0.0031474	9.94796e-12
0.1	0.9	3.8	0.398912	0.134943	0.00301879	7.8253e-12
0.1	0.9	3.84	0.398253	0.134721	0.00289563	6.15556e-12
0.1	0.9	3.88	0.397623	0.134508	0.00277769	4.8421e-12
0.1	0.9	3.92	0.39702	0.134303	0.00266473	3.80891e-12
0.1	0.9	3.96	0.396442	0.134108	0.00255651	2.99617e-12
0.1	0.9	4	0.395888	0.133921	0.00245284	2.35686e-12
0.1	0.9	4.04	0.395358	0.133741	0.00235351	1.85396e-12
0.1	0.9	4.08	0.394849	0.133569	0.00225832	1.45837e-12
0.1	0.9	4.12	0.394363	0.133405	0.00216709	1.14719e-12
0.1	0.9	4.16	0.393896	0.133247	0.00207966	9.02402e-13
0.1	0.9	4.2	0.393449	0.133095	0.00199584	7.09851e-13
0.1	0.9	4.24	0.39302	0.13295	0.0019155	5.58385e-13
0.1	0.9	4.28	0.392609	0.132812	0.00183846	4.39239e-13
0.1	0.9	4.32	0.392216	0.132678	0.00176461	3.45516e-13
0.1	0.9	4.36	0.391838	0.132551	0.00169378	2.71791e-13
0.1	0.9	4.4	0.391476	0.132428	0.00162587	2.13797e-13
0.1	0.9	4.44	0.391129	0.132311	0.00156073	1.68178e-13
0.1	0.9	4.48	0.390796	0.132198	0.00149826	1.32293e-13
0.1	0.9	4.52	0.390477	0.13209	0.00143833	1.04065e-13
0.1	0.9	4.56	0.390171	0.131987	0.00138085	8.18598e-14
0.1	0.9	4.6	0.389878	0.131887	0.00132571	6.4393e-14
0.1	0.9	4.64	0.389596	0.131792	0.00127281	5.06531e-14
0.1	0.9	4.68	0.389326	0.131701	0.00122205	3.9845e-14
0.1	0.9	4.72	0.389067	0.131613	0.00117335	3.13431e-14
0.1	0.9	4.76	0.388818	0.131529	0.00112663	2.46552e-14
0.1	0.9	4.8	0.38858	0.131448	0.00108179	1.93944e-14
0.1	0.9	4.84	0.388351	0.131371	0.00103876	1.52561e-14
0.1	0.9	4.88	0.388132	0.131297	0.000997463	1.20009e-14
0.1	0.9	4.92	0.387921	0.131226	0.000957832	9.44019e-15
0.1	0.9	4.96	0.387719	0.131157	0.000919796	7.4259e-15
0.1	0.9	5	0.387525	0.131092	0.000883288	5.8414e-15
0.1	0.9	5.04	0.387339	0.131029	0.000848246	4.595e-15
0.1	0.9	5.08	0.38716	0.130968	0.00081461	3.61454e-15
0.1	0.9	5.12	0.386989	0.13091	0.000782323	2.8433e-15
0.1	0.9	5.16	0.386825	0.130855	0.000751328	2.23661e-15
0.1	0.9	5.2	0.386667	0.130801	0.000721573	1.75938e-15
0.1	0.9	5.24	0.386515	0.13075	0.000693008	1.38397e-15
0.1	0.9	5.28	0.38637	0.130701	0.000665584	1.08867e-15
0.1	0.9	5.32	0.38623	0.130653	0.000639255	8.56376e-16
0.1	0.9	5.36	0.386096	0.130608	0.000613977	6.73648e-16
0.1	0.9	5.4	0.385967	0.130565	0.000589706	5.29909e-16
0.1	0.9	5.44	0.385844	0.130523	0.000566402	4.16841e-16
0.1	0.9	5.48	0.385725	0.130483	0.000544026	3.27898e-16
0.1	0.9	5.52	0.385611	0.130444	0.00052254	2.57933e-16
0.1	0.9	5.56	0.385502	0.130407	0.000501908	2.02897e-16
0.1	0.9	5.6	0.385397	0.130372	0.000482097	1.59605e-16
0.1	0.9	5.64	0.385297	0.130338	0.000463073	1.25549e-16
0.1	0.9	5.68	0.3852	0.130305	0.000444804	9.87604e-17
0.1	0.9	5.72	0.385107	0.130274	0.00042726	7.76876e-17
0.1	0.9	5.76	0.385018	0.130243	0.000410412	6.11112e-17
0.1	0.9	5.8	0.384932	0.130214	0.000394231	4.80717e-17
0.1	0.9	5.84	0.38485	0.130187	0.000378692	3.78145e-17
0.1	0.9	5.88	0.384771	0.13016	0.000363769	2.97459e-17
0.1	0.9	5.92	0.384695	0.130134	0.000349437	2.3399e-17
0.1	0.9	5.96	0.384622	0.13011	0.000335672	1.84063e-17
0.1	0.9	6	0.384553	0.130086	0.000322451	1.44789e-17
0.1	0.9	6.04	0.384485	0.130063	0.000309753	1.13895e-17
0.1	0.9	6.08	0.384421	0.130042	0.000297558	8.95927e-18
0.1	0.9	6.12	0.384359	0.130021	0.000285845	7.04761e-18
0.1	0.9	6.16	0.3843	0.13	0.000274594	5.54384e-18
0.1	0.9	6.2	0.384243	0.129981	0.000263788	4.36094e-18
0.1	0.9	6.24	0.384188	0.129963	0.000253408	3.43043e-18
0.1	0.9	6.28	0.384135	0.129945	0.000243439	2.69847e-18
0.1	0.9	6.32	0.384084	0.129928	0.000233863	2.12269e-18
0.1	0.9	6.36	0.384036	0.129911	0.000224664	1.66977e-18
0.1	0.9	6.4	0.383989	0.129895	0.000215829	1.31349e-18
0.1	0.9	6.44	0.383944	0.12988	0.000207342	1.03322e-18
0.1	0.9	6.48	0.383901	0.129866	0.00019919	8.12763e-19
0.1	0.9	6.52	0.38386	0.129852	0.000191359	6.39342e-19
0.1	0.9	6.56	0.38382	0.129838	0.000183836	5.02924e-19
0.1	0.9	6.6	0.383782	0.129825	0.00017661	3.95614e-19
0.1	0.9	6.64	0.383746	0.129813	0.000169669	3.11201e-19
0.1	0.9	6.68	0.383711	0.129801	0.000163001	2.44799e-19
0.1	0.9	6.72	0.383677	0.12979	0.000156596	1.92566e-19
0.1	0.9	6.76	0.383644	0.129779	0.000150443	1.51478e-19
0.1	0.9	6.8	0.383613	0.129768	0.000144533	1.19156e-19
0.1	0.9	6.84	0.383583	0.129758	0.000138855	9.37317e-20
0.1	0.9	6.88	0.383554	0.129748	0.0001334	7.3732e-20
0.1	0.9	6.92	0.383527	0.129739	0.00012816	5.79996e-20
