# Filename: vlt_FPquench_vsl_3_T_1_0.1_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6

# time step n_t = 400000	t = 4.000000e+01	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.1	0.9	0	2.95614	1	0.1	1.2252e-57
0.1	0.9	0.04	3.07678	1.04081	1	1.21506e-57
0.1	0.9	0.08	3.20235	1.08329	1	1.18633e-57
0.1	0.9	0.12	3.33304	1.1275	1	1.14741e-57
0.1	0.9	0.16	3.46906	1.17351	1	1.10376e-57
0.1	0.9	0.2	3.61064	1.2214	1	1.05892e-57
0.1	0.9	0.24	3.75799	1.27125	1	1.01523e-57
0.1	0.9	0.28	3.91136	1.32313	1	9.74254e-58
0.1	0.9	0.32	4.07098	1.37713	1	9.37107e-58
0.1	0.9	0.36	4.23712	1.43333	1	9.04659e-58
0.1	0.9	0.4	4.41004	1.49182	1	8.77712e-58
0.1	0.9	0.44	4.59002	1.55271	1	8.57139e-58
0.1	0.9	0.48	4.77734	1.61607	1	8.44047e-58
0.1	0.9	0.52	4.97231	1.68203	1	8.39968e-58
