T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.95	0.05	0	2.07452e-317	0.311173	0.033586	0	6.94587e-310	2.23216e-309	inf
0.95	0.05	0.2	3.09015	0.344765	0.0378346	-0.0168533	0.28227	0.907117	8.96305
0.95	0.05	0.4	3.77432	0.374846	0.0399246	-0.0269567	0.251267	0.807483	10.069
0.95	0.05	0.6	4.60996	0.402524	0.0398296	-0.0326575	0.22091	0.709927	11.4526
0.95	0.05	0.8	5.63062	0.429999	0.037755	-0.0357075	0.193211	0.620912	13.0945
0.95	0.05	1	6.87725	0.46011	0.0340085	-0.0372589	0.169265	0.543959	14.947
0.95	0.05	1.2	8.3999	0.49617	0.0289675	-0.0380076	0.149444	0.48026	16.9295
0.95	0.05	1.4	10.2597	0.542055	0.0231076	-0.0383482	0.133669	0.429566	18.9273
0.95	0.05	1.6	12.5312	0.602422	0.017025	-0.0384924	0.121627	0.390866	20.8013
0.95	0.05	1.8	15.3056	0.6829	0.0113889	-0.0385485	0.112883	0.362765	22.4127
0.95	0.05	2	18.6943	0.7901	0.00679201	-0.0385682	0.106928	0.34363	23.6607
0.95	0.05	2.2	22.8333	0.931336	0.00355396	-0.0385743	0.103195	0.331632	24.5167
0.95	0.05	2.4	27.8886	1.1142	0.00161767	-0.0385759	0.101078	0.32483	25.0301
0.95	0.05	2.6	34.0633	1.34645	0.000643427	-0.0385763	0.100005	0.321382	25.2986
0.95	0.05	2.8	41.605	1.63654	0.000228917	-0.0385764	0.099518	0.319816	25.4225
0.95	0.05	3	50.8164	1.99478	7.64017e-05	-0.0385764	0.0993144	0.319162	25.4747
0.95	0.05	3.2	62.0673	2.43441	2.58712e-05	-0.0385764	0.0992318	0.318896	25.4959
0.95	0.05	3.4	75.8092	2.97232	1.00025e-05	-0.0385764	0.0991961	0.318781	25.505
0.95	0.05	3.6	92.5935	3.6297	5.23549e-06	-0.0385764	0.0991771	0.31872	25.5099
0.95	0.05	3.8	113.094	4.43264	4.71318e-06	-0.0385764	0.0991616	0.318671	25.5139
0.95	0.05	4	138.133	5.4126	1.01521e-05	-0.0385764	0.0991352	0.318586	25.5207
0.95	0.05	4.1035	153.196	6.00049	2.45117e-05	-0.0385764	0.0990967	0.318462	25.5306
