# Filename: vlt_FPquench_vst_3_T_0.75_0.1_P_00.050_lmax10_dl0.005_tmax10000_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 3 (2011 Mar 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.75, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=2000, (dl=0.005), lpts=2001, ldatamax=250, tmax=10000, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	0.75	0.25	10	4.05111	10.278	0.000466622	5.26196e-29	0.0458474
1	0.0001	0.1	0.9	10	4.0224	1.36069	6.17754e-05	5.43364e-29	0.045741
2	0.0002	0.1	0.9	10	4.0224	1.36069	6.17754e-05	5.43364e-29	0.0456558
3	0.0003	0.1	0.9	10	4.0224	1.36069	6.17754e-05	5.43364e-29	0.045642
4	0.0004	0.1	0.9	10	4.0224	1.36069	6.17754e-05	5.43364e-29	0.045058
6	0.0006	0.1	0.9	10	-nan	-nan	-nan	5.43364e-29	0.0016939
8	0.0008	0.1	0.9	10	nan	nan	nan	nan	nan
10	0.001	0.1	0.9	10	nan	nan	nan	nan	nan
12	0.0012	0.1	0.9	10	nan	nan	nan	nan	nan
14	0.0014	0.1	0.9	10	nan	nan	nan	nan	nan
17	0.0017	0.1	0.9	10	nan	nan	nan	nan	nan
20	0.002	0.1	0.9	10	nan	nan	nan	nan	nan
24	0.0024	0.1	0.9	10	nan	nan	nan	nan	nan
28	0.0028	0.1	0.9	10	nan	nan	nan	nan	nan
32	0.0032	0.1	0.9	10	nan	nan	nan	nan	nan
37	0.0037	0.1	0.9	10	nan	nan	nan	nan	nan
43	0.0043	0.1	0.9	10	nan	nan	nan	nan	nan
49	0.0049	0.1	0.9	10	nan	nan	nan	nan	nan
56	0.0056	0.1	0.9	10	nan	nan	nan	nan	nan
64	0.0064	0.1	0.9	10	nan	nan	nan	nan	nan
73	0.0073	0.1	0.9	10	nan	nan	nan	nan	nan
83	0.0083	0.1	0.9	10	nan	nan	nan	nan	nan
94	0.0094	0.1	0.9	10	nan	nan	nan	nan	nan
107	0.0107	0.1	0.9	10	nan	nan	nan	nan	nan
121	0.0121	0.1	0.9	10	nan	nan	nan	nan	nan
137	0.0137	0.1	0.9	10	nan	nan	nan	nan	nan
155	0.0155	0.1	0.9	10	nan	nan	nan	nan	nan
175	0.0175	0.1	0.9	10	nan	nan	nan	nan	nan
197	0.0197	0.1	0.9	10	nan	nan	nan	nan	nan
222	0.0222	0.1	0.9	10	nan	nan	nan	nan	nan
250	0.025	0.1	0.9	10	nan	nan	nan	nan	nan
282	0.0282	0.1	0.9	10	nan	nan	nan	nan	nan
318	0.0318	0.1	0.9	10	nan	nan	nan	nan	nan
357	0.0357	0.1	0.9	10	nan	nan	nan	nan	nan
402	0.0402	0.1	0.9	10	nan	nan	nan	nan	nan
452	0.0452	0.1	0.9	10	nan	nan	nan	nan	nan
508	0.0508	0.1	0.9	10	nan	nan	nan	nan	nan
572	0.0572	0.1	0.9	10	nan	nan	nan	nan	nan
642	0.0642	0.1	0.9	10	nan	nan	nan	nan	nan
722	0.0722	0.1	0.9	10	nan	nan	nan	nan	nan
811	0.0811	0.1	0.9	10	nan	nan	nan	nan	nan
911	0.0911	0.1	0.9	10	nan	nan	nan	nan	nan
1023	0.1023	0.1	0.9	10	nan	nan	nan	nan	nan
1149	0.1149	0.1	0.9	10	nan	nan	nan	nan	nan
1290	0.129	0.1	0.9	10	nan	nan	nan	nan	nan
1449	0.1449	0.1	0.9	10	nan	nan	nan	nan	nan
