# Filename: vlt_FPquench_vsl_3_T_0.75_0.1_P_00.050_lmax10_dl0.008_tmax0.01_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.75, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=0.01, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.75	0.25	0	0.394152	1	1	0.0135873
0.75	0.25	0.04	0.406572	1.03151	0.991063	0.0106364
0.75	0.25	0.08	0.419292	1.06378	0.981995	0.00828765
0.75	0.25	0.12	0.432335	1.09687	0.97284	0.00642736
0.75	0.25	0.16	0.445725	1.13084	0.963642	0.00496121
0.75	0.25	0.2	0.459489	1.16577	0.954448	0.0038114
0.75	0.25	0.24	0.473658	1.20171	0.945302	0.00291411
0.75	0.25	0.28	0.488267	1.23878	0.936249	0.00221735
0.75	0.25	0.32	0.503352	1.27705	0.927328	0.00167901
0.75	0.25	0.36	0.518952	1.31663	0.918581	0.00126513
0.75	0.25	0.4	0.535111	1.35763	0.910045	0.000948542
0.75	0.25	0.44	0.551875	1.40016	0.901752	0.000707606
0.75	0.25	0.48	0.56929	1.44434	0.893734	0.000525183
0.75	0.25	0.52	0.587407	1.4903	0.886017	0.000387778
0.75	0.25	0.56	0.606278	1.53818	0.878625	0.000284824
0.75	0.25	0.6	0.625959	1.58812	0.871576	0.000208092
0.75	0.25	0.64	0.646505	1.64024	0.864887	0.000151212
0.75	0.25	0.68	0.667974	1.69471	0.858569	0.000109279
0.75	0.25	0.72	0.690425	1.75167	0.85263	7.85362e-05
0.75	0.25	0.76	0.713918	1.81128	0.847073	5.61246e-05
0.75	0.25	0.8	0.738516	1.87368	0.8419	3.988e-05
0.75	0.25	0.84	0.764279	1.93905	0.837107	2.81739e-05
0.75	0.25	0.88	0.791271	2.00753	0.832688	1.9788e-05
0.75	0.25	0.92	0.819555	2.07929	0.828636	1.38164e-05
0.75	0.25	0.96	0.849195	2.15449	0.824937	9.58986e-06
0.75	0.25	1	0.880254	2.23329	0.82158	6.61666e-06
0.75	0.25	1.04	0.912796	2.31585	0.818547	4.53804e-06
0.75	0.25	1.08	0.946886	2.40234	0.815823	3.09387e-06
0.75	0.25	1.12	0.982587	2.49291	0.813387	2.09676e-06
0.75	0.25	1.16	1.01997	2.58775	0.811222	1.41262e-06
0.75	0.25	1.2	1.05909	2.687	0.809308	9.46141e-07
0.75	0.25	1.24	1.10001	2.79083	0.807623	6.30058e-07
0.75	0.25	1.28	1.14282	2.89943	0.806149	4.17202e-07
0.75	0.25	1.32	1.18756	3.01295	0.804865	2.74735e-07
0.75	0.25	1.36	1.23432	3.13158	0.803753	1.79951e-07
0.75	0.25	1.4	1.28316	3.25549	0.802794	1.17261e-07
0.75	0.25	1.44	1.33415	3.38487	0.801971	7.60343e-08
0.75	0.25	1.48	1.38739	3.51992	0.801267	4.90727e-08
0.75	0.25	1.52	1.44293	3.66084	0.800669	3.15337e-08
0.75	0.25	1.56	1.50086	3.80783	0.800162	2.01818e-08
0.75	0.25	1.6	1.56128	3.96111	0.799734	1.28695e-08
0.75	0.25	1.64	1.62426	4.12091	0.799374	8.18013e-09
0.75	0.25	1.68	1.68991	4.28746	0.799072	5.18513e-09
0.75	0.25	1.72	1.75832	4.46103	0.798819	3.2793e-09
0.75	0.25	1.76	1.8296	4.64186	0.798607	2.07048e-09
0.75	0.25	1.8	1.90384	4.83023	0.798431	1.30585e-09
0.75	0.25	1.84	1.98118	5.02642	0.798284	8.23269e-10
0.75	0.25	1.88	2.06171	5.23075	0.798161	5.19194e-10
0.75	0.25	1.92	2.14558	5.44352	0.798059	3.27794e-10
0.75	0.25	1.96	2.2329	5.66507	0.797973	2.07361e-10
0.75	0.25	2	2.32382	5.89574	0.797901	1.31555e-10
0.75	0.25	2.04	2.41847	6.13588	0.797841	8.37865e-11
0.75	0.25	2.08	2.51701	6.38589	0.79779	5.36284e-11
0.75	0.25	2.12	2.61959	6.64614	0.797747	3.45359e-11
0.75	0.25	2.16	2.72637	6.91705	0.79771	2.24048e-11
0.75	0.25	2.2	2.83752	7.19905	0.797678	1.46616e-11
0.75	0.25	2.24	2.95322	7.49259	0.79765	9.69209e-12
0.75	0.25	2.28	3.07365	7.79813	0.797626	6.48202e-12
0.75	0.25	2.32	3.199	8.11616	0.797604	4.39312e-12
0.75	0.25	2.36	3.32947	8.44718	0.797585	3.0225e-12
0.75	0.25	2.4	3.46527	8.79172	0.797567	2.11498e-12
0.75	0.25	2.44	3.60662	9.15032	0.79755	1.50821e-12
0.75	0.25	2.48	3.75373	9.52356	0.797534	1.0984e-12
0.75	0.25	2.52	3.90685	9.91203	0.797518	8.18832e-13
0.75	0.25	2.56	4.06621	10.3163	0.797502	6.26352e-13
0.75	0.25	2.6	4.23207	10.7371	0.797486	4.92899e-13
0.75	0.25	2.64	4.40469	11.1751	0.797469	4.00139e-13
0.75	0.25	2.68	4.58434	11.6309	0.797451	3.36087e-13
0.75	0.25	2.72	4.77131	12.1052	0.79743	2.92979e-13
0.75	0.25	2.76	4.96587	12.5989	0.797405	2.65955e-13
