# Filename: vlt_FPquench_vst_3_T_0.5_0.1_P_00.050_lmax10_dl0.008_tmax0.01_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.5, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=0.01, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	0.5	0.5	10	0.382877	0.647595	2.94008e-05	5.73458e-28	0.00379405
1	0.0001	0.1	0.9	0.6	4.98798	1.68733	0.926025	8.38911e-06	0.00369978
2	0.0002	0.1	0.9	0.6	4.98842	1.68748	0.926107	8.52346e-06	0.00368957
3	0.0003	0.1	0.9	0.6	4.98883	1.68761	0.926183	8.63725e-06	0.00368021
4	0.0004	0.1	0.9	0.6	4.98921	1.68775	0.926254	8.73765e-06	0.00367135
6	0.0006	0.1	0.9	0.6	4.98994	1.68799	0.92639	8.91251e-06	0.00365458
8	0.0008	0.1	0.9	0.6	4.99064	1.68823	0.926519	9.06479e-06	0.00363869
10	0.001	0.1	0.9	0.6	4.99131	1.68846	0.926644	9.20207e-06	0.00362343
12	0.0012	0.1	0.9	0.6	4.99196	1.68868	0.926765	9.32849e-06	0.00360867
14	0.0014	0.1	0.9	0.6	4.9926	1.68889	0.926883	9.44656e-06	0.00359432
17	0.0017	0.1	0.9	0.6	4.99353	1.68921	0.927056	9.6116e-06	0.00357345
20	0.002	0.1	0.9	0.6	4.99444	1.68951	0.927225	9.76534e-06	0.00355323
24	0.0024	0.1	0.9	0.6	4.99562	1.68991	0.927443	9.95685e-06	0.00352715
28	0.0028	0.1	0.9	0.6	4.99676	1.6903	0.927656	1.01363e-05	0.00350191
32	0.0032	0.1	0.9	0.6	4.99788	1.69068	0.927864	1.03062e-05	0.00347742
37	0.0037	0.1	0.9	0.6	4.99925	1.69114	0.928118	1.05078e-05	0.00344771
43	0.0043	0.1	0.9	0.592	4.96407	1.67924	0.928989	1.09919e-05	0.00340696
49	0.0049	0.1	0.9	0.592	4.96561	1.67976	0.929278	1.13157e-05	0.00337374
56	0.0056	0.1	0.9	0.592	4.96737	1.68036	0.929606	1.16387e-05	0.00333625
64	0.0064	0.1	0.9	0.592	4.96932	1.68102	0.929971	1.19722e-05	0.00329492
73	0.0073	0.1	0.9	0.592	4.97145	1.68174	0.93037	1.23187e-05	0.00325015
83	0.0083	0.1	0.9	0.592	4.97375	1.68252	0.930801	1.26788e-05	0.00320235
94	0.0094	0.1	0.9	0.592	4.9762	1.68335	0.93126	1.30527e-05	0.00315187
