# Filename: vlt_FPquench_vst_3_T_1_0.1_P_00.050_lmax10_dl0.008_tmax0.01_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=0.01, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	1	0	10	0.387511	1.31087	5.95133e-05	5.46582e-28	0.205342
1	0.0001	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.20494
2	0.0002	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.204702
3	0.0003	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.204477
4	0.0004	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.204261
6	0.0006	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.203844
8	0.0008	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.203442
10	0.001	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.20305
12	0.0012	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.202665
14	0.0014	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.202287
17	0.0017	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.20173
20	0.002	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.201184
24	0.0024	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.200469
28	0.0028	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.199768
32	0.0032	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.199078
37	0.0037	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.198231
43	0.0043	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.197233
49	0.0049	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.196253
56	0.0056	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.195132
64	0.0064	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.193876
73	0.0073	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.192492
83	0.0083	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.190987
94	0.0094	0.1	0.9	10	0.382876	0.129519	5.88016e-06	5.73458e-28	0.189369
