# Filename: vlt_FPquench_vst_3_T_0.75_0.1_P_00.050_lmax10_dl0.008_tmax1_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.75, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=1, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	0.75	0.25	10	0.382947	0.971572	4.41093e-05	5.73512e-28	0.0461011
1	0.0001	0.1	0.9	1.592	4.98818	1.6874	0.343416	1.54825e-08	0.0459476
2	0.0002	0.1	0.9	1.592	4.99042	1.68815	0.34357	1.55604e-08	0.0458632
3	0.0003	0.1	0.9	1.592	4.99257	1.68888	0.343718	1.56345e-08	0.0457849
4	0.0004	0.1	0.9	1.592	4.99466	1.68959	0.343862	1.57052e-08	0.0457099
6	0.0006	0.1	0.9	1.592	4.99875	1.69097	0.344143	1.58375e-08	0.0455665
8	0.0008	0.1	0.9	1.584	4.96465	1.67944	0.344541	1.7046e-08	0.045429
10	0.001	0.1	0.9	1.584	4.96856	1.68076	0.344813	1.72073e-08	0.0452961
12	0.0012	0.1	0.9	1.584	4.97242	1.68207	0.345081	1.73545e-08	0.0451665
14	0.0014	0.1	0.9	1.584	4.97625	1.68336	0.345346	1.74903e-08	0.0450398
17	0.0017	0.1	0.9	1.584	4.98192	1.68528	0.34574	1.7677e-08	0.0448542
20	0.002	0.1	0.9	1.584	4.98754	1.68718	0.34613	1.78478e-08	0.0446732
24	0.0024	0.1	0.9	1.584	4.99495	1.68969	0.346644	1.80565e-08	0.0444377
28	0.0028	0.1	0.9	1.576	4.96435	1.67933	0.347288	1.91015e-08	0.044208
32	0.0032	0.1	0.9	1.576	4.97156	1.68178	0.347792	1.93983e-08	0.0439835
37	0.0037	0.1	0.9	1.576	4.9805	1.6848	0.348417	1.97163e-08	0.0437094
43	0.0043	0.1	0.9	1.576	4.99112	1.68839	0.34916	2.00478e-08	0.0433887
49	0.0049	0.1	0.9	1.568	4.96384	1.67916	0.350041	2.03434e-08	0.043076
56	0.0056	0.1	0.9	1.568	4.9759	1.68324	0.350892	2.16847e-08	0.0427202
64	0.0064	0.1	0.9	1.568	4.98955	1.68786	0.351854	2.2173e-08	0.0423245
73	0.0073	0.1	0.9	1.56	4.96704	1.68025	0.35308	2.35742e-08	0.0418916
83	0.0083	0.1	0.9	1.56	4.98363	1.68586	0.354259	2.43085e-08	0.0414248
94	0.0094	0.1	0.9	1.552	4.96409	1.67925	0.355705	2.59098e-08	0.0409264
107	0.0107	0.1	0.9	1.552	4.98501	1.68632	0.357204	2.69432e-08	0.0403564
121	0.0121	0.1	0.9	1.544	4.96976	1.68117	0.358971	2.8933e-08	0.039763
137	0.0137	0.1	0.9	1.544	4.99466	1.68959	0.36077	3.01676e-08	0.0391088
155	0.0155	0.1	0.9	1.536	4.98481	1.68626	0.36295	3.27983e-08	0.0384
175	0.0175	0.1	0.9	1.528	4.97753	1.68379	0.365331	3.57097e-08	0.0376435
197	0.0197	0.1	0.9	1.52	4.97267	1.68215	0.367906	3.90054e-08	0.0368456
222	0.0222	0.1	0.9	1.512	4.97146	1.68174	0.370771	4.28665e-08	0.0359784
250	0.025	0.1	0.9	1.504	4.97364	1.68248	0.373913	4.74706e-08	0.0350524
282	0.0282	0.1	0.9	1.496	4.98026	1.68472	0.377418	5.29801e-08	0.034047
318	0.0318	0.1	0.9	1.488	4.99092	1.68832	0.381264	5.94797e-08	0.0329768
357	0.0357	0.1	0.9	1.472	4.96788	1.68053	0.385625	6.89983e-08	0.0318823
402	0.0402	0.1	0.9	1.464	4.9867	1.68689	0.390194	7.89281e-08	0.0306961
452	0.0452	0.1	0.9	1.448	4.97379	1.68253	0.395462	9.33338e-08	0.0294629
508	0.0508	0.1	0.9	1.432	4.96577	1.67981	0.401191	1.07928e-07	0.0281776
572	0.0572	0.1	0.9	1.424	4.99843	1.69087	0.407074	1.30332e-07	0.0268174
642	0.0642	0.1	0.9	1.408	4.99917	1.69111	0.413701	1.58218e-07	0.0254475
722	0.0722	0.1	0.9	1.384	4.97245	1.68207	0.421485	1.99382e-07	0.0240134
811	0.0811	0.1	0.9	1.368	4.98341	1.68578	0.429227	2.47453e-07	0.0225642
911	0.0911	0.1	0.9	1.352	4.99831	1.69082	0.437454	3.08512e-07	0.0210943
1023	0.1023	0.1	0.9	1.328	4.98523	1.6864	0.446907	3.99055e-07	0.0196172
1149	0.1149	0.1	0.9	1.304	4.97677	1.68354	0.456986	5.17441e-07	0.0181399
1290	0.129	0.1	0.9	1.288	4.99964	1.69127	0.46649	6.62798e-07	0.0166856
1449	0.1449	0.1	0.9	1.264	4.99583	1.68998	0.477457	8.74422e-07	0.0152511
1627	0.1627	0.1	0.9	1.24	4.99318	1.68909	0.488795	1.157e-06	0.0138622
