# Filename: vlt_FPquench_vst_3_T_1_0.1_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	1	0	10	0.387511	1.31087	5.95133e-05	5.46582e-28	0.205342
1	0.0001	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.20494
2	0.0002	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.204702
3	0.0003	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.204477
4	0.0004	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.204261
6	0.0006	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.203844
8	0.0008	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.203442
10	0.001	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.20305
12	0.0012	0.1	0.9	10	0.382875	0.129519	5.88014e-06	5.73458e-28	0.202665
14	0.0014	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.202287
17	0.0017	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.20173
20	0.002	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.201184
24	0.0024	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.200469
28	0.0028	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.199768
32	0.0032	0.1	0.9	10	0.382876	0.129519	5.88014e-06	5.73458e-28	0.199078
37	0.0037	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.198231
43	0.0043	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.197233
49	0.0049	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.196253
56	0.0056	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.195132
64	0.0064	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.193876
73	0.0073	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.192492
83	0.0083	0.1	0.9	10	0.382876	0.129519	5.88015e-06	5.73458e-28	0.190987
94	0.0094	0.1	0.9	10	0.382876	0.129519	5.88016e-06	5.73458e-28	0.189369
107	0.0107	0.1	0.9	10	0.382877	0.129519	5.88016e-06	5.73458e-28	0.187503
121	0.0121	0.1	0.9	10	0.382877	0.129519	5.88016e-06	5.73458e-28	0.185544
137	0.0137	0.1	0.9	10	0.382877	0.129519	5.88016e-06	5.73458e-28	0.183364
155	0.0155	0.1	0.9	10	0.382877	0.129519	5.88017e-06	5.73458e-28	0.180982
175	0.0175	0.1	0.9	10	0.382877	0.129519	5.88017e-06	5.73458e-28	0.178415
197	0.0197	0.1	0.9	10	0.382878	0.129519	5.88017e-06	5.73459e-28	0.17568
222	0.0222	0.1	0.9	10	0.382878	0.12952	5.88018e-06	5.73459e-28	0.172678
250	0.025	0.1	0.9	10	0.382878	0.12952	5.88018e-06	5.73459e-28	0.169437
282	0.0282	0.1	0.9	10	0.382878	0.12952	5.88019e-06	5.73459e-28	0.165878
318	0.0318	0.1	0.9	10	0.382879	0.12952	5.88019e-06	5.73459e-28	0.162044
357	0.0357	0.1	0.9	10	0.382879	0.12952	5.8802e-06	5.73459e-28	0.158076
402	0.0402	0.1	0.9	10	0.38288	0.12952	5.88021e-06	5.7346e-28	0.153716
452	0.0452	0.1	0.9	10	0.38288	0.12952	5.88021e-06	5.7346e-28	0.149123
508	0.0508	0.1	0.9	10	0.382881	0.129521	5.88022e-06	5.7346e-28	0.144263
572	0.0572	0.1	0.9	10	0.382881	0.129521	5.88023e-06	5.73461e-28	0.13904
642	0.0642	0.1	0.9	10	0.382882	0.129521	5.88024e-06	5.73461e-28	0.133693
722	0.0722	0.1	0.9	10	0.382883	0.129521	5.88025e-06	5.73461e-28	0.128
811	0.0811	0.1	0.9	10	0.382884	0.129522	5.88027e-06	5.73462e-28	0.122132
911	0.0911	0.1	0.9	10	0.382885	0.129522	5.88028e-06	5.73462e-28	0.116057
1023	0.1023	0.1	0.9	10	0.382886	0.129522	5.8803e-06	5.73463e-28	0.109826
1149	0.1149	0.1	0.9	10	0.382887	0.129523	5.88032e-06	5.73464e-28	0.103447
1290	0.129	0.1	0.9	10	0.382888	0.129523	5.88034e-06	5.73465e-28	0.0969963
1449	0.1449	0.1	0.9	10	0.38289	0.129524	5.88036e-06	5.73465e-28	0.0904708
1627	0.1627	0.1	0.9	10	0.382891	0.129524	5.88038e-06	5.73466e-28	0.0839684
1826	0.1826	0.1	0.9	10	0.382893	0.129525	5.88041e-06	5.73467e-28	0.0775476
2050	0.205	0.1	0.9	10	0.382895	0.129525	5.88044e-06	5.73469e-28	0.0712177
2301	0.2301	0.1	0.9	10	0.382897	0.129526	5.88047e-06	5.7347e-28	0.0650608
2583	0.2583	0.1	0.9	10	0.382899	0.129527	5.88051e-06	5.73472e-28	0.0591114
2899	0.2899	0.1	0.9	10	0.382902	0.129528	5.88055e-06	5.73473e-28	0.0534314
3254	0.3254	0.1	0.9	10	0.382905	0.129529	5.88059e-06	5.73475e-28	0.0480474
3652	0.3652	0.1	0.9	10	0.382908	0.12953	5.88063e-06	5.73477e-28	0.0430048
4099	0.4099	0.1	0.9	10	0.382911	0.129531	5.88068e-06	5.7348e-28	0.0383207
4600	0.46	0.1	0.9	10	0.382914	0.129532	5.88074e-06	5.73483e-28	0.0340215
5162	0.5162	0.1	0.9	10	0.382918	0.129533	5.8808e-06	5.73486e-28	0.0301105
5793	0.5793	0.1	0.9	10	0.382922	0.129535	5.88086e-06	5.73489e-28	0.0265838
6501	0.6501	0.1	0.9	10	0.382927	0.129536	5.88093e-06	5.73493e-28	0.0234354
7296	0.7296	0.1	0.9	10	0.382932	0.129538	5.881e-06	5.73497e-28	0.0206479
8187	0.8187	0.1	0.9	10	0.382937	0.12954	5.88109e-06	5.73502e-28	0.0182051
9187	0.9187	0.1	0.9	10	0.382943	0.129541	5.88117e-06	5.73507e-28	0.0160779
10309	1.0309	0.1	0.9	10	0.382949	0.129543	5.88127e-06	5.73513e-28	0.0142399
11568	1.1568	0.1	0.9	10	0.382955	0.129546	5.88137e-06	5.7352e-28	0.0126624
12980	1.298	0.1	0.9	10	0.382962	0.129548	5.88148e-06	5.73528e-28	0.0113177
14565	1.4565	0.1	0.9	10	0.38297	0.129551	5.88159e-06	5.73537e-28	0.0101774
