# Filename: vlt_FPquench_vst_4_T_0.95_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 3 (2011 Mar 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.95, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=0.0001, a0=1, a06=1, CONST=0.6
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	0.95	0.05	10	4.09527	13.1608	0.000597497	4.34057e-29	0.155988
1	0.0001	0.1	0.9	10	3.99722	1.35217	6.13886e-05	4.56276e-29	0.155684
2	0.0002	0.1	0.9	10	3.99722	1.35217	6.13886e-05	4.56276e-29	0.155522
3	0.0003	0.1	0.9	10	3.99722	1.35217	6.13886e-05	4.56276e-29	0.155373
4	0.0004	0.1	0.9	10	3.99722	1.35217	6.13886e-05	4.56276e-29	0.155229
6	0.0006	0.1	0.9	10	3.99722	1.35217	6.13886e-05	4.56276e-29	0.154956
8	0.0008	0.1	0.9	10	3.99722	1.35218	6.13887e-05	4.56276e-29	0.154693
10	0.001	0.1	0.9	10	3.99722	1.35218	6.13887e-05	4.56276e-29	0.154439
12	0.0012	0.1	0.9	10	3.99722	1.35218	6.13887e-05	4.56276e-29	0.15419
14	0.0014	0.1	0.9	10	3.99722	1.35218	6.13887e-05	4.56276e-29	0.153947
17	0.0017	0.1	0.9	10	3.99722	1.35218	6.13887e-05	4.56276e-29	0.153589
20	0.002	0.1	0.9	10	3.99723	1.35218	6.13887e-05	4.56276e-29	0.15324
24	0.0024	0.1	0.9	10	3.99723	1.35218	6.13888e-05	4.56276e-29	0.152783
28	0.0028	0.1	0.9	10	3.99723	1.35218	6.13888e-05	4.56276e-29	0.152336
32	0.0032	0.1	0.9	10	3.99723	1.35218	6.13888e-05	4.56276e-29	0.151898
37	0.0037	0.1	0.9	10	3.99723	1.35218	6.13889e-05	4.56276e-29	0.15136
43	0.0043	0.1	0.9	10	3.99724	1.35218	6.13889e-05	4.56276e-29	0.150727
49	0.0049	0.1	0.9	10	3.99724	1.35218	6.13889e-05	4.56276e-29	0.150107
56	0.0056	0.1	0.9	10	3.99724	1.35218	6.1389e-05	4.56276e-29	0.149398
64	0.0064	0.1	0.9	10	3.99724	1.35218	6.1389e-05	4.56276e-29	0.148605
73	0.0073	0.1	0.9	10	3.99725	1.35218	6.13891e-05	4.56276e-29	0.147731
83	0.0083	0.1	0.9	10	3.99725	1.35219	6.13892e-05	4.56276e-29	0.146782
94	0.0094	0.1	0.9	10	3.99726	1.35219	6.13892e-05	4.56276e-29	0.145762
107	0.0107	0.1	0.9	10	3.99726	1.35219	6.13893e-05	4.56276e-29	0.144585
121	0.0121	0.1	0.9	10	3.99727	1.35219	6.13894e-05	4.56276e-29	0.143349
137	0.0137	0.1	0.9	10	3.99727	1.35219	6.13895e-05	4.56276e-29	0.141973
155	0.0155	0.1	0.9	10	3.99728	1.3522	6.13896e-05	4.56276e-29	0.140468
175	0.0175	0.1	0.9	10	3.99729	1.3522	6.13898e-05	4.56277e-29	0.138845
197	0.0197	0.1	0.9	10	3.9973	1.3522	6.13899e-05	4.56277e-29	0.137112
222	0.0222	0.1	0.9	10	3.99731	1.35221	6.139e-05	4.56277e-29	0.135206
250	0.025	0.1	0.9	10	3.99732	1.35221	6.13902e-05	4.56277e-29	0.133143
282	0.0282	0.1	0.9	10	3.99733	1.35221	6.13904e-05	4.56277e-29	0.130871
318	0.0318	0.1	0.9	10	3.99735	1.35222	6.13906e-05	4.56277e-29	0.128415
357	0.0357	0.1	0.9	10	3.99736	1.35222	6.13909e-05	4.56277e-29	0.125861
402	0.0402	0.1	0.9	10	3.99738	1.35223	6.13911e-05	4.56278e-29	0.123042
452	0.0452	0.1	0.9	10	3.9974	1.35224	6.13914e-05	4.56278e-29	0.120055
508	0.0508	0.1	0.9	10	3.99742	1.35224	6.13917e-05	4.56278e-29	0.116873
572	0.0572	0.1	0.9	10	3.99744	1.35225	6.13921e-05	4.56278e-29	0.11343
