# Filename: vlt_FPquench_vsl_3_T_0.999_0.99_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 5 (2011 Apr 05 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.999, qTfrac=0.99, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=0.6, Lconst=1

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.999	0.001	0	0.29591	1	1	0.0396688
0.999	0.001	0.04	0.301895	1.02023	0.980222	0.0323642
0.999	0.001	0.08	0.307655	1.03969	0.959757	0.0263363
0.999	0.001	0.12	0.31318	1.05836	0.938684	0.0213783
0.999	0.001	0.16	0.31846	1.07621	0.917082	0.0173131
0.999	0.001	0.2	0.323489	1.0932	0.895036	0.01399
0.999	0.001	0.24	0.328263	1.10933	0.872632	0.0112811
0.999	0.001	0.28	0.332781	1.1246	0.849955	0.00907901
0.999	0.001	0.32	0.337044	1.13901	0.827089	0.00729333
0.999	0.001	0.36	0.341055	1.15256	0.804116	0.0058488
0.999	0.001	0.4	0.344819	1.16529	0.781114	0.00468285
0.999	0.001	0.44	0.348344	1.1772	0.758157	0.00374373
0.999	0.001	0.48	0.351636	1.18832	0.735313	0.0029888
0.999	0.001	0.52	0.354704	1.19869	0.712646	0.00238302
0.999	0.001	0.56	0.357559	1.20834	0.690213	0.00189775
0.999	0.001	0.6	0.360211	1.2173	0.668068	0.00150964
0.999	0.001	0.64	0.36267	1.22561	0.646255	0.00119967
0.999	0.001	0.68	0.364948	1.23331	0.624814	0.000952448
0.999	0.001	0.72	0.367055	1.24043	0.603782	0.000755515
0.999	0.001	0.76	0.369003	1.24701	0.583186	0.000598821
0.999	0.001	0.8	0.370803	1.25309	0.563051	0.000474275
0.999	0.001	0.84	0.372465	1.25871	0.543398	0.000375378
0.999	0.001	0.88	0.373998	1.26389	0.524241	0.000296917
0.999	0.001	0.92	0.375415	1.26868	0.505593	0.000234721
0.999	0.001	0.96	0.376722	1.2731	0.48746	0.000185454
0.999	0.001	1	0.377931	1.27718	0.469849	0.000146457
0.999	0.001	1.04	0.379048	1.28096	0.452761	0.000115608
0.999	0.001	1.08	0.380083	1.28446	0.436195	9.12185e-05
0.999	0.001	1.12	0.381043	1.2877	0.42015	7.19468e-05
0.999	0.001	1.16	0.381934	1.29071	0.40462	5.67263e-05
0.999	0.001	1.2	0.382764	1.29351	0.389599	4.47109e-05
0.999	0.001	1.24	0.383539	1.29613	0.37508	3.52297e-05
0.999	0.001	1.28	0.384264	1.29858	0.361055	2.7751e-05
0.999	0.001	1.32	0.384946	1.30089	0.347513	2.1854e-05
0.999	0.001	1.36	0.385589	1.30306	0.334445	1.72057e-05
0.999	0.001	1.4	0.386198	1.30512	0.321838	1.35428e-05
0.999	0.001	1.44	0.386777	1.30708	0.309683	1.06573e-05
0.999	0.001	1.48	0.387332	1.30895	0.297967	8.38479e-06
0.999	0.001	1.52	0.387865	1.31075	0.286678	6.59548e-06
0.999	0.001	1.56	0.388381	1.3125	0.275803	5.18697e-06
0.999	0.001	1.6	0.388883	1.31419	0.265331	4.07846e-06
0.999	0.001	1.64	0.389374	1.31585	0.255249	3.20624e-06
0.999	0.001	1.68	0.389857	1.31749	0.245545	2.52009e-06
0.999	0.001	1.72	0.390336	1.31911	0.236207	1.98042e-06
0.999	0.001	1.76	0.390814	1.32072	0.227223	1.55603e-06
0.999	0.001	1.8	0.391292	1.32234	0.218581	1.22236e-06
0.999	0.001	1.84	0.391775	1.32397	0.210269	9.6007e-07
0.999	0.001	1.88	0.392264	1.32562	0.202276	7.53921e-07
0.999	0.001	1.92	0.392762	1.3273	0.194592	5.91925e-07
0.999	0.001	1.96	0.393271	1.32902	0.187204	4.6465e-07
0.999	0.001	2	0.393795	1.33079	0.180103	3.64669e-07
0.999	0.001	2.04	0.394335	1.33262	0.173279	2.86144e-07
0.999	0.001	2.08	0.394895	1.33451	0.166721	2.24482e-07
0.999	0.001	2.12	0.395476	1.33647	0.160419	1.76069e-07
0.999	0.001	2.16	0.396081	1.33852	0.154365	1.38066e-07
0.999	0.001	2.2	0.396713	1.34065	0.148549	1.08241e-07
0.999	0.001	2.24	0.397374	1.34289	0.142962	8.48379e-08
0.999	0.001	2.28	0.398068	1.34523	0.137596	6.64778e-08
0.999	0.001	2.32	0.398796	1.3477	0.132443	5.20772e-08
0.999	0.001	2.36	0.399563	1.35029	0.127494	4.07847e-08
0.999	0.001	2.4	0.400371	1.35302	0.122743	3.19314e-08
0.999	0.001	2.44	0.401223	1.35589	0.118181	2.49921e-08
0.999	0.001	2.48	0.402122	1.35893	0.113802	1.95545e-08
0.999	0.001	2.52	0.403073	1.36215	0.109598	1.52947e-08
0.999	0.001	2.56	0.404078	1.36554	0.105563	1.19585e-08
0.999	0.001	2.6	0.405142	1.36914	0.101691	9.34638e-09
0.999	0.001	2.64	0.406268	1.37295	0.0979751	7.30187e-09
0.999	0.001	2.68	0.407462	1.37698	0.09441	5.70214e-09
0.999	0.001	2.72	0.408727	1.38125	0.0909897	4.45086e-09
0.999	0.001	2.76	0.410068	1.38579	0.0877088	3.47249e-09
0.999	0.001	2.8	0.41149	1.39059	0.0845621	2.7078e-09
0.999	0.001	2.84	0.413	1.39569	0.0815444	2.11037e-09
0.999	0.001	2.88	0.414602	1.40111	0.0786509	1.64381e-09
0.999	0.001	2.92	0.416303	1.40686	0.0758769	1.27962e-09
0.999	0.001	2.96	0.418108	1.41296	0.0732179	9.95482e-10
0.999	0.001	3	0.420026	1.41944	0.0706697	7.73911e-10
0.999	0.001	3.04	0.422063	1.42632	0.068228	6.01224e-10
0.999	0.001	3.08	0.424227	1.43364	0.0658888	4.66715e-10
0.999	0.001	3.12	0.426527	1.44141	0.0636485	3.62007e-10
0.999	0.001	3.16	0.42897	1.44967	0.0615031	2.80551e-10
0.999	0.001	3.2	0.431568	1.45844	0.0594493	2.17228e-10
0.999	0.001	3.24	0.434329	1.46777	0.0574837	1.68036e-10
0.999	0.001	3.28	0.437264	1.47769	0.055603	1.29853e-10
0.999	0.001	3.32	0.440385	1.48824	0.0538041	1.00238e-10
0.999	0.001	3.36	0.443703	1.49945	0.0520839	7.72903e-11
0.999	0.001	3.4	0.447233	1.51138	0.0504397	5.95244e-11
0.999	0.001	3.44	0.450987	1.52407	0.0488687	4.5784e-11
0.999	0.001	3.48	0.454979	1.53756	0.0473683	3.51682e-11
0.999	0.001	3.52	0.459227	1.55192	0.0459358	2.69756e-11
0.999	0.001	3.56	0.463746	1.56719	0.044569	2.06604e-11
0.999	0.001	3.6	0.468554	1.58344	0.0432654	1.57987e-11
0.999	0.001	3.64	0.473671	1.60073	0.0420228	1.20607e-11
0.999	0.001	3.68	0.479115	1.61912	0.0408391	9.19094e-12
0.999	0.001	3.72	0.484909	1.6387	0.0397123	6.99094e-12
0.999	0.001	3.76	0.491075	1.65954	0.0386404	5.30709e-12
0.999	0.001	3.8	0.497638	1.68172	0.0376214	4.02046e-12
0.999	0.001	3.84	0.504623	1.70533	0.0366536	3.03909e-12
0.999	0.001	3.88	0.512058	1.73045	0.0357352	2.29198e-12
0.999	0.001	3.92	0.51997	1.75719	0.0348646	1.72435e-12
0.999	0.001	3.96	0.528392	1.78565	0.0340401	1.29398e-12
