# Filename: vlt_FPquench_vst_3_T_0.999_0.99_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 5 (2011 Apr 05 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.999, qTfrac=0.99, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=0.6, Lconst=1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	0.999	0.001	10	nan	nan	nan	nan	nan
1	0.0001	0.99	0.01	10	nan	nan	nan	nan	nan
2	0.0002	0.99	0.01	10	nan	nan	nan	nan	nan
3	0.0003	0.99	0.01	10	nan	nan	nan	nan	nan
4	0.0004	0.99	0.01	10	nan	nan	nan	nan	nan
6	0.0006	0.99	0.01	10	nan	nan	nan	nan	nan
8	0.0008	0.99	0.01	10	nan	nan	nan	nan	nan
10	0.001	0.99	0.01	10	nan	nan	nan	nan	nan
12	0.0012	0.99	0.01	10	nan	nan	nan	nan	nan
14	0.0014	0.99	0.01	10	nan	nan	nan	nan	nan
17	0.0017	0.99	0.01	10	nan	nan	nan	nan	nan
20	0.002	0.99	0.01	10	nan	nan	nan	nan	nan
24	0.0024	0.99	0.01	10	nan	nan	nan	nan	nan
28	0.0028	0.99	0.01	10	nan	nan	nan	nan	nan
32	0.0032	0.99	0.01	10	nan	nan	nan	nan	nan
37	0.0037	0.99	0.01	10	nan	nan	nan	nan	nan
43	0.0043	0.99	0.01	10	nan	nan	nan	nan	nan
49	0.0049	0.99	0.01	10	nan	nan	nan	nan	nan
56	0.0056	0.99	0.01	10	nan	nan	nan	nan	nan
64	0.0064	0.99	0.01	10	nan	nan	nan	nan	nan
73	0.0073	0.99	0.01	10	nan	nan	nan	nan	nan
83	0.0083	0.99	0.01	10	nan	nan	nan	nan	nan
94	0.0094	0.99	0.01	10	nan	nan	nan	nan	nan
107	0.0107	0.99	0.01	10	nan	nan	nan	nan	nan
121	0.0121	0.99	0.01	10	nan	nan	nan	nan	nan
137	0.0137	0.99	0.01	10	nan	nan	nan	nan	nan
155	0.0155	0.99	0.01	10	nan	nan	nan	nan	nan
175	0.0175	0.99	0.01	10	nan	nan	nan	nan	nan
197	0.0197	0.99	0.01	10	nan	nan	nan	nan	nan
222	0.0222	0.99	0.01	10	nan	nan	nan	nan	nan
250	0.025	0.99	0.01	10	nan	nan	nan	nan	nan
282	0.0282	0.99	0.01	10	nan	nan	nan	nan	nan
318	0.0318	0.99	0.01	10	nan	nan	nan	nan	nan
357	0.0357	0.99	0.01	10	nan	nan	nan	nan	nan
402	0.0402	0.99	0.01	10	nan	nan	nan	nan	nan
452	0.0452	0.99	0.01	10	nan	nan	nan	nan	nan
508	0.0508	0.99	0.01	10	nan	nan	nan	nan	nan
572	0.0572	0.99	0.01	10	nan	nan	nan	nan	nan
642	0.0642	0.99	0.01	10	nan	nan	nan	nan	nan
722	0.0722	0.99	0.01	10	nan	nan	nan	nan	nan
811	0.0811	0.99	0.01	10	nan	nan	nan	nan	nan
911	0.0911	0.99	0.01	10	nan	nan	nan	nan	nan
1023	0.1023	0.99	0.01	10	nan	nan	nan	nan	nan
1149	0.1149	0.99	0.01	10	nan	nan	nan	nan	nan
1290	0.129	0.99	0.01	10	nan	nan	nan	nan	nan
1449	0.1449	0.99	0.01	10	nan	nan	nan	nan	nan
1627	0.1627	0.99	0.01	10	nan	nan	nan	nan	nan
1826	0.1826	0.99	0.01	10	nan	nan	nan	nan	nan
2050	0.205	0.99	0.01	10	nan	nan	nan	nan	nan
2301	0.2301	0.99	0.01	10	nan	nan	nan	nan	nan
2583	0.2583	0.99	0.01	10	nan	nan	nan	nan	nan
2899	0.2899	0.99	0.01	10	nan	nan	nan	nan	nan
3254	0.3254	0.99	0.01	10	nan	nan	nan	nan	nan
3652	0.3652	0.99	0.01	10	nan	nan	nan	nan	nan
4099	0.4099	0.99	0.01	10	nan	nan	nan	nan	nan
4600	0.46	0.99	0.01	10	nan	nan	nan	nan	nan
5162	0.5162	0.99	0.01	10	nan	nan	nan	nan	nan
5793	0.5793	0.99	0.01	10	nan	nan	nan	nan	nan
6501	0.6501	0.99	0.01	10	nan	nan	nan	nan	nan
