# Filename: vlt_FPquench_v6_vsl_3_T_0.75_0.5_P_00.050_lmax10_dl0.0008_tmax100_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 6 (2011 Apr 12 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.75, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=12500, (dl=0.0008), lpts=12501, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=1, Lconst=1

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.75	0.25	0	0.394152	1	1	0.0135873
0.75	0.25	0.04	0.406576	1.03152	0.991074	0.0106364
0.75	0.25	0.08	0.419301	1.06381	0.982016	0.00828762
0.75	0.25	0.12	0.432349	1.09691	0.972871	0.00642731
0.75	0.25	0.16	0.445744	1.13089	0.963684	0.00496115
0.75	0.25	0.2	0.459514	1.16583	0.954501	0.00381132
0.75	0.25	0.24	0.47369	1.20179	0.945365	0.00291402
0.75	0.25	0.28	0.488305	1.23887	0.936321	0.00221726
0.75	0.25	0.32	0.503396	1.27716	0.92741	0.00167891
0.75	0.25	0.36	0.519004	1.31676	0.918673	0.00126504
0.75	0.25	0.4	0.535171	1.35778	0.910145	0.000948459
0.75	0.25	0.44	0.551941	1.40033	0.901861	0.000707531
0.75	0.25	0.48	0.569365	1.44453	0.893851	0.000525116
0.75	0.25	0.52	0.58749	1.49052	0.886143	0.00038772
0.75	0.25	0.56	0.606371	1.53842	0.878759	0.000284774
0.75	0.25	0.6	0.626061	1.58837	0.871718	0.00020805
0.75	0.25	0.64	0.646616	1.64052	0.865036	0.000151178
0.75	0.25	0.68	0.668095	1.69502	0.858725	0.000109251
0.75	0.25	0.72	0.690556	1.752	0.852792	7.85133e-05
0.75	0.25	0.76	0.71406	1.81164	0.847241	5.61064e-05
0.75	0.25	0.8	0.738668	1.87407	0.842074	3.98657e-05
0.75	0.25	0.84	0.764443	1.93946	0.837287	2.81628e-05
0.75	0.25	0.88	0.791447	2.00797	0.832873	1.97794e-05
0.75	0.25	0.92	0.819743	2.07976	0.828826	1.38099e-05
0.75	0.25	0.96	0.849395	2.15499	0.825132	9.58499e-06
0.75	0.25	1	0.880467	2.23383	0.821778	6.61303e-06
0.75	0.25	1.04	0.913022	2.31642	0.81875	4.53537e-06
0.75	0.25	1.08	0.947125	2.40294	0.816029	3.09193e-06
0.75	0.25	1.12	0.98284	2.49356	0.813597	2.09535e-06
0.75	0.25	1.16	1.02023	2.58842	0.811435	1.4098e-06
0.75	0.25	1.2	1.05938	2.68774	0.809533	9.35201e-07
0.75	0.25	1.24	1.10037	2.79173	0.807883	6.10639e-07
0.75	0.25	1.28	1.14328	2.9006	0.806475	3.92169e-07
0.75	0.25	1.32	1.18819	3.01455	0.805292	2.47534e-07
0.75	0.25	1.36	1.23518	3.13377	0.804315	1.53433e-07
0.75	0.25	1.4	1.28432	3.25845	0.803523	9.33172e-08
0.75	0.25	1.44	1.33569	3.38877	0.802893	5.56404e-08
0.75	0.25	1.48	1.38935	3.5249	0.802401	3.2495e-08
0.75	0.25	1.52	1.44537	3.66704	0.802025	1.85712e-08
0.75	0.25	1.56	1.50383	3.81536	0.801744	1.03765e-08
0.75	0.25	1.6	1.5648	3.97005	0.801539	5.66272e-09
0.75	0.25	1.64	1.62837	4.13132	0.801393	3.01526e-09
0.75	0.25	1.68	1.69461	4.29937	0.801291	1.56494e-09
0.75	0.25	1.72	1.76361	4.47445	0.801222	7.90819e-10
0.75	0.25	1.76	1.83548	4.65679	0.801176	3.88671e-10
0.75	0.25	1.8	1.91032	4.84666	0.801147	1.85571e-10
0.75	0.25	1.84	1.98824	5.04434	0.801129	8.59701e-11
0.75	0.25	1.88	2.06935	5.25013	0.801118	3.85969e-11
0.75	0.25	1.92	2.15378	5.46435	0.801111	1.67713e-11
0.75	0.25	1.96	2.24167	5.68733	0.801108	7.04387e-12
0.75	0.25	2	2.33315	5.91941	0.801106	2.85549e-12
