# Filename: vlt_FPquench_vst_3_T_0.999_0.95_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 6 (2011 Apr 12 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.999, qTfrac=0.95, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=1, Lconst=1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	0.999	0.001	8.576	84.3801	285.155	0.0537738	6.4756e-28	0.20337
1	0.0001	0.95	0.05	8.576	82.3684	264.703	0.0499171	1.78165e-30	0.203371
2	0.0002	0.95	0.05	8.576	82.368	264.702	0.0499169	1.78165e-30	0.203368
3	0.0003	0.95	0.05	8.576	82.3677	264.701	0.0499167	1.78165e-30	0.203365
4	0.0004	0.95	0.05	8.576	82.3674	264.7	0.0499165	1.78165e-30	0.203361
6	0.0006	0.95	0.05	8.576	82.3668	264.698	0.0499162	1.78166e-30	0.203351
8	0.0008	0.95	0.05	8.576	82.3661	264.696	0.0499158	1.78166e-30	0.20334
10	0.001	0.95	0.05	8.576	82.3655	264.694	0.0499154	1.78166e-30	0.203326
12	0.0012	0.95	0.05	8.576	82.3649	264.692	0.049915	1.78167e-30	0.203311
14	0.0014	0.95	0.05	8.576	82.3643	264.69	0.0499147	1.78167e-30	0.203295
17	0.0017	0.95	0.05	8.576	82.3635	264.687	0.0499142	1.78167e-30	0.203269
20	0.002	0.95	0.05	8.576	82.3626	264.685	0.0499136	1.78168e-30	0.20324
24	0.0024	0.95	0.05	8.576	82.3615	264.681	0.0499129	1.78168e-30	0.203198
28	0.0028	0.95	0.05	8.576	82.3604	264.677	0.0499123	1.78169e-30	0.203154
32	0.0032	0.95	0.05	8.576	82.3592	264.674	0.0499116	1.78169e-30	0.203106
37	0.0037	0.95	0.05	8.576	82.3579	264.669	0.0499108	1.78169e-30	0.203043
43	0.0043	0.95	0.05	8.576	82.3563	264.664	0.0499098	1.7817e-30	0.202962
49	0.0049	0.95	0.05	8.576	82.3547	264.659	0.0499089	1.7817e-30	0.202877
56	0.0056	0.95	0.05	8.576	82.3529	264.654	0.0499078	1.78171e-30	0.202772
64	0.0064	0.95	0.05	8.576	82.3509	264.647	0.0499066	1.78171e-30	0.202646
73	0.0073	0.95	0.05	8.576	82.3487	264.64	0.0499052	1.78171e-30	0.202497
83	0.0083	0.95	0.05	8.576	82.3463	264.632	0.0499038	1.78172e-30	0.202325
94	0.0094	0.95	0.05	8.576	82.3437	264.624	0.0499022	1.78172e-30	0.202126
107	0.0107	0.95	0.05	8.576	82.3408	264.614	0.0499004	1.78172e-30	0.201883
121	0.0121	0.95	0.05	8.576	82.3376	264.604	0.0498985	1.78172e-30	0.20161
137	0.0137	0.95	0.05	8.576	82.3342	264.593	0.0498964	1.78172e-30	0.201287
155	0.0155	0.95	0.05	8.576	82.3304	264.581	0.0498941	1.78171e-30	0.200911
175	0.0175	0.95	0.05	8.576	82.3264	264.568	0.0498917	1.7817e-30	0.20048
197	0.0197	0.95	0.05	8.576	82.3221	264.554	0.0498891	1.78169e-30	0.199992
222	0.0222	0.95	0.05	8.576	82.3173	264.539	0.0498862	1.78167e-30	0.199423
250	0.025	0.95	0.05	8.576	82.3123	264.523	0.0498831	1.78165e-30	0.198771
282	0.0282	0.95	0.05	8.576	82.306	264.503	0.0498793	1.78163e-30	0.198166
318	0.0318	0.95	0.05	8.576	82.2982	264.478	0.0498746	1.78162e-30	0.197664
357	0.0357	0.95	0.05	8.576	82.2894	264.449	0.0498693	1.78162e-30	0.197215
402	0.0402	0.95	0.05	8.576	82.2789	264.416	0.0498629	1.78162e-30	0.196774
452	0.0452	0.95	0.05	8.576	82.267	264.377	0.0498557	1.78164e-30	0.196354
508	0.0508	0.95	0.05	8.576	82.2535	264.334	0.0498475	1.78165e-30	0.195948
572	0.0572	0.95	0.05	8.576	82.2377	264.283	0.049838	1.78167e-30	0.195545
642	0.0642	0.95	0.05	8.576	82.2203	264.227	0.0498274	1.7817e-30	0.195162
722	0.0722	0.95	0.05	8.576	82.2001	264.162	0.0498152	1.78174e-30	0.194782
811	0.0811	0.95	0.05	8.576	82.1775	264.09	0.0498015	1.78178e-30	0.194415
911	0.0911	0.95	0.05	8.576	82.1519	264.007	0.0497859	1.78184e-30	0.194057
1023	0.1023	0.95	0.05	8.576	82.1229	263.914	0.0497684	1.7819e-30	0.193711
1149	0.1149	0.95	0.05	8.576	82.0902	263.809	0.0497485	1.78198e-30	0.193376
1290	0.129	0.95	0.05	8.576	82.0533	263.69	0.0497262	1.78207e-30	0.193054
1449	0.1449	0.95	0.05	8.576	82.0114	263.556	0.0497008	1.78217e-30	0.192745
1627	0.1627	0.95	0.05	8.576	81.9643	263.404	0.0496722	1.78229e-30	0.192452
1826	0.1826	0.95	0.05	8.576	81.9113	263.234	0.0496401	1.78243e-30	0.192176
2050	0.205	0.95	0.05	8.576	81.8513	263.042	0.0496038	1.78259e-30	0.191917
2301	0.2301	0.95	0.05	8.576	81.7838	262.824	0.0495628	1.78278e-30	0.191678
2583	0.2583	0.95	0.05	8.576	81.7074	262.579	0.0495166	1.78299e-30	0.191459
2899	0.2899	0.95	0.05	8.576	81.6214	262.303	0.0494644	1.78324e-30	0.191263
3254	0.3254	0.95	0.05	8.576	81.5241	261.99	0.0494055	1.78352e-30	0.191089
3652	0.3652	0.95	0.05	8.576	81.4143	261.637	0.0493389	1.78385e-30	0.19094
4099	0.4099	0.95	0.05	8.576	81.2901	261.238	0.0492636	1.78424e-30	0.190816
4600	0.46	0.95	0.05	8.576	81.1497	260.787	0.0491786	1.78468e-30	0.190718
5162	0.5162	0.95	0.05	8.576	80.991	260.277	0.0490824	1.7852e-30	0.190648
5793	0.5793	0.95	0.05	8.576	80.8111	259.698	0.0489734	1.7858e-30	0.190605
6501	0.6501	0.95	0.05	8.576	80.6071	259.043	0.0488498	1.7865e-30	0.19059
7296	0.7296	0.95	0.05	8.576	80.3756	258.299	0.0487095	1.78732e-30	0.190603
8187	0.8187	0.95	0.05	8.576	80.113	257.455	0.0485503	1.78829e-30	0.190643
9187	0.9187	0.95	0.05	8.576	79.8145	256.496	0.0483694	1.78942e-30	0.190711
10309	1.0309	0.95	0.05	8.576	79.4749	255.404	0.0481636	1.79076e-30	0.190805
11568	1.1568	0.95	0.05	8.576	79.0881	254.161	0.0479292	1.79235e-30	0.190925
12980	1.298	0.95	0.05	8.576	78.6475	252.745	0.0476622	1.79423e-30	0.19107
14565	1.4565	0.95	0.05	8.576	78.1446	251.129	0.0473574	1.79647e-30	0.191237
16343	1.6343	0.95	0.05	8.576	77.5707	249.285	0.0470096	1.79914e-30	0.191426
18339	1.8339	0.95	0.05	8.576	76.9147	247.177	0.0466121	1.80233e-30	0.191636
20577	2.0577	0.95	0.05	8.576	76.1657	244.77	0.0461581	1.80615e-30	0.191862
23089	2.3089	0.95	0.05	8.576	75.3093	242.018	0.0456391	1.81073e-30	0.192105
25908	2.5908	0.95	0.05	8.576	74.3304	238.872	0.045046	1.81623e-30	0.192362
29070	2.907	0.95	0.05	8.576	73.2129	235.281	0.0443687	1.82284e-30	0.19263
32618	3.2618	0.95	0.05	8.576	71.9377	231.183	0.0435959	1.8308e-30	0.192908
36599	3.6599	0.95	0.05	8.576	70.485	226.514	0.0427156	1.8404e-30	0.193193
41066	4.1066	0.95	0.05	8.576	68.8338	221.208	0.0417149	1.852e-30	0.193485
46078	4.6078	0.95	0.05	8.576	66.9626	215.194	0.0405809	1.86602e-30	0.19378
51701	5.1701	0.95	0.05	8.576	64.8506	208.407	0.039301	1.883e-30	0.194078
58011	5.8011	0.95	0.05	8.576	62.4779	200.782	0.037863	1.9036e-30	0.194376
65090	6.509	0.95	0.05	8.576	59.8291	192.27	0.0362578	1.9286e-30	0.194674
73034	7.3034	0.95	0.05	8.576	56.8931	182.835	0.0344785	1.95903e-30	0.194971
81946	8.1946	0.95	0.05	8.576	53.6684	172.471	0.0325243	1.99609e-30	0.195265
91946	9.1946	0.95	0.05	8.576	50.1626	161.205	0.0303997	2.0413e-30	0.195557
103166	10.3166	0.95	0.05	8.576	46.3979	149.107	0.0281182	2.09651e-30	0.195846
115756	11.5756	0.95	0.05	8.576	42.4112	136.295	0.0257022	2.16398e-30	0.196132
129881	12.9881	0.95	0.05	8.576	38.2575	122.946	0.0231849	2.24634e-30	0.196415
145730	14.573	0.95	0.05	8.576	34.0069	109.286	0.020609	2.34671e-30	0.196695
163513	16.3513	0.95	0.05	8.576	29.7444	95.5882	0.0180258	2.46848e-30	0.196973
183465	18.3465	0.95	0.05	8.576	25.5644	82.1551	0.0154926	2.61516e-30	0.19725
205852	20.5852	0.95	0.05	8.576	21.5632	69.2965	0.0130678	2.7899e-30	0.197526
230971	23.0971	0.95	0.05	8.576	17.8315	57.3041	0.0108063	2.99476e-30	0.197804
259155	25.9155	0.95	0.05	8.576	14.4456	46.423	0.00875434	3.22976e-30	0.198084
290778	29.0778	0.95	0.05	8.576	11.46	36.8286	0.00694505	3.49169e-30	0.198367
326259	32.6259	0.95	0.05	8.576	8.90342	28.6125	0.00539568	3.77334e-30	0.198657
366070	36.607	0.95	0.05	8.576	6.77712	21.7793	0.00410709	4.06342e-30	0.198954
410738	41.0738	0.95	0.05	8.576	5.05881	16.2573	0.00306576	4.3477e-30	0.199262
460857	46.0857	0.95	0.05	8.576	3.70785	11.9157	0.00224704	4.61145e-30	0.199583
517091	51.7091	0.95	0.05	8.576	2.67278	8.58938	0.00161977	4.84205e-30	0.199919
580187	58.0187	0.95	0.05	8.576	1.89823	6.10024	0.00115037	5.03105e-30	0.200274
650982	65.0982	0.95	0.05	8.576	1.33075	4.27657	0.000806466	5.17475e-30	0.200652
730414	73.0414	0.95	0.05	8.576	0.922625	2.96499	0.000559132	5.25593e-30	0.201057
819539	81.9539	0.95	0.05	8.576	0.633721	2.03656	0.000384049	5.2549e-30	0.201493
919539	91.9539	0.95	0.05	8.576	0.431935	1.38809	0.000261763	5.24416e-30	0.201964
