# Filename: 3Dvlt_quench_vst_T_1_0.5_P_00.050_lmax1_dl0.001_tmax100_dt2.5e-07_BC3.dat
# Source: 3Dvlt_quench.c
# Source version: 8 (2011 Jun 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=100, t0, tmax=1, dt=100, (dtfrac=2.5e-07), a0=0.5, a02=1, a03=1, a06=1, FPconst=1, PflowTOL=1, fp1=1e-05, fp2=-1.5, fp3=1.5, fp4=-0.75, fp5=1
# Option values: BC=3, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	1	0	1	0.376362	1.27315	0.468367	0.00014807	0.190684
1	2.5e-07	0.5	0.5	1	0.490995	0.830466	0.305511	0.000147996	0.190693
2	5e-07	0.5	0.5	1	0.490967	0.83042	0.305494	0.000147995	0.190702
3	7.5e-07	0.5	0.5	1	0.490965	0.830416	0.305493	0.000147993	0.190709
4	1e-06	0.5	0.5	1	0.490964	0.830413	0.305492	0.000147991	0.190715
6	1.5e-06	0.5	0.5	1	0.490961	0.830408	0.30549	0.000147988	0.190727
8	2e-06	0.5	0.5	1	0.490958	0.830404	0.305488	0.000147985	0.190736
10	2.5e-06	0.5	0.5	1	0.490956	0.8304	0.305487	0.000147982	0.190745
12	3e-06	0.5	0.5	1	0.490953	0.830396	0.305486	0.00014798	0.190752
14	3.5e-06	0.5	0.5	1	0.490952	0.830393	0.305484	0.000147977	0.19076
17	4.25e-06	0.5	0.5	1	0.490949	0.830389	0.305483	0.000147973	0.190769
20	5e-06	0.5	0.5	1	0.490947	0.830385	0.305481	0.000147969	0.190778
24	6e-06	0.5	0.5	1	0.490944	0.83038	0.30548	0.000147965	0.190789
28	7e-06	0.5	0.5	1	0.490941	0.830375	0.305478	0.00014796	0.190798
32	8e-06	0.5	0.5	1	0.490939	0.830372	0.305477	0.000147956	0.190807
37	9.25e-06	0.5	0.5	1	0.490936	0.830367	0.305475	0.000147951	0.190818
43	1.075e-05	0.5	0.5	1	0.490933	0.830362	0.305473	0.000147946	0.190829
49	1.225e-05	0.5	0.5	1	0.490931	0.830357	0.305471	0.00014794	0.19084
56	1.4e-05	0.5	0.5	1	0.490928	0.830353	0.30547	0.000147935	0.190852
64	1.6e-05	0.5	0.5	1	0.490925	0.830347	0.305468	0.000147928	0.190864
73	1.825e-05	0.5	0.5	1	0.490922	0.830342	0.305466	0.000147922	0.190877
83	2.075e-05	0.5	0.5	1	0.490918	0.830337	0.305464	0.000147915	0.19089
94	2.35e-05	0.5	0.5	1	0.490915	0.830331	0.305462	0.000147907	0.190904
107	2.675e-05	0.5	0.5	1	0.490912	0.830326	0.30546	0.000147899	0.190919
121	3.025e-05	0.5	0.5	1	0.490908	0.83032	0.305458	0.000147891	0.190933
137	3.425e-05	0.5	0.5	1	0.490905	0.830314	0.305455	0.000147882	0.190949
155	3.875e-05	0.5	0.5	1	0.490901	0.830308	0.305453	0.000147873	0.190966
175	4.375e-05	0.5	0.5	1	0.490898	0.830302	0.305451	0.000147863	0.190983
197	4.925e-05	0.5	0.5	1	0.490894	0.830296	0.305449	0.000147853	0.191
222	5.55e-05	0.5	0.5	1	0.490891	0.83029	0.305447	0.000147842	0.191018
250	6.25e-05	0.5	0.5	1	0.490887	0.830284	0.305444	0.000147831	0.191037
282	7.05e-05	0.5	0.5	1	0.490883	0.830278	0.305442	0.000147818	0.191057
318	7.95e-05	0.5	0.5	1	0.49088	0.830272	0.30544	0.000147805	0.191078
357	8.925e-05	0.5	0.5	1	0.490876	0.830266	0.305438	0.000147791	0.191099
402	0.0001005	0.5	0.5	1	0.490873	0.83026	0.305436	0.000147777	0.191121
452	0.000113	0.5	0.5	1	0.49087	0.830255	0.305434	0.000147761	0.191144
508	0.000127	0.5	0.5	1	0.490867	0.83025	0.305432	0.000147745	0.191167
572	0.000143	0.5	0.5	1	0.490864	0.830246	0.30543	0.000147727	0.191191
642	0.0001605	0.5	0.5	1	0.490862	0.830242	0.305429	0.000147709	0.191216
722	0.0001805	0.5	0.5	1	0.49086	0.830239	0.305428	0.000147689	0.191241
811	0.00020275	0.5	0.5	1	0.490859	0.830237	0.305427	0.000147668	0.191267
911	0.00022775	0.5	0.5	1	0.490859	0.830236	0.305427	0.000147646	0.191293
1023	0.00025575	0.5	0.5	1	0.490859	0.830236	0.305427	0.000147622	0.191319
1149	0.00028725	0.5	0.5	1	0.49086	0.830238	0.305427	0.000147597	0.191345
1290	0.0003225	0.5	0.5	1	0.490862	0.830242	0.305429	0.000147571	0.191371
1449	0.00036225	0.5	0.5	1	0.490866	0.830248	0.305431	0.000147542	0.191397
1627	0.00040675	0.5	0.5	1	0.490871	0.830256	0.305434	0.000147512	0.191423
1826	0.0004565	0.5	0.5	1	0.490878	0.830268	0.305438	0.000147481	0.191447
2050	0.0005125	0.5	0.5	1	0.490886	0.830283	0.305444	0.000147447	0.191471
2301	0.00057525	0.5	0.5	1	0.490898	0.830302	0.305451	0.000147411	0.191493
2583	0.00064575	0.5	0.5	1	0.490912	0.830325	0.30546	0.000147373	0.191512
2899	0.00072475	0.5	0.5	1	0.490929	0.830355	0.30547	0.000147332	0.19153
3254	0.0008135	0.5	0.5	1	0.49095	0.83039	0.305483	0.000147289	0.191544
3652	0.000913	0.5	0.5	1	0.490975	0.830432	0.305499	0.000147243	0.191554
4099	0.00102475	0.5	0.5	1	0.491005	0.830483	0.305518	0.000147194	0.19156
4600	0.00115	0.5	0.5	1	0.49104	0.830543	0.30554	0.000147141	0.19156
