# Filename: 3Dvlt_quench_vst_T_1_0.7_P_00.050_lmax1_dl0.001_tmax1_dt5e-07_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=100, t0, tmax=1, dt=1, (dtfrac=5e-07), a0=1, a02=1, a03=1, a06=1, FPconst=1, NDflowTOL=1, fp1=1e-06, fp2=-1.5, fp3=1.5, fp4=-4.5
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	1	0	1	0.376362	1.27315	0.468367	0.00014807	0.190684
1	5e-07	0.7	0.3	1	0.967596	2.29122	0.842894	0.000147942	0.190647
2	1e-06	0.7	0.3	1	0.967596	2.29122	0.842894	0.000147937	0.190647
3	1.5e-06	0.7	0.3	1	0.967596	2.29122	0.842893	0.000147931	0.190647
4	2e-06	0.7	0.3	1	0.967596	2.29122	0.842893	0.000147926	0.190648
6	3e-06	0.7	0.3	1	0.967596	2.29122	0.842893	0.000147916	0.190648
8	4e-06	0.7	0.3	1	0.967596	2.29122	0.842893	0.000147907	0.190648
10	5e-06	0.7	0.3	1	0.967595	2.29122	0.842893	0.000147898	0.190649
12	6e-06	0.7	0.3	1	0.967595	2.29122	0.842892	0.00014789	0.190649
14	7e-06	0.7	0.3	1	0.967595	2.29122	0.842892	0.000147882	0.190649
17	8.5e-06	0.7	0.3	1	0.967594	2.29122	0.842892	0.000147872	0.19065
20	1e-05	0.7	0.3	1	0.967594	2.29122	0.842892	0.000147862	0.19065
24	1.2e-05	0.7	0.3	1	0.967594	2.29122	0.842891	0.000147849	0.190651
28	1.4e-05	0.7	0.3	1	0.967593	2.29121	0.842891	0.000147838	0.190652
32	1.6e-05	0.7	0.3	1	0.967593	2.29121	0.84289	0.000147827	0.190652
37	1.85e-05	0.7	0.3	1	0.967592	2.29121	0.84289	0.000147814	0.190653
