# Filename: 3Dvlt_quench_vst_T_1_0.7_P_00.050_lmax10_dl0.001_tmax1_dt5e-07_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=100, t0, tmax=1, dt=1, (dtfrac=5e-07), a0=1, a02=1, a03=1, a04=1, a06=1, Lconst=1, NDflowTOL=1, fp1=1e-06, fp2=-1.5, fp3=1.5, fp4=-4.5, li=-1.5
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens	linedens
0	0	1	0	10	0.387508	1.31086	5.95129e-05	5.4659e-28	0.203336	0.047194
1	5e-07	0.7	0.3	10	7608.14	18015.7	0.817912	7.22705e-30	0.203336	0.722554
2	1e-06	0.7	0.3	10	7608.14	18015.7	0.817912	7.22703e-30	0.203336	0.722554
3	1.5e-06	0.7	0.3	10	7608.14	18015.7	0.817912	7.22702e-30	0.203337	0.722554
4	2e-06	0.7	0.3	10	7608.14	18015.7	0.817912	7.227e-30	0.203337	0.722554
6	3e-06	0.7	0.3	10	7608.13	18015.7	0.817912	7.22697e-30	0.203337	0.722553
8	4e-06	0.7	0.3	10	7608.13	18015.7	0.817911	7.22694e-30	0.203337	0.722553
10	5e-06	0.7	0.3	10	7608.13	18015.7	0.817911	7.2269e-30	0.203338	0.722553
12	6e-06	0.7	0.3	10	7608.13	18015.7	0.817911	7.22687e-30	0.203338	0.722553
14	7e-06	0.7	0.3	10	7608.13	18015.7	0.817911	7.22684e-30	0.203338	0.722553
17	8.5e-06	0.7	0.3	10	7608.13	18015.7	0.817911	7.22679e-30	0.203339	0.722553
20	1e-05	0.7	0.3	10	7608.12	18015.7	0.81791	7.22674e-30	0.203339	0.722553
24	1.2e-05	0.7	0.3	10	7608.12	18015.7	0.81791	7.22667e-30	0.20334	0.722553
28	1.4e-05	0.7	0.3	10	7608.12	18015.7	0.81791	7.22661e-30	0.203341	0.722553
32	1.6e-05	0.7	0.3	10	7608.11	18015.7	0.817909	7.22654e-30	0.203341	0.722553
37	1.85e-05	0.7	0.3	10	7608.11	18015.6	0.817909	7.22646e-30	0.203342	0.722552
43	2.15e-05	0.7	0.3	10	7608.1	18015.6	0.817908	7.22636e-30	0.203343	0.722552
49	2.45e-05	0.7	0.3	10	7608.1	18015.6	0.817908	7.22627e-30	0.203344	0.722552
56	2.8e-05	0.7	0.3	10	7608.09	18015.6	0.817907	7.22615e-30	0.203345	0.722552
64	3.2e-05	0.7	0.3	10	7608.09	18015.6	0.817906	7.22602e-30	0.203347	0.722551
73	3.65e-05	0.7	0.3	10	7608.08	18015.6	0.817906	7.22587e-30	0.203348	0.722551
83	4.15e-05	0.7	0.3	10	7608.07	18015.6	0.817905	7.22571e-30	0.20335	0.722551
94	4.7e-05	0.7	0.3	10	7608.06	18015.5	0.817904	7.22553e-30	0.203351	0.72255
107	5.35e-05	0.7	0.3	10	7608.05	18015.5	0.817903	7.22532e-30	0.203353	0.72255
121	6.05e-05	0.7	0.3	10	7608.04	18015.5	0.817902	7.22509e-30	0.203356	0.722549
137	6.85e-05	0.7	0.3	10	7608.03	18015.4	0.8179	7.22483e-30	0.203358	0.722549
155	7.75e-05	0.7	0.3	10	7608.01	18015.4	0.817899	7.22453e-30	0.203361	0.722548
175	8.75e-05	0.7	0.3	10	7608	18015.4	0.817897	7.22421e-30	0.203364	0.722547
197	9.85e-05	0.7	0.3	10	7607.98	18015.3	0.817895	7.22385e-30	0.203367	0.722546
222	0.000111	0.7	0.3	10	7607.96	18015.3	0.817893	7.22344e-30	0.203371	0.722545
250	0.000125	0.7	0.3	10	7607.94	18015.2	0.817891	7.22298e-30	0.203376	0.722544
282	0.000141	0.7	0.3	10	7607.91	18015.2	0.817888	7.22245e-30	0.20338	0.722543
318	0.000159	0.7	0.3	10	7607.89	18015.1	0.817885	7.22186e-30	0.203386	0.722541
357	0.0001785	0.7	0.3	10	7607.86	18015	0.817882	7.22123e-30	0.203392	0.722539
402	0.000201	0.7	0.3	10	7607.82	18015	0.817878	7.22049e-30	0.203398	0.722537
452	0.000226	0.7	0.3	10	7607.79	18014.9	0.817874	7.21967e-30	0.203406	0.722535
508	0.000254	0.7	0.3	10	7607.74	18014.8	0.81787	7.21875e-30	0.203414	0.722533
572	0.000286	0.7	0.3	10	7607.7	18014.7	0.817864	7.2177e-30	0.203423	0.72253
642	0.000321	0.7	0.3	10	7607.64	18014.5	0.817859	7.21655e-30	0.203433	0.722526
722	0.000361	0.7	0.3	10	7607.59	18014.4	0.817853	7.21524e-30	0.203444	0.722523
811	0.0004055	0.7	0.3	10	7607.52	18014.3	0.817846	7.21378e-30	0.203456	0.722518
911	0.0004555	0.7	0.3	10	7607.45	18014.1	0.817838	7.21213e-30	0.20347	0.722513
1023	0.0005115	0.7	0.3	10	7607.37	18013.9	0.81783	7.21029e-30	0.203485	0.722508
1149	0.0005745	0.7	0.3	10	7607.28	18013.7	0.81782	7.20822e-30	0.203502	0.722501
1290	0.000645	0.7	0.3	10	7607.19	18013.5	0.81781	7.2059e-30	0.203521	0.722494
1449	0.0007245	0.7	0.3	10	7607.08	18013.2	0.817798	7.20328e-30	0.203541	0.722486
1627	0.0008135	0.7	0.3	10	7606.96	18012.9	0.817786	7.20035e-30	0.203564	0.722476
1826	0.000913	0.7	0.3	10	7606.83	18012.6	0.817772	7.19707e-30	0.203589	0.722465
2050	0.001025	0.7	0.3	10	7606.69	18012.3	0.817756	7.19337e-30	0.203616	0.722452
2301	0.0011505	0.7	0.3	10	7606.53	18011.9	0.817739	7.18923e-30	0.203646	0.722437
2583	0.0012915	0.7	0.3	10	7606.35	18011.5	0.81772	7.18457e-30	0.203679	0.722421
2899	0.0014495	0.7	0.3	10	7606.16	18011	0.817699	7.17935e-30	0.203715	0.722401
3254	0.001627	0.7	0.3	10	7605.95	18010.5	0.817676	7.17348e-30	0.203755	0.722379
3652	0.001826	0.7	0.3	10	7605.71	18010	0.817652	7.16689e-30	0.203798	0.722353
4099	0.0020495	0.7	0.3	10	7605.46	18009.4	0.817624	7.15949e-30	0.203845	0.722324
4600	0.0023	0.7	0.3	10	7605.18	18008.7	0.817594	7.15118e-30	0.203896	0.72229
5162	0.002581	0.7	0.3	10	7604.88	18008	0.817562	7.14186e-30	0.203951	0.722251
5793	0.0028965	0.7	0.3	10	7604.55	18007.2	0.817526	7.13138e-30	0.204011	0.722206
6501	0.0032505	0.7	0.3	10	7604.19	18006.4	0.817488	7.11961e-30	0.204076	0.722154
7296	0.003648	0.7	0.3	10	7603.8	18005.4	0.817446	7.10639e-30	0.204145	0.722094
8187	0.0040935	0.7	0.3	10	7603.38	18004.5	0.817401	7.09155e-30	0.20422	0.722025
9187	0.0045935	0.7	0.3	10	7602.93	18003.4	0.817352	7.07489e-30	0.204299	0.721945
10309	0.0051545	0.7	0.3	10	7602.44	18002.2	0.8173	7.05617e-30	0.204384	0.721853
11568	0.005784	0.7	0.3	10	7601.92	18001	0.817244	7.03515e-30	0.204473	0.721746
12980	0.00649	0.7	0.3	10	7601.37	17999.7	0.817184	7.01155e-30	0.204567	0.721623
14565	0.0072825	0.7	0.3	10	7600.78	17998.3	0.817121	6.98504e-30	0.204666	0.721481
16343	0.0081715	0.7	0.3	10	7600.16	17996.8	0.817054	6.95526e-30	0.204768	0.721318
18339	0.0091695	0.7	0.3	10	7599.51	17995.3	0.816984	6.92181e-30	0.204873	0.721128
20577	0.0102885	0.7	0.3	10	7598.83	17993.7	0.816911	6.88427e-30	0.20498	0.72091
23089	0.0115445	0.7	0.3	10	7598.12	17992	0.816835	6.84209e-30	0.205088	0.720657
25908	0.012954	0.7	0.3	10	7597.4	17990.3	0.816757	6.79473e-30	0.205195	0.720365
29070	0.014535	0.7	0.3	10	7596.66	17988.5	0.816678	6.74157e-30	0.2053	0.720029
32618	0.016309	0.7	0.3	10	7595.93	17986.8	0.816599	6.68189e-30	0.205399	0.71964
36599	0.0182995	0.7	0.3	10	7595.2	17985.1	0.816521	6.61491e-30	0.20549	0.719192
41066	0.020533	0.7	0.3	10	7594.5	17983.4	0.816446	6.53975e-30	0.205569	0.718674
