# Filename: 3Dvlt_quench_vsl_T_1_0.7_P_00.050_lmax10_dl0.002_tmax100_dt2e-06_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=5000, (dl=0.002), lpts=5001, ldatamax=100, t0=1, tmax=100, dt=2e-06, (dtfrac=1), a0=1, a02=1, a03=1, a04=1, a06=1, Lconst=1, NDflowTOL=1e-06, fp1=-1.5, fp2=1.5, fp3=-4.5, fp4=-1.5, li=5.5
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 2.000000e-06)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
1	0	0	0.295614	1	1	0.039797
1	0	0.1	0.3101	1.049	0.949176	0.0238204
1	0	0.2	0.323077	1.0929	0.894791	0.0140459
1	0	0.3	0.334455	1.13139	0.838154	0.00817554
1	0	0.4	0.344239	1.16449	0.780579	0.00470639
1	0	0.5	0.352508	1.19246	0.723264	0.00268434
1	0	0.6	0.359394	1.21576	0.667221	0.00151935
1	0	0.7	0.365057	1.23491	0.613239	0.000854589
1	0	0.8	0.369666	1.2505	0.561886	0.000478244
1	0	0.9	0.373384	1.26308	0.513529	0.000266543
1	0	1	0.376362	1.27315	0.468367	0.00014807
1	0	1.1	0.378735	1.28118	0.426468	8.20431e-05
1	0	1.2	0.380616	1.28755	0.387801	4.53652e-05
1	0	1.3	0.382103	1.29257	0.352268	2.50438e-05
1	0	1.4	0.383275	1.29654	0.319722	1.38077e-05
1	0	1.5	0.384195	1.29965	0.289992	7.60518e-06
1	0	1.6	0.384918	1.3021	0.262889	4.18558e-06
1	0	1.7	0.385484	1.30401	0.238221	2.30215e-06
1	0	1.8	0.385927	1.30551	0.2158	1.26562e-06
1	0	1.9	0.386274	1.30668	0.195439	6.95518e-07
1	0	2	0.386545	1.3076	0.176964	3.82108e-07
1	0	2.1	0.386757	1.30832	0.160212	2.09877e-07
1	0	2.2	0.386922	1.30887	0.145027	1.15256e-07
1	0	2.3	0.387051	1.30931	0.13127	6.32853e-08
1	0	2.4	0.387151	1.30965	0.118809	3.47452e-08
1	0	2.5	0.38723	1.30992	0.107525	1.90743e-08
1	0	2.6	0.387291	1.31012	0.0973076	1.04707e-08
1	0	2.7	0.387339	1.31029	0.0880585	5.74748e-09
1	0	2.8	0.387376	1.31041	0.0796863	3.15474e-09
1	0	2.9	0.387405	1.31051	0.0721085	1.73155e-09
1	0	3	0.387428	1.31059	0.0652503	9.50378e-10
1	0	3.1	0.387446	1.31065	0.0590436	5.21614e-10
1	0	3.2	0.387459	1.31069	0.0534268	2.86283e-10
1	0	3.3	0.38747	1.31073	0.0483439	1.57122e-10
1	0	3.4	0.387479	1.31076	0.0437443	8.62331e-11
1	0	3.5	0.387485	1.31078	0.0395821	4.73269e-11
1	0	3.6	0.38749	1.3108	0.0358159	2.59741e-11
1	0	3.7	0.387494	1.31081	0.0324079	1.42551e-11
1	0	3.8	0.387497	1.31082	0.0293241	7.82345e-12
1	0	3.9	0.3875	1.31083	0.0265337	4.29364e-12
1	0	4	0.387502	1.31084	0.0240088	2.35642e-12
1	0	4.1	0.387503	1.31084	0.0217241	1.29324e-12
1	0	4.2	0.387504	1.31084	0.0196569	7.09746e-13
1	0	4.3	0.387505	1.31085	0.0177863	3.89518e-13
1	0	4.4	0.387506	1.31085	0.0160938	2.13773e-13
1	0	4.5	0.387506	1.31085	0.0145623	1.17321e-13
1	0	4.6	0.387507	1.31085	0.0131765	6.43874e-14
1	0	4.7	0.387507	1.31085	0.0119226	3.53366e-14
1	0	4.8	0.387507	1.31086	0.010788	1.93931e-14
1	0	4.9	0.387507	1.31086	0.0097614	1.06432e-14
1	0	5	0.387508	1.31086	0.00883248	5.84111e-15
1	0	5.1	0.387508	1.31086	0.00799196	3.20567e-15
1	0	5.2	0.387508	1.31086	0.00723143	1.75931e-15
1	0	5.3	0.387508	1.31086	0.00654327	9.6553e-16
1	0	5.4	0.387508	1.31086	0.0059206	5.29894e-16
1	0	5.5	0.387508	1.31086	0.00535718	2.90812e-16
1	0	5.6	0.387508	1.31086	0.00484738	1.59601e-16
1	0	5.7	0.387508	1.31086	0.00438609	8.7591e-17
1	0	5.8	0.387508	1.31086	0.0039687	4.80709e-17
1	0	5.9	0.387508	1.31086	0.00359102	2.63819e-17
1	0	6	0.387508	1.31086	0.00324929	1.44787e-17
1	0	6.1	0.387508	1.31086	0.00294008	7.94608e-18
1	0	6.2	0.387508	1.31086	0.0026603	4.3609e-18
1	0	6.3	0.387508	1.31086	0.00240714	2.39331e-18
1	0	6.4	0.387508	1.31086	0.00217807	1.31348e-18
1	0	6.5	0.387508	1.31086	0.0019708	7.20852e-19
1	0	6.6	0.387508	1.31086	0.00178325	3.95612e-19
1	0	6.7	0.387508	1.31086	0.00161355	2.17116e-19
1	0	6.8	0.387508	1.31086	0.00146	1.19156e-19
1	0	6.9	0.387508	1.31086	0.00132106	6.53942e-20
1	0	7	0.387508	1.31086	0.00119535	3.58891e-20
1	0	7.1	0.387508	1.31086	0.0010816	1.96964e-20
1	0	7.2	0.387508	1.31086	0.000978668	1.08096e-20
1	0	7.3	0.387508	1.31086	0.000885536	5.93243e-21
1	0	7.4	0.387508	1.31086	0.000801266	3.25579e-21
1	0	7.5	0.387508	1.31086	0.000725015	1.78681e-21
1	0	7.6	0.387508	1.31086	0.000656021	9.80624e-22
1	0	7.7	0.387508	1.31086	0.000593592	5.38178e-22
1	0	7.8	0.387508	1.31086	0.000537105	2.95358e-22
1	0	7.9	0.387508	1.31086	0.000485992	1.62096e-22
1	0	8	0.387508	1.31086	0.000439744	8.89602e-23
1	0	8.1	0.387508	1.31086	0.000397897	4.88224e-23
1	0	8.2	0.387508	1.31086	0.000360032	2.67943e-23
1	0	8.3	0.387508	1.31086	0.00032577	1.4705e-23
1	0	8.4	0.387508	1.31086	0.000294769	8.07028e-24
1	0	8.5	0.387508	1.31086	0.000266718	4.42907e-24
1	0	8.6	0.387508	1.31086	0.000241337	2.43072e-24
1	0	8.7	0.387508	1.31086	0.00021837	1.33401e-24
1	0	8.8	0.387508	1.31086	0.00019759	7.3212e-25
1	0	8.9	0.387508	1.31086	0.000178787	4.01796e-25
1	0	9	0.387508	1.31086	0.000161773	2.2051e-25
1	0	9.1	0.387508	1.31086	0.000146378	1.21019e-25
1	0	9.2	0.387508	1.31086	0.000132448	6.64164e-26
1	0	9.3	0.387508	1.31086	0.000119844	3.64501e-26
1	0	9.4	0.387508	1.31086	0.00010844	2.00042e-26
1	0	9.5	0.387508	1.31086	9.81202e-05	1.09786e-26
1	0	9.6	0.387508	1.31086	8.87828e-05	6.02516e-27
1	0	9.7	0.387508	1.31086	8.0334e-05	3.30668e-27
1	0	9.8	0.387508	1.31086	7.26892e-05	1.81474e-27
1	0	9.9	0.387508	1.31086	6.57719e-05	9.95952e-28
1	0	10	0.387508	1.31086	5.95129e-05	5.4659e-28

# time step n_t = 51	t = 1.020000e-04	(dt = 2.000000e-06)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	dG
0.7	0.3	0	0.422306	1	1	0.0397569
0.7	0.3	0.1	0.451804	1.06985	0.96804	0.0238266
0.7	0.3	0.2	0.485564	1.14979	0.941371	0.0140491
0.7	0.3	0.3	0.524013	1.24084	0.919236	0.00817709
0.7	0.3	0.4	0.567598	1.34405	0.900941	0.00470711
0.7	0.3	0.5	0.616799	1.46055	0.885869	0.00268466
0.7	0.3	0.6	0.672137	1.59159	0.873483	0.00151949
0.7	0.3	0.7	0.734186	1.73852	0.863322	0.00085464
0.7	0.3	0.8	0.803577	1.90283	0.854997	0.000478261
0.7	0.3	0.9	0.881012	2.08619	0.848184	0.000266547
0.7	0.3	1	0.96727	2.29045	0.842609	0.00014807
0.7	0.3	1.1	1.06322	2.51764	0.838051	8.2041e-05
0.7	0.3	1.2	1.16981	2.77005	0.834324	4.5363e-05
0.7	0.3	1.3	1.28812	3.0502	0.831277	2.5042e-05
0.7	0.3	1.4	1.41932	3.36089	0.828785	1.38065e-05
0.7	0.3	1.5	1.56474	3.70523	0.826749	7.60442e-06
0.7	0.3	1.6	1.72582	4.08666	0.825083	4.18512e-06
0.7	0.3	1.7	1.90418	4.50901	0.823721	2.30188e-06
0.7	0.3	1.8	2.1016	4.97648	0.822607	1.26546e-06
0.7	0.3	1.9	2.32005	5.49377	0.821696	6.95429e-07
0.7	0.3	2	2.56173	6.06605	0.820951	3.82058e-07
0.7	0.3	2.1	2.82904	6.69904	0.820341	2.09849e-07
0.7	0.3	2.2	3.12468	7.39908	0.819842	1.15241e-07
0.7	0.3	2.3	3.45158	8.17318	0.819434	6.32771e-08
0.7	0.3	2.4	3.81303	9.02908	0.819099	3.47407e-08
0.7	0.3	2.5	4.21264	9.97534	0.818826	1.90719e-08
0.7	0.3	2.6	4.65442	11.0214	0.818602	1.04694e-08
0.7	0.3	2.7	5.14278	12.1779	0.818419	5.74679e-09
0.7	0.3	2.8	5.68261	13.4561	0.818269	3.15437e-09
0.7	0.3	2.9	6.27931	14.8691	0.818146	1.73135e-09
0.7	0.3	3	6.93886	16.4309	0.818046	9.50273e-10
0.7	0.3	3.1	7.66785	18.1571	0.817964	5.21558e-10
0.7	0.3	3.2	8.47359	20.0651	0.817896	2.86253e-10
0.7	0.3	3.3	9.36414	22.1738	0.817841	1.57106e-10
0.7	0.3	3.4	10.3484	24.5045	0.817796	8.62248e-11
0.7	0.3	3.5	11.4362	27.0805	0.817759	4.73226e-11
0.7	0.3	3.6	12.6385	29.9274	0.817729	2.59718e-11
0.7	0.3	3.7	13.9673	33.0739	0.817704	1.42539e-11
0.7	0.3	3.8	15.4359	36.5514	0.817684	7.82282e-12
0.7	0.3	3.9	17.0589	40.3948	0.817667	4.29331e-12
0.7	0.3	4	18.8527	44.6424	0.817654	2.35624e-12
0.7	0.3	4.1	20.8352	49.3368	0.817642	1.29314e-12
0.7	0.3	4.2	23.0262	54.525	0.817633	7.09698e-13
0.7	0.3	4.3	25.4477	60.2589	0.817626	3.89493e-13
0.7	0.3	4.4	28.1238	66.5958	0.81762	2.1376e-13
0.7	0.3	4.5	31.0814	73.5993	0.817615	1.17314e-13
0.7	0.3	4.6	34.3501	81.3394	0.817611	6.43837e-14
0.7	0.3	4.7	37.9626	89.8936	0.817607	3.53347e-14
0.7	0.3	4.8	41.955	99.3475	0.817605	1.93921e-14
0.7	0.3	4.9	46.3673	109.796	0.817602	1.06427e-14
0.7	0.3	5	51.2437	121.343	0.8176	5.84084e-15
0.7	0.3	5.1	56.6329	134.104	0.817599	3.20553e-15
0.7	0.3	5.2	62.589	148.208	0.817598	1.75924e-15
0.7	0.3	5.3	69.1714	163.795	0.817597	9.65491e-16
0.7	0.3	5.4	76.4462	181.021	0.817596	5.29874e-16
0.7	0.3	5.5	84.486	200.059	0.817595	2.90802e-16
0.7	0.3	5.6	93.3715	221.099	0.817595	1.59596e-16
0.7	0.3	5.7	103.191	244.352	0.817594	8.75881e-17
0.7	0.3	5.8	114.044	270.051	0.817594	4.80694e-17
0.7	0.3	5.9	126.038	298.452	0.817594	2.63811e-17
0.7	0.3	6	139.294	329.841	0.817593	1.44783e-17
0.7	0.3	6.1	153.943	364.53	0.817593	7.94586e-18
0.7	0.3	6.2	170.134	402.868	0.817593	4.36079e-18
0.7	0.3	6.3	188.027	445.238	0.817593	2.39325e-18
0.7	0.3	6.4	207.801	492.064	0.817593	1.31345e-18
0.7	0.3	6.5	229.656	543.815	0.817593	7.20836e-19
0.7	0.3	6.6	253.809	601.008	0.817593	3.95603e-19
0.7	0.3	6.7	280.503	664.217	0.817592	2.17112e-19
0.7	0.3	6.8	310.003	734.073	0.817592	1.19154e-19
0.7	0.3	6.9	342.607	811.276	0.817592	6.5393e-20
0.7	0.3	7	378.639	896.599	0.817592	3.58885e-20
0.7	0.3	7.1	418.461	990.895	0.817592	1.9696e-20
0.7	0.3	7.2	462.47	1095.11	0.817592	1.08094e-20
0.7	0.3	7.3	511.109	1210.28	0.817592	5.93234e-21
0.7	0.3	7.4	564.863	1337.57	0.817592	3.25574e-21
0.7	0.3	7.5	624.27	1478.24	0.817592	1.78679e-21
0.7	0.3	7.6	689.925	1633.71	0.817592	9.80611e-22
0.7	0.3	7.7	762.485	1805.53	0.817592	5.38171e-22
0.7	0.3	7.8	842.676	1995.42	0.817592	2.95355e-22
0.7	0.3	7.9	931.301	2205.28	0.817592	1.62094e-22
0.7	0.3	8	1029.25	2437.21	0.817592	8.89592e-23
0.7	0.3	8.1	1137.49	2693.53	0.817592	4.88219e-23
0.7	0.3	8.2	1257.12	2976.81	0.817592	2.6794e-23
0.7	0.3	8.3	1389.34	3289.89	0.817592	1.47049e-23
0.7	0.3	8.4	1535.46	3635.89	0.817592	8.07022e-24
0.7	0.3	8.5	1696.94	4018.28	0.817592	4.42903e-24
0.7	0.3	8.6	1875.41	4440.88	0.817592	2.4307e-24
0.7	0.3	8.7	2072.65	4907.93	0.817592	1.334e-24
0.7	0.3	8.8	2290.63	5424.11	0.817592	7.32115e-25
0.7	0.3	8.9	2531.54	5994.56	0.817592	4.01793e-25
0.7	0.3	9	2797.78	6625.02	0.817592	2.20509e-25
0.7	0.3	9.1	3092.03	7321.78	0.817592	1.21018e-25
0.7	0.3	9.2	3417.22	8091.82	0.817592	6.6416e-26
0.7	0.3	9.3	3776.61	8942.84	0.817592	3.64499e-26
0.7	0.3	9.4	4173.8	9883.37	0.817592	2.00041e-26
0.7	0.3	9.5	4612.76	10922.8	0.817592	1.09785e-26
0.7	0.3	9.6	5097.89	12071.6	0.817592	6.02513e-27
0.7	0.3	9.7	5634.04	13341.1	0.817592	3.30666e-27
