# Filename: 3Dvlt_quench_vst_T_1_0.7_P_00.050_lmax10_dl0.002_tmax100_dt2e-06_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=5000, (dl=0.002), lpts=5001, ldatamax=100, t0=1, tmax=100, dt=2e-06, (dtfrac=1), a0=1, a02=1, a03=1, a04=1, a06=1, Lconst=1, NDflowTOL=1e-06, fp1=-1.5, fp2=1.5, fp3=-4.5, fp4=-1.5, li=5.5
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens	linedens
0	0	1	0	10	0.387508	1.31086	5.95129e-05	5.4659e-28	0.203336	0.0471944
1	2e-06	0.7	0.3	10	7605.32	18009	0.817609	3.66066e-30	0.203337	0.722552
2	4e-06	0.7	0.3	10	7605.32	18009	0.817609	3.66065e-30	0.203338	0.722552
3	6e-06	0.7	0.3	10	7605.31	18009	0.817608	3.66063e-30	0.203338	0.722552
4	8e-06	0.7	0.3	10	7605.31	18009	0.817608	3.66062e-30	0.203339	0.722552
6	1.2e-05	0.7	0.3	10	7605.3	18009	0.817607	3.66059e-30	0.20334	0.722551
8	1.6e-05	0.7	0.3	10	7605.3	18009	0.817607	3.66055e-30	0.203342	0.722551
10	2e-05	0.7	0.3	10	7605.29	18009	0.817606	3.66052e-30	0.203343	0.722551
12	2.4e-05	0.7	0.3	10	7605.29	18009	0.817605	3.66049e-30	0.203344	0.722551
14	2.8e-05	0.7	0.3	10	7605.28	18008.9	0.817605	3.66046e-30	0.203345	0.72255
17	3.4e-05	0.7	0.3	10	7605.27	18008.9	0.817604	3.66041e-30	0.203347	0.72255
20	4e-05	0.7	0.3	10	7605.26	18008.9	0.817603	3.66037e-30	0.203349	0.722549
24	4.8e-05	0.7	0.3	10	7605.25	18008.9	0.817601	3.6603e-30	0.203352	0.722549
28	5.6e-05	0.7	0.3	10	7605.23	18008.8	0.8176	3.66024e-30	0.203354	0.722548
32	6.4e-05	0.7	0.3	10	7605.22	18008.8	0.817599	3.66018e-30	0.203357	0.722547
37	7.4e-05	0.7	0.3	10	7605.21	18008.8	0.817597	3.6601e-30	0.20336	0.722547
43	8.6e-05	0.7	0.3	10	7605.19	18008.7	0.817595	3.66e-30	0.203363	0.722546
49	9.8e-05	0.7	0.3	10	7605.17	18008.7	0.817593	3.65991e-30	0.203367	0.722545
56	0.000112	0.7	0.3	10	7605.15	18008.6	0.817591	3.6598e-30	0.203371	0.722543
64	0.000128	0.7	0.3	10	7605.12	18008.6	0.817588	3.65967e-30	0.203376	0.722542
73	0.000146	0.7	0.3	10	7605.1	18008.5	0.817585	3.65953e-30	0.203381	0.722541
83	0.000166	0.7	0.3	10	7605.07	18008.4	0.817582	3.65937e-30	0.203387	0.722539
94	0.000188	0.7	0.3	10	7605.03	18008.4	0.817578	3.6592e-30	0.203394	0.722537
107	0.000214	0.7	0.3	10	7604.99	18008.3	0.817574	3.65899e-30	0.203401	0.722534
121	0.000242	0.7	0.3	10	7604.95	18008.2	0.81757	3.65877e-30	0.203409	0.722532
137	0.000274	0.7	0.3	10	7604.91	18008.1	0.817565	3.65851e-30	0.203418	0.722529
155	0.00031	0.7	0.3	10	7604.85	18007.9	0.817559	3.65823e-30	0.203429	0.722526
175	0.00035	0.7	0.3	10	7604.8	18007.8	0.817553	3.65791e-30	0.20344	0.722522
197	0.000394	0.7	0.3	10	7604.73	18007.7	0.817546	3.65756e-30	0.203452	0.722517
222	0.000444	0.7	0.3	10	7604.66	18007.5	0.817539	3.65716e-30	0.203465	0.722512
250	0.0005	0.7	0.3	10	7604.59	18007.3	0.81753	3.65672e-30	0.20348	0.722507
282	0.000564	0.7	0.3	10	7604.5	18007.1	0.817521	3.6562e-30	0.203497	0.7225
