#filename: BrooksDonnelly_HeRhoVsTP_b.dat
#from HeliumDensities.odt Sheet 5 (and Sheet 4 in 2D)
#Density (kg m^-3)
#T (K)	P (atm)	P (bar)	Rho (kg m^-3)
0.10	0	0	145.13
0.15	0	0	145.13
0.20	0	0	145.13
0.25	0	0	145.13
0.30	0	0	145.13
0.35	0	0	145.13
0.40	0	0	145.13
0.45	0	0	145.13
0.50	0	0	145.13
0.55	0	0	145.13
0.60	0	0	145.13
0.65	0	0	145.12
0.70	0	0	145.12
0.75	0	0	145.12
0.80	0	0	145.12
0.85	0	0	145.12
0.90	0	0	145.11
0.95	0	0	145.11
1.00	0	0	145.11
1.05	0	0	145.11
1.10	0	0	145.10
1.15	0	0	145.10
1.20	0	0	145.11
1.25	0	0	145.11
1.30	0	0	145.11
1.35	0	0	145.12
1.40	0	0	145.13
1.45	0	0	145.14
1.50	0	0	145.16
1.55	0	0	145.18
1.60	0	0	145.20
1.65	0	0	145.23
1.70	0	0	145.26
1.75	0	0	145.30
1.80	0	0	145.35
1.85	0	0	145.40
1.90	0	0	145.46
1.95	0	0	145.53
2.00	0	0	145.61
2.05	0	0	145.70
2.10	0	0	145.82
0.10	2.5	2.53	149.25
0.15	2.5	2.53	149.25
0.20	2.5	2.53	149.25
0.25	2.5	2.53	149.25
0.30	2.5	2.53	149.25
0.35	2.5	2.53	149.25
0.40	2.5	2.53	149.25
0.45	2.5	2.53	149.25
0.50	2.5	2.53	149.25
0.55	2.5	2.53	149.25
0.60	2.5	2.53	149.25
0.65	2.5	2.53	149.25
0.70	2.5	2.53	149.25
0.75	2.5	2.53	149.25
0.80	2.5	2.53	149.24
0.85	2.5	2.53	149.24
0.90	2.5	2.53	149.24
0.95	2.5	2.53	149.24
1.00	2.5	2.53	149.25
1.05	2.5	2.53	149.25
1.10	2.5	2.53	149.25
1.15	2.5	2.53	149.26
1.20	2.5	2.53	149.26
1.25	2.5	2.53	149.27
1.30	2.5	2.53	149.29
1.35	2.5	2.53	149.30
1.40	2.5	2.53	149.32
1.45	2.5	2.53	149.34
1.50	2.5	2.53	149.37
1.55	2.5	2.53	149.41
1.60	2.5	2.53	149.44
1.65	2.5	2.53	149.49
1.70	2.5	2.53	149.54
1.75	2.5	2.53	149.60
1.80	2.5	2.53	149.67
1.85	2.5	2.53	149.75
1.90	2.5	2.53	149.84
1.95	2.5	2.53	149.96
2.00	2.5	2.53	150.09
2.05	2.5	2.53	150.24
2.10	2.5	2.53	150.41
0.10	5	5.07	152.84
0.15	5	5.07	152.84
0.20	5	5.07	152.84
0.25	5	5.07	152.84
0.30	5	5.07	152.84
0.35	5	5.07	152.84
0.40	5	5.07	152.84
0.45	5	5.07	152.83
0.50	5	5.07	152.83
0.55	5	5.07	152.83
0.60	5	5.07	152.83
0.65	5	5.07	152.83
0.70	5	5.07	152.83
0.75	5	5.07	152.83
0.80	5	5.07	152.83
0.85	5	5.07	152.83
0.90	5	5.07	152.83
0.95	5	5.07	152.83
1.00	5	5.07	152.84
1.05	5	5.07	152.84
1.10	5	5.07	152.85
1.15	5	5.07	152.86
1.20	5	5.07	152.87
1.25	5	5.07	152.89
1.30	5	5.07	152.91
1.35	5	5.07	152.93
1.40	5	5.07	152.96
1.45	5	5.07	152.99
1.50	5	5.07	153.03
1.55	5	5.07	153.08
1.60	5	5.07	153.13
1.65	5	5.07	153.19
1.70	5	5.07	153.27
