#filename: fit_BrooksDonnelly_AlphaVsTP_6order_3d.dat
#from RhosAmps.ods Sheet 5
#Alpha (K^-1)		6th Order
#T (K)	P (bar)	Alpha (fit)
0.10	0.000000	-1.7247E-04
0.15	0.000000	5.4634E-05
0.20	0.000000	1.4430E-04
0.25	0.000000	1.4978E-04
0.30	0.000000	1.1178E-04
0.35	0.000000	6.0174E-05
0.40	0.000000	1.5552E-05
0.45	0.000000	-9.2890E-06
0.50	0.000000	-7.9906E-06
0.55	0.000000	2.0628E-05
0.60	0.000000	7.3721E-05
0.65	0.000000	1.4546E-04
0.70	0.000000	2.2799E-04
0.75	0.000000	3.1224E-04
0.80	0.000000	3.8866E-04
0.85	0.000000	4.4786E-04
0.90	0.000000	4.8109E-04
0.95	0.000000	4.8070E-04
1.00	0.000000	4.4039E-04
1.05	0.000000	3.5546E-04
1.10	0.000000	2.2285E-04
1.15	0.000000	4.1170E-05
1.20	0.000000	-1.8943E-04
1.25	0.000000	-4.6752E-04
1.30	0.000000	-7.9066E-04
1.35	0.000000	-1.1559E-03
1.40	0.000000	-1.5603E-03
1.45	0.000000	-2.0015E-03
1.50	0.000000	-2.4786E-03
1.55	0.000000	-2.9931E-03
1.60	0.000000	-3.5496E-03
1.65	0.000000	-4.1570E-03
1.70	0.000000	-4.8297E-03
1.75	0.000000	-5.5891E-03
1.80	0.000000	-6.4643E-03
1.85	0.000000	-7.4947E-03
1.90	0.000000	-8.7304E-03
1.95	0.000000	-1.0235E-02
2.00	0.000000	-1.2086E-02
2.05	0.000000	-1.4379E-02
2.10	0.000000	-1.7227E-02

0.10	2.533125	1.5049E-04
0.15	2.533125	-1.7743E-05
0.20	2.533125	-9.4930E-05
0.25	2.533125	-1.0766E-04
0.30	2.533125	-7.7806E-05
0.35	2.533125	-2.3085E-05
0.40	2.533125	4.2474E-05
0.45	2.533125	1.0803E-04
0.50	2.533125	1.6549E-04
0.55	2.533125	2.0906E-04
0.60	2.533125	2.3483E-04
0.65	2.533125	2.4044E-04
0.70	2.533125	2.2465E-04
0.75	2.533125	1.8704E-04
0.80	2.533125	1.2770E-04
0.85	2.533125	4.6913E-05
0.90	2.533125	-5.5083E-05
0.95	2.533125	-1.7836E-04
1.00	2.533125	-3.2350E-04
1.05	2.533125	-4.9181E-04
1.10	2.533125	-6.8548E-04
1.15	2.533125	-9.0776E-04
1.20	2.533125	-1.1630E-03
1.25	2.533125	-1.4569E-03
1.30	2.533125	-1.7965E-03
1.35	2.533125	-2.1902E-03
1.40	2.533125	-2.6477E-03
1.45	2.533125	-3.1804E-03
1.50	2.533125	-3.8009E-03
1.55	2.533125	-4.5233E-03
1.60	2.533125	-5.3629E-03
1.65	2.533125	-6.3364E-03
1.70	2.533125	-7.4615E-03
1.75	2.533125	-8.7569E-03
1.80	2.533125	-1.0242E-02
1.85	2.533125	-1.1937E-02
1.90	2.533125	-1.3863E-02
1.95	2.533125	-1.6040E-02
2.00	2.533125	-1.8489E-02
2.05	2.533125	-2.1231E-02
2.10	2.533125	-2.4285E-02

0.10	5.066250	9.2761E-05
0.15	5.066250	-1.8484E-05
0.20	5.066250	-6.6198E-05
0.25	5.066250	-6.8969E-05
0.30	5.066250	-4.2411E-05
0.35	5.066250	5.3852E-07
0.40	5.066250	4.9326E-05
0.45	5.066250	9.5501E-05
0.50	5.066250	1.3244E-04
0.55	5.066250	1.5507E-04
