T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
1	1e-08	100	6.80094e+43	0.639695	0.000760774	2.37971e-44	3.18206e-44	1.06315e+44
1	1.25893e-08	100	6.80094e+43	0.639695	0.000760767	2.37971e-44	3.18206e-44	1.06315e+44
1	1.58489e-08	100	6.80094e+43	0.639695	0.000760758	2.37971e-44	3.18206e-44	1.06315e+44
1	1.99526e-08	100	6.80094e+43	0.639695	0.000760748	2.37972e-44	3.18206e-44	1.06315e+44
1	2.51189e-08	100	6.80094e+43	0.639695	0.000760734	2.37972e-44	3.18206e-44	1.06315e+44
1	3.16228e-08	100	6.80094e+43	0.639696	0.000760717	2.37972e-44	3.18206e-44	1.06315e+44
1	3.98107e-08	100	6.80094e+43	0.639696	0.000760695	2.37972e-44	3.18206e-44	1.06315e+44
1	5.01187e-08	100	6.80094e+43	0.639696	0.000760668	2.37972e-44	3.18207e-44	1.06315e+44
1	6.30957e-08	100	6.80094e+43	0.639696	0.000760633	2.37972e-44	3.18207e-44	1.06315e+44
1	7.94328e-08	100	6.80094e+43	0.639697	0.00076059	2.37972e-44	3.18207e-44	1.06315e+44
1	1e-07	100	6.80094e+43	0.639697	0.000760535	2.37972e-44	3.18207e-44	1.06315e+44
1	1.25893e-07	100	6.80094e+43	0.639698	0.000760467	2.37972e-44	3.18207e-44	1.06315e+44
1	1.58489e-07	100	6.80094e+43	0.639698	0.00076038	2.37973e-44	3.18208e-44	1.06315e+44
