T/Tc	1-T/Tc	l	K	G	K/K0
0.0001	100000	100001

0.95	0.05	0	0.787214	0.00042243	1
0.95	0.05	0.0001	0.78721	0.000422221	0.999996
0.95	0.05	0.0002	0.787207	0.000422012	0.999992
0.95	0.05	0.0003	0.787204	0.000421803	0.999988
0.95	0.05	0.0004	0.787201	0.000421595	0.999984
0.95	0.05	0.0005	0.787197	0.000421386	0.999979
0.95	0.05	0.0006	0.787194	0.000421178	0.999975
0.95	0.05	0.0007	0.787191	0.00042097	0.999971
0.95	0.05	0.0008	0.787188	0.000420761	0.999967
0.95	0.05	0.0009	0.787184	0.000420553	0.999963
0.95	0.05	0.1	0.784127	0.000257853	0.996079
0.95	0.05	0.2	0.781335	0.000157685	0.992532
0.95	0.05	0.3	0.778802	9.65904e-05	0.989315
0.95	0.05	0.4	0.776501	5.92567e-05	0.986391
0.95	0.05	0.5	0.774405	3.64032e-05	0.983729
0.95	0.05	0.6	0.772493	2.23918e-05	0.9813
0.95	0.05	0.7	0.770745	1.37891e-05	0.97908
0.95	0.05	0.8	0.769146	8.50042e-06	0.977049
0.95	0.05	0.9	0.767681	5.24521e-06	0.975187
0.95	0.05	1	0.766336	3.23942e-06	0.973479
0.95	0.05	1.1	0.765101	2.00228e-06	0.97191
0.95	0.05	1.2	0.763965	1.23852e-06	0.970467
0.95	0.05	1.3	0.762919	7.66623e-07	0.969138
0.95	0.05	1.4	0.761956	4.74825e-07	0.967915
0.95	0.05	1.5	0.761067	2.94264e-07	0.966786
0.95	0.05	1.6	0.760248	1.82463e-07	0.965745
0.95	0.05	1.7	0.759491	1.13195e-07	0.964784
0.95	0.05	1.8	0.758792	7.02549e-08	0.963896
0.95	0.05	1.9	0.758146	4.36224e-08	0.963075
0.95	0.05	2	0.757548	2.70965e-08	0.962316
0.95	0.05	2.1	0.756995	1.68374e-08	0.961613
0.95	0.05	2.2	0.756483	1.0466e-08	0.960962
0.95	0.05	2.3	0.756008	6.50758e-09	0.960359
0.95	0.05	2.4	0.755568	4.04748e-09	0.959801
0.95	0.05	2.5	0.755161	2.51805e-09	0.959283
0.95	0.05	2.6	0.754783	1.56694e-09	0.958803
0.95	0.05	2.7	0.754433	9.75302e-10	0.958358
0.95	0.05	2.8	0.754107	6.07181e-10	0.957945
0.95	0.05	2.9	0.753806	3.78079e-10	0.957562
0.95	0.05	3	0.753526	2.35465e-10	0.957206
0.95	0.05	3.1	0.753265	1.46671e-10	0.956875
0.95	0.05	3.2	0.753024	9.13754e-11	0.956569
0.95	0.05	3.3	0.752799	5.69349e-11	0.956283
0.95	0.05	3.4	0.752591	3.54803e-11	0.956019
0.95	0.05	3.5	0.752397	2.21131e-11	0.955773
0.95	0.05	3.6	0.752217	1.37837e-11	0.955544
0.95	0.05	3.7	0.75205	8.59263e-12	0.955331
0.95	0.05	3.8	0.751894	5.35713e-12	0.955134
0.95	0.05	3.9	0.75175	3.34025e-12	0.95495
0.95	0.05	4	0.751615	2.08288e-12	0.954779
0.95	0.05	4.1	0.75149	1.29892e-12	0.95462
0.95	0.05	4.2	0.751374	8.10096e-13	0.954472
0.95	0.05	4.3	0.751265	5.05266e-13	0.954335
0.95	0.05	4.4	0.751165	3.15161e-13	0.954207
0.95	0.05	4.5	0.751071	1.96594e-13	0.954088
0.95	0.05	4.6	0.750984	1.22641e-13	0.953977
0.95	0.05	4.7	0.750903	7.65104e-14	0.953874
0.95	0.05	4.8	0.750828	4.7734e-14	0.953779
0.95	0.05	4.9	0.750757	2.97821e-14	0.953689
0.95	0.05	5	0.750692	1.85824e-14	0.953606
0.95	0.05	5.1	0.750631	1.15948e-14	0.953529
0.95	0.05	5.2	0.750575	7.23508e-15	0.953457
0.95	0.05	5.3	0.750522	4.51479e-15	0.95339
0.95	0.05	5.4	0.750473	2.81738e-15	0.953328
0.95	0.05	5.5	0.750427	1.75819e-15	0.95327
0.95	0.05	5.6	0.750385	1.09723e-15	0.953216
0.95	0.05	5.7	0.750345	6.84767e-16	0.953166
0.95	0.05	5.8	0.750308	4.27364e-16	0.953119
0.95	0.05	5.9	0.750274	2.66724e-16	0.953076
0.95	0.05	6	0.750242	1.6647e-16	0.953035
0.95	0.05	6.1	0.750213	1.039e-16	0.952997
0.95	0.05	6.2	0.750185	6.48494e-17	0.952962
0.95	0.05	6.3	0.750159	4.04764e-17	0.952929
0.95	0.05	6.4	0.750135	2.52642e-17	0.952899
0.95	0.05	6.5	0.750113	1.57694e-17	0.952871
0.95	0.05	6.6	0.750092	9.84308e-18	0.952844
0.95	0.05	6.7	0.750073	6.14402e-18	0.95282
0.95	0.05	6.8	0.750055	3.83512e-18	0.952797
0.95	0.05	6.9	0.750038	2.39392e-18	0.952775
0.95	0.05	7	0.750022	1.49432e-18	0.952756
0.95	0.05	7.1	0.750008	9.32791e-19	0.952737
0.95	0.05	7.2	0.749994	5.82274e-19	0.95272
0.95	0.05	7.3	0.749981	3.63475e-19	0.952704
0.95	0.05	7.4	0.74997	2.26895e-19	0.952689
0.95	0.05	7.5	0.749959	1.41637e-19	0.952675
0.95	0.05	7.6	0.749949	8.84167e-20	0.952662
0.95	0.05	7.7	0.749939	5.51942e-20	0.95265
0.95	0.05	7.8	0.74993	3.44552e-20	0.952639
0.95	0.05	7.9	0.749922	2.15089e-20	0.952628
0.95	0.05	8	0.749914	1.34272e-20	0.952619
0.95	0.05	8.1	0.749907	8.38209e-21	0.952609
0.95	0.05	8.2	0.749901	5.23265e-21	0.952601
0.95	0.05	8.3	0.749894	3.26658e-21	0.952593
0.95	0.05	8.4	0.749889	2.03923e-21	0.952586
0.95	0.05	8.5	0.749883	1.27304e-21	0.952579
0.95	0.05	8.6	0.749878	7.94726e-22	0.952573
0.95	0.05	8.7	0.749874	4.96129e-22	0.952567
0.95	0.05	8.8	0.749869	3.09723e-22	0.952561
0.95	0.05	8.9	0.749865	1.93354e-22	0.952556
0.95	0.05	9	0.749861	1.20707e-22	0.952551
0.95	0.05	9.1	0.749858	7.53557e-23	0.952547
0.95	0.05	9.2	0.749855	4.70434e-23	0.952543
0.95	0.05	9.3	0.749852	2.93685e-23	0.952539
0.95	0.05	9.4	0.749849	1.83344e-23	0.952535
0.95	0.05	9.5	0.749846	1.14459e-23	0.952532
0.95	0.05	9.6	0.749844	7.14558e-24	0.952529
0.95	0.05	9.7	0.749841	4.46092e-24	0.952526
0.95	0.05	9.8	0.749839	2.78491e-24	0.952523
0.95	0.05	9.9	0.749837	1.7386e-24	0.952521
0.95	0.05	10	0.749835	1.08539e-24	0.952518

First adjustment of K/K0:
0	1	0.00042243
0.0001	0.999961	0.000422221
0.0002	0.999922	0.000422012
0.0003	0.999882	0.000421803
0.0004	0.999843	0.000421595
0.0005	0.999804	0.000421386
0.0006	0.999765	0.000421178
0.0007	0.999726	0.00042097
0.0008	0.999687	0.000420761
0.0009	0.999648	0.000420553
0.1	0.963946	0.000257853
0.2	0.933277	0.000157685
0.3	0.906931	9.65904e-05
0.4	0.884106	5.92567e-05
0.5	0.864188	3.64032e-05
0.6	0.846694	2.23918e-05
0.7	0.831245	1.37891e-05
0.8	0.817533	8.50042e-06
0.9	0.805311	5.24521e-06
1	0.794374	3.23942e-06
1.1	0.784553	2.00228e-06
1.2	0.775706	1.23852e-06
1.3	0.767716	7.66623e-07
1.4	0.760479	4.74825e-07
1.5	0.753911	2.94264e-07
1.6	0.747938	1.82463e-07
1.7	0.742494	1.13195e-07
1.8	0.737525	7.02549e-08
1.9	0.732983	4.36224e-08
2	0.728823	2.70965e-08
2.1	0.725011	1.68374e-08
2.2	0.721511	1.0466e-08
2.3	0.718295	6.50758e-09
2.4	0.715338	4.04748e-09
2.5	0.712614	2.51805e-09
2.6	0.710105	1.56694e-09
2.7	0.707792	9.75302e-10
2.8	0.705656	6.07181e-10
2.9	0.703685	3.78079e-10
3	0.701863	2.35465e-10
3.1	0.700178	1.46671e-10
3.2	0.69862	9.13754e-11
3.3	0.697178	5.69349e-11
3.4	0.695843	3.54803e-11
3.5	0.694606	2.21131e-11
