# Filename: 3Dvlt_K0cFind3_Plot_Op2112_Cc0.40_uncert1e-10.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-10, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=1, flowdir=-1, Max_steps=4000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=13, K0c=0.575343, oldK0c=0.575343
# Input-file parameter: Cc=0.4
# Pass: count_passes=13 (to reach desired precision in K0c)
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38751791398650065	0.062423337515087121	0	1e-05
2	0.38751791398709151	0.062423337515228827	-2.44141e-08	1e-05
3	0.38751791398768237	0.062423337515370533	-4.88281e-08	1e-05
4	0.38751791398827323	0.062423337515512239	-7.32422e-08	1e-05
5	0.38751791398886409	0.062423337515653946	-9.76563e-08	1e-05
6	0.38751791398945495	0.062423337515795652	-1.2207e-07	1e-05
7	0.38751791399004581	0.062423337515937358	-1.46484e-07	1e-05
8	0.38751791399063668	0.062423337516079064	-1.70898e-07	1e-05
9	0.38751791399122754	0.06242333751622077	-1.95313e-07	1e-05
10	0.3875179139918184	0.062423337516362476	-2.19727e-07	1e-05
409600	0.38751815904907178	0.062423396284919032	-0.00999998	1.0252e-05
819200	0.38751841028833306	0.062423456536011279	-0.02	1.05104e-05
1228800	0.38751866785935751	0.062423518305551699	-0.03	1.07752e-05
1638400	0.38751893192173686	0.062423581631810943	-0.04	1.10468e-05
2048000	0.38751920263908102	0.062423646554025124	-0.05	1.13252e-05
2457600	0.38751948017911841	0.062423713112417574	-0.06	1.16106e-05
2867200	0.38751976471381422	0.062423781348226959	-0.07	1.19032e-05
3276800	0.38752005641947274	0.062423851303731716	-0.08	1.22032e-05
3686400	0.38752035547683661	0.062423923022274758	-0.09	1.25107e-05
4096000	0.38752066207119396	0.062423996548292594	-0.1	1.2826e-05
4505600	0.38752097639252764	0.06242407192734159	-0.11	1.31492e-05
4915200	0.38752129863558399	0.062424149206126718	-0.12	1.34806e-05
5324800	0.38752162900005321	0.06242422843253017	-0.13	1.38203e-05
5734400	0.38752196769061925	0.062424309655641545	-0.14	1.41686e-05
6144000	0.38752231491715167	0.062424392925787345	-0.15	1.45257e-05
6553600	0.38752267089480341	0.062424478294563532	-0.16	1.48918e-05
6963200	0.38752303584415987	0.062424565814866023	-0.17	1.52671e-05
7372800	0.38752340999135698	0.062424655540925272	-0.18	1.56518e-05
7782400	0.38752379356823546	0.062424747528337633	-0.19	1.60463e-05
8192000	0.38752418681248624	0.062424841834102268	-0.2	1.64507e-05
8601600	0.38752458996778105	0.062424938516655169	-0.21	1.68653e-05
9011200	0.38752500328395917	0.062425037635904609	-0.22	1.72903e-05
9420800	0.38752542701712744	0.062425139253270368	-0.23	1.77261e-05
9830400	0.38752586142986689	0.062425243431720061	-0.24	1.81728e-05
10240000	0.38752630679139183	0.062425350235809508	-0.25	1.86308e-05
10649600	0.38752676337767616	0.062425459731721325	-0.26	1.91003e-05
11059200	0.38752723147167145	0.062425571987307388	-0.27	1.95817e-05
11468800	0.3875277113634597	0.062425687072130184	-0.28	2.00752e-05
11878400	0.38752820335044091	0.062425805057506112	-0.29	2.05811e-05
12288000	0.38752870773750248	0.062425926016549595	-0.3	2.10998e-05
12697600	0.38752922483723373	0.062426050024219158	-0.31	2.16316e-05
13107200	0.38752975497010467	0.062426177157362886	-0.32	2.21767e-05
13516800	0.38753029846465309	0.062426307494765784	-0.33	2.27356e-05
13926400	0.38753085565771245	0.062426441117201623	-0.34	2.33086e-05
14336000	0.38753142689460918	0.062426578107478641	-0.35	2.3896e-05
14745600	0.38753201252937813	0.062426718550494815	-0.36	2.44983e-05
15155200	0.38753261292498498	0.062426862533287823	-0.37	2.51157e-05
15564800	0.38753322845354082	0.062427010145090958	-0.38	2.57487e-05
15974400	0.38753385949654989	0.062427161477387479	-0.39	2.63976e-05
16384000	0.38753450644513471	0.062427316623967395	-0.4	2.70629e-05
16793600	0.38753516970027885	0.062427475680986388	-0.41	2.7745e-05
17203200	0.38753584967308136	0.062427638747024936	-0.42	2.84442e-05
17612800	0.38753654678501187	0.062427805923149352	-0.43	2.91611e-05
18022400	0.38753726146817463	0.062427977312974975	-0.44	2.9896e-05
18432000	0.38753799416555773	0.062428153022730457	-0.45	3.06495e-05
18841600	0.3875387453313327	0.062428333161323575	-0.46	3.1422e-05
