# Filename: 3Dvlt_K0cFind3_Plot_Op2112_Cc1.10_uncert1e-10.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-10, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=-1, flowdir=-1, Max_steps=4000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=11, K0c=0.296469, oldK0c=0.296469
# Input-file parameter: Cc=1.1
# Pass: count_passes=11 (to reach desired precision in K0c)
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38749846543818617	0.062418673400116684	0	1e-05
2	0.38749846543582284	0.062418673399549901	-9.76563e-08	1e-05
3	0.3874984654334595	0.062418673398983118	-1.95313e-07	1e-05
4	0.38749846543109617	0.062418673398416336	-2.92969e-07	1e-05
5	0.38749846542873284	0.062418673397849553	-3.90625e-07	1e-05
6	0.38749846542636951	0.06241867339728277	-4.88281e-07	1e-05
7	0.38749846542400618	0.062418673396715987	-5.85938e-07	1e-05
8	0.38749846542164285	0.062418673396149205	-6.83594e-07	1e-05
9	0.38749846541927951	0.062418673395582422	-7.8125e-07	1e-05
10	0.38749846541691618	0.062418673395015639	-8.78906e-07	1e-05
102400	0.38749822039754789	0.062418614634301851	-0.0099999	1.0252e-05
204800	0.3874979691798997	0.062418554387105529	-0.0199999	1.05103e-05
307200	0.38749771163203295	0.062418492621783374	-0.0299999	1.07752e-05
409600	0.38749744759444688	0.062418429300084011	-0.0399999	1.10467e-05
512000	0.3874971769036285	0.062418364382792073	-0.0499999	1.13251e-05
614400	0.38749689939194137	0.062418297829704546	-0.0599999	1.16105e-05
716800	0.38749661488753223	0.062418229599605184	-0.0699999	1.1903e-05
819200	0.3874963232142149	0.062418159650240224	-0.0799999	1.2203e-05
921600	0.38749602419136348	0.062418087938290845	-0.0899999	1.25105e-05
1024000	0.38749571763380453	0.062418014419347079	-0.0999999	1.28257e-05
1126400	0.38749540335169907	0.062417939047880115	-0.11	1.31489e-05
1228800	0.38749508115042647	0.062417861777214471	-0.12	1.34802e-05
1331200	0.3874947508304637	0.062417782559498404	-0.13	1.38199e-05
1433600	0.38749441218726022	0.06241770134567546	-0.14	1.41682e-05
1536000	0.38749406501111555	0.062417618085452882	-0.15	1.45252e-05
1638400	0.38749370908704384	0.062417532727270846	-0.16	1.48912e-05
1740800	0.38749334419464748	0.062417445218271313	-0.17	1.52665e-05
1843200	0.38749297010797379	0.062417355504264388	-0.18	1.56512e-05
1945600	0.38749258659538044	0.062417263529695406	-0.19	1.60455e-05
2048000	0.38749219341939062	0.062417169237609996	-0.2	1.64499e-05
2150400	0.38749179033654729	0.062417072569619203	-0.21	1.68644e-05
2252800	0.38749137709725928	0.062416973465863522	-0.22	1.72893e-05
2355200	0.38749095344564721	0.062416871864975285	-0.23	1.7725e-05
2457600	0.38749051911939275	0.062416767704042059	-0.24	1.81716e-05
2560000	0.38749007384956574	0.062416660918565389	-0.25	1.86295e-05
2662400	0.38748961736046317	0.062416551442423418	-0.26	1.9099e-05
2764800	0.38748914936944012	0.062416439207827835	-0.27	1.95802e-05
2867200	0.38748866958673162	0.062416324145283815	-0.28	2.00736e-05
2969600	0.38748817771527561	0.062416206183545833	-0.29	2.05794e-05
3072000	0.38748767345052942	0.062416085249573823	-0.3	2.1098e-05
3174400	0.38748715648027782	0.062415961268488709	-0.31	2.16296e-05
3276800	0.38748662648444615	0.062415834163525113	-0.32	2.21746e-05
3379200	0.38748608313489796	0.06241570385598412	-0.33	2.27334e-05
3481600	0.38748552609523151	0.062415570265184898	-0.34	2.33062e-05
3584000	0.38748495502057689	0.06241543330841464	-0.35	2.38935e-05
3686400	0.38748436955737842	0.062415292900877516	-0.36	2.44956e-05
3788800	0.38748376934317352	0.062415148955643006	-0.37	2.51128e-05
3891200	0.38748315400637784	0.062415001383590234	-0.38	2.57456e-05
3993600	0.38748252316604809	0.062414850093354485	-0.39	2.63943e-05
4096000	0.38748187643164728	0.062414694991270649	-0.4	2.70594e-05
4198400	0.38748121340280728	0.062414535981314218	-0.41	2.77412e-05
4300800	0.38748053366907781	0.062414372965042937	-0.42	2.84402e-05
4403200	0.38747983680967224	0.062414205841535828	-0.43	2.91568e-05
4505600	0.38747912239321275	0.062414034507330393	-0.44	2.98915e-05
