# Filename: 3Dvlt_K0cFind3_Plot_Op2114_Cc1.10_uncert1e-10.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=4, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-10, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=-1, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=2, K0c=0.296469, oldK0c=0
# Input-file parameter: Cc=1.1
# Pass: count_passes=2 (to reach desired precision in K0c)
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38749846543818617	0.062418673400116684	0	1e-05
2	0.38749846422807771	0.062418673109907653	-5e-05	1.00012e-05
3	0.38749846301781865	0.062418672819662506	-0.0001	1.00025e-05
4	0.38749846180740899	0.062418672529381242	-0.00015	1.00037e-05
5	0.38749846059684873	0.06241867223906386	-0.0002	1.0005e-05
6	0.38749845938613781	0.062418671948710348	-0.00025	1.00062e-05
7	0.38749845817527623	0.062418671658320705	-0.0003	1.00075e-05
8	0.38749845696426399	0.062418671367894925	-0.00035	1.00087e-05
9	0.38749845575310105	0.062418671077433006	-0.0004	1.001e-05
10	0.38749845454178738	0.062418670786934943	-0.00045	1.00112e-05
1998	0.38749572228572682	0.062418015534975148	-0.09985	1.28209e-05
3996	0.38749220336462553	0.062417171622691156	-0.19975	1.64396e-05
5994	0.38748769130753924	0.062416089532086071	-0.29965	2.10796e-05
7992	0.38748190587540432	0.062414702052577348	-0.39955	2.70291e-05
9990	0.38747448778513299	0.062412923014723599	-0.49945	3.46576e-05
11988	0.38746497643559713	0.062410641946793188	-0.59935	4.44386e-05
13986	0.38745278137054784	0.062407717228228764	-0.69925	5.69795e-05
15984	0.38743714572613386	0.062403967319059381	-0.79915	7.30585e-05
17982	0.38741709942606939	0.062399159527629644	-0.89905	9.36733e-05
19980	0.38739139927247823	0.062392995630775307	-0.99895	0.000120102
21978	0.38735845230228616	0.062385093472745366	-1.09885	0.000153984
23976	0.38731621779859282	0.062374963432015304	-1.19875	0.000197416
25974	0.38726208211727864	0.062361978347106793	-1.29865	0.000253087
27972	0.38719269895925923	0.062345335120276957	-1.39855	0.000324439
29970	0.38710378583233435	0.062324005756833806	-1.49845	0.000415874
31968	0.38698986515037731	0.062296675033014039	-1.59835	0.000533028
33966	0.38684393567270514	0.062261661304193396	-1.69825	0.000683099
35964	0.38665705678976497	0.062216816161713005	-1.79815	0.000875283
37962	0.38641782458339002	0.062159397729553055	-1.89805	0.00112131
39960	0.38611171483763518	0.062085911398538918	-1.99795	0.00143612
41958	0.38572026469520782	0.061991910813787868	-2.09785	0.00183869
43956	0.38522006228830297	0.061871751135805973	-2.19775	0.00235313
45954	0.3845815139026697	0.061718286305026841	-2.29765	0.00300986
47952	0.38376736352108182	0.061522502797334747	-2.39755	0.00384722
49950	0.38273095382790162	0.061273085049344242	-2.49745	0.00491322
51948	0.38141424677709634	0.060955913731743507	-2.59735	0.00626759
53946	0.3797456738390953	0.060553509381841591	-2.69725	0.007984
55944	0.37763797156313184	0.060044453355754764	-2.79715	0.0101523
57942	0.37498628859046684	0.05940284907071533	-2.89705	0.0128805
59940	0.37166703409370339	0.05859793258002962	-2.99695	0.016296
61938	0.36753817127859045	0.057594004593693446	-3.09685	0.0205451
63936	0.36244191223604394	0.056350933164280442	-3.19675	0.0257908
65934	0.35621096229994531	0.054825553912000467	-3.29665	0.0322057
67932	0.34867944425902631	0.052974341357876896	-3.39655	0.0399614
69930	0.33969919003393306	0.050757685006208794	-3.49645	0.0492112
71928	0.32916100112087354	0.04814590089391025	-3.59635	0.0600682
73926	0.31701868559433377	0.045126672718688789	-3.69625	0.0725803
75924	0.30331150306333354	0.04171294168285776	-3.79615	0.0867062
76851	0.2964689388844548	0.040009663825895665	-3.84245	0.0937698
